"Iqtidaa-ul-'Ilm al-'Amal
Knowledge Mandates Action",______: ______ _____ _____
"[1] The Judge, Abu Bakr Ahmad bin Al-Hasan bin Ahmad Al-Hirshee reported to us in Naisapur, saying: Abul-'Abbaas Muhammad bin Ya'qoob Al-Asam narrated to us, saying: Muhammad bin Ishaaq As-Saghaanee narrated to us, saying: Al-Aswad bin 'Aamir informed us, saying: Abu Bakr bin 'Ayyaash reported to us from Al-A'mash from Sa'eed bin 'Abdillaah that Abu Barzah Al-Aslamee said: Allaah's Messenger said:","1 - ___________ _________ _____ ______ ________ ____ _________ ____ ________ _____________ ______________ _____: ___ _____ ___________ _________ ____ _________ ___________ _____: __________ _________ ____ _________ ______________ _____: _____ ___________ ____ ________ _____: ___________ _____ ______ ____ _________ ____ ____________ ____ [_:17] _______ ____ ______ ________ ____ _____ ________ _______________ _____: _____ _______ _______ ______ _____ ________ _________:"
"""The two feet of the servant will not cease (from standing before Allaah) on the Day of Judgement until he is asked about four things: On his life and how he spent it; On his knowledge and what he did for it; On his wealth and where he earned it and how he spent it; And on his body and in what way he utilized it.""","""___ _______ _______ ______ ______ ____________ ______ ________ ____ ________: ____ ________ ______ __________ ______ ________ ______ ______ ______ ______ _______ ____ ______ ___________ ________ ___________ ______ ________ ______ _________"""
"[2] Abul-Hasan 'Alee bin Ahmad bin Muhammad bin Dawood Ar-Razaaz informed me, saying: 'Alee bin Ibraaheem bin Hammaad Al-Azdee informed us, saying: Al- Mufdil bin Muhammad Al-Janadee narrated to us: Saamit bin Mu'aadh Al-Janadee narrated to us: 'Abdul-Majeed bin 'Abdil-'Azeez bin Abee Rawwaad narrated to us from Sufyaan Ath-Thawree [from Safwaan bin Saleem] from 'Adiyy bin 'Adiyy from As-Sunaabihee7 that Mu'aadh bin Jabal said: The Messenger of Allaah said:","2 - ___________ _____ _________ _______ ____ ________ ____ _________ ____ _______ ____________ _____: ___________ _______ ____ ____________ ____ ________ _____________ ___ ____________ ____ _________ _____________ ___ _______ ____ _______ _____________ ___ ______ __________ ____ ______ __________ ____ _____ _________ ____ _________ _____________ ____ _________ ____ _________ ____ _______ ____ ________ ____ ________________ ____ _______ ____ _______ _____: _____ _______ _______ ______ _____ ________ _________:"
"""The two feet of the servant will not cease (from standing before Allaah) on the Day of Judgement until he is asked about four matters: On his life and how he spent it; On his wealth and where he earned it; And on what he spent it;     And on his knowledge and what he did for it.""","""___ _______ _______ ______ ______ ____________ ______ ________ ____ ________ _______: ____ ________ ______ __________ ______ _______ ____ ______ ___________ ________ ___________ ______ ________ ______ ______ _____"""
"[3] Abul-Husayn 'Alee bin 'Abdil-Wahhaab bin Ahmad bin Muhammad As-Sukree informed us: Abu 'Umar Muhammad bin Al-'Abbaas Al-Kharraaz narrated to us, saying: Abu Muhammad Ja'far bin Ahmad Al-Marwazee, the Mu'adhin, reported to us: Ismaa'eel bin Muhammad bin Yahyaa bin Hammaad bin Habeeb bin Sa'ad, the freed slave of Al-Fadl bin Al-'Abbaas bin 'Abdil-Malik, narrated to us in Koofah: Ibn Fudayl narrated to us from Layth from 'Adiyy bin 'Adiyy from Rajaa bin Haywah that Mu'aadh bin Jabal said:","3 - ___________ _____ ___________ _______ ____ ______ ___________ ____ ________ ____ _________ ______________ ___ _____ ______ _________ ____ ___________ ____________ _____: ___________ _____ _________ ________ ____ ________ ______________ _____________ ___ ____________ ____ _________ ____ _______ ____ ________ ____ _______ ____ _______ _______ _________ ____ ___________ ____ ______ _________ _____________ ___ _____ _________ ____ _______ ____ _______ ____ ________ ____ _______ ____ _________ ____ _______ ____ _______ _____:"
"""The foot of the servant will not cease (from standing before Allaah) on Day of Judgement until he is asked about four things: On his body and how used it; On his life and how he spent it; On his wealth and where he earned it and on what he spent it; And on his knowledge and how he acted due to it.""","""___ _______ ______ ______ ______ ____________ ______ ________ ____ ________: ____ ________ ______ __________ __________ ______ __________ _________ ____ ______ ___________ _____ _____ ______ ___________ ______ ________ ______ ______ _____"""
"[4] Abul-Husayn Muhammad bin Al-Hasan bin Ahmad Al-Ahwaazee informed us: Muhammad bin Ishaaq bin Ibraaheem, the Judge in Al- Ahwaaz informed us: Muhammad bin 'Abdoos, the Scribe, narrated to us: Zayd bin Al-Hirsh narrated to us: 'Abdullaah bin Kharraash narrated to us from Al-'Awaam from Abu Saadiq that 'Alee said:","4 - ___________ _____ ___________ _________ ____ _________ ____ ________ ________________ ___ _________ ____ _________ ____ ____________ __________ _______________ ___ _________ ____ _________ ___________ ___ ______ ____ __________ ___ ______ _______ ____ ________ ____ ____________ ____ _____ ________ ____ ________ _____:"
"""A man said: 'O Messenger of Allaah! What will eradicate the burden of ignorance from me?' He said: 'Knowledge.' The man said: ""Then what will cancel out the burden of knowledge from me?' He said: 'Action.'""",_____ ______: “___ _______ _______ ___ _______ _______ __________ _____: «_________» _____: _____ _______ ______ _______ __________ _____: «_________»
"[5] Abul-Fat'h Muhammad bin Ahmad bin Abil-Fawaaris, the Haafidh, and Abu Bakr Muhammad bin Ahmad bin Yoosuf As-Sayaad and Abu 'Alee Al-Hasan bin Ahmad bin Ibraaheem bin Shaadhaan all informed us, saying: Abu Bakr Ahmad bin Yoosuf bin Khalaad An-Nasyee reported to us: Al-Haarith bin Muhammad bin Abee Usaamah narrated to us: Al-Hakam bin Moosaa narrated to us: Al-Waleed, i.e. Ibn Muslim, narrated to us from a shaikh from the area of Kalb, whose kunyah was Abu Muhammad, that he heard Mak'hool narrate that Abud-Dardaa said: The Messenger of Allaah said to me:","5 - ___________ _____ _________ _________ ____ ________ ____ _____ ____________ ___________ _______ ______ _________ ____ ________ ____ _______ ___________ _______ _______ _________ ____ ________ ____ ____________ ____ ________ _______: _____ _____ ______ ________ ____ _______ ____ ________ ______________ __ __________ ____ _________ ____ _____ __________ __ _________ ____ _______ __ __________ _______ _____ _________ ____ _______ ____ ______ ________ _______ _________ _______ ______ __________ __________ _____ _____ ____________ ______: _____ ___ _______ _______ ______ _____ ________ _________:"
"""How will you be, O 'Uwaymir, when it will be said to you on the Day of Judgement: 'Did you have knowledge or were you ignorant?' So if you respond: 'I had knowledge', it will be said to you: 'What did you do based on your knowledge?' And if you say: 'I was ignorant', it will be said to you: 'What was your excuse for being ignorant, did you not try to acquire knowledge?'""",""" ______ ______ ___ __________ _____ _____ ____ ______ ____________: __________ ____ _________ ______ ______: _________ _____ ____: ________ ________ ______ _________ ______ ______: _________ _____ ____: _____ _____ ________ ______ _________ _____ ____________ """
"[6] Abu 'Abdillaah Muhammad bin 'Abdil-Waahid bin Ahmad At-Tarqee, the reliable one in Kurj (i.e. Georgia) informed us: Abu Bakr 'Umar bin Ibraaheem bin Mardaweeh Al-Kurjee narrated to us: Abaan bin Ja'far bin Abee Ja'far An-Nujair narrated to us: Ahmad bin Sa'eed Ath-Thaqafee Al-Matoo'ee narrated to us: Sufyaan bin 'Uyainah narrated to us, saying: Ibraaheem bin Maysarah reported to us that Anas said: The Messenger of Allaah said:","6 - ___________ _____ ______ _______ _________ ____ ______ __________ ____ ________ ____________ _________ ____________ ___ _____ ______ ______ ____ ____________ ____ ____________ _____________ ___ _______ ____ ________ ____ _____ ________ ________________ ___ ________ ____ _______ ____________ _________________ ___ _________ ____ ___________ _____: _____ ____________ ____ ___________ ____ _______ _____: _____ _______ _______ ______ _____ ________ _________:"
"""Acquire knowledge and act upon it, and teach it to others [and do not place it in people that are not deserving of it], nor prevent it from those who are deserving of it.""","«___________ _________ ___________ _____ _____________ _____ _________ ___ ______ _________ _____ ___________ ____ ________»"
"[7] Abul-Hasan Muhammad bin Ahmad [bin Muhammad bin Ahmad bin Rizq Al- Bazaar] informed us: Abu 'Amr 'Uthmaan bin Ahmad bin ""Abdillaah Ad-Daqaaq narrated to us, saying: 'Abdullaah bin Muhammad bin Ismaa'eel At-Tabaan Al-Basree narrated to us: Muhammad bin Abee Bakr Al-Maqdamee narrated to us: Bishr [bin 'Ubaad] narrated to us from Bakr bin Khunais, saying: Hamzah An-Nusaybee narrated to me from Yazeed bin Yazeed bin Jaabir from his father that Mu'aadh bin Jabal said: The Messenger of Allaah said:","7 - ___________ _____ _________ _________ ____ ________ ____ _________ ____ ________ ____ ______ ____________ ___ _____ _______ _________ ____ ________ ____ ______ _______ ___________ _____: ___ ______ _______ ____ _________ ____ ____________ ___________ _____________ ___ _________ ____ _____ ______ ________________ ___ ______ ____ _________ ____ ______ ____ _________ _____: __________ ________ ______________ ____ _______ ____ _______ ____ ________ ____ ________ ____ _______ ____ _______ _____: _____ _______ _______ ______ _____ ________ _________:"
"""Learn whatever you wish to learn, for Allaah, Mighty and Sublime, will never benefit (i.e. reward) you until you act upon what you know.""","«___________ ___ ________ ____ ____________ ______ ____________ _______ _____ _______ ______ __________ _____ ___________»"
"[8] Muhammad bin Abee 'Alee Al-Asbahaanee informed me, saying: Ahmad bin 'Abdaan Ash-Sheeraazee, the Haafidh, informed us, saying: Muhammad bin Muhammad bin Sulaymaan Al-Baaghandee narrated to us: ""Alee bin Al-Madeenee narrated to us: 'Uthmaan bin 'Abdir-Rahmaan Al-Jamhee narrated to us from Yazeed bin Yazeed bin Jaabir from his father that Mu'aadh bin Jabal said: The Messenger of Allaah said:","8 - ___________ _________ ____ _____ _______ __________________ _____: ________ ________ ____ _________ ______________ ___________ _____: ___ _________ ____ _________ ____ ___________ ________________ ___ _______ ____ ______________ ___ _________ ____ ______ ___________ _____________ ____ _______ ____ _______ ____ ________ ____ ________ ____ _______ ____ _______ _____: _____ _______ _______ ______ _____ ________ _________:"
"""Learn whatever you wish to learn, for Allaah will never reward you until you do deeds.""","«___________ ___ ________ ____ ____________ ______ ____________ _______ ______ __________»"
"[9] Abu Sa'eed Al-Hasan bin Muhammad bin 'Abdillaah, the Scribe, reported to us in Asbahaan, saying: The Judge, Abu Bakr Muhammad bin 'Umar bin Salam, the Haafidh, narrated to us, saying: 'Abdullaah bin Imraan An-Najjaar narrated to me: Ibraaheem bin Sa'eed narrated to us, saying: Al-Hasan bin Bishr narrated to us from his father from Sufyaan Ath-Thawree from Thuwair bin Abee Faakhitah from Yahya bin Ja'dah that 'Alee said:","9 - ___________ _____ _______ _________ ____ _________ ____ ______ _______ ___________ _____________ _____: ___ _________ _____ ______ _________ ____ ______ ____ _______ __________ _____: __________ ______ _______ ____ _________ ____________ ___ ____________ ____ ________ _____: ___ _________ ____ _______ ____ ________ ____ _________ _____________ ____ ________ ____ _____ __________ ____ _______ ____ _________ ____ ________ _____:"
"""O carriers of knowledge! Act upon your knowledge, for indeed the one with knowledge is only he who acts on it. There will come a people who will carry knowledge, yet compete with one another to the point that a man will become angry at one of his students for sitting in another person's I gathering. These are the people whose deeds will not be raised up to heaven.""","«___ ________ _________ _________ _____ __________ __________ ____ _______ ___________ ______ ___________ __________ ________ __________ _______ ______ _____ _________ __________ _____ _________ ____ ________ _____ _________ _________ ___ ________ _____________ _____ __________»"
"[10] Abul-Hasan 'Alee bin Ahmad bin Ibraaheem bin Ismaa'eel Al-Bazaar reported to us in Basrah, saying: Abu 'Alee Al-Hasan bin Muhammad bin 'Uthmaan Al-Fasawee narrated to us: Ya'qoob bin Sufyaan narrated to us: Khalf bin Al-Waleed Abul- Waleed narrated to us: Khaalid bin 'Abdillaah narrated to us.... And Abu Bakr Ahmad bin 'Alee bin Yazdaad Al-Qaaree informed us, saying: 'Abdullaah bin Ibraaheem bin 'Abdil-Malik Al-Asbahaanee reported to us in it (i.e. Asbahaan): Muhammad bin 'Alee bin Mukhlid Al-Farqadee narrated to us: Ismaa'eel bin 'Amr narrated to us: Khaalid bin 'Abdillaah narrated to us.... And Abu Muhammad Yahyaa bin Al-Hasan bin Al-Hasan bin 'Alee Ibnul-Mundhir, the Judge, informed us: 'Alee bin 'Umar bin Ahmad, the Haafidh, narrated to us: Muhammad bin Yahyaa bin Haaroon Al-Iskaafee narrated to us in Iskaaf: Ishaaq bin Shaaheen narrated to us: Khaalid bin 'Abdillaah narrated to us from... Yazeed bin Abee Ziyaad from Ibraaheem from 'Alqamah that 'Abdullaah ibn Mas'ood said:","10 - ________ _____ _________ _______ ____ ________ ____ ____________ ____ ____________ ___________ _____________ _____: ___ _____ _______ _________ ____ _________ ____ _________ _____________ ___ _________ ____ __________ ___ ______ ____ __________ _____ ___________ ___ _______ ____ ______ ________ _ _____________ _____ ______ ________ ____ _______ ____ _________ ___________ _____: ___________ ______ _______ ____ ____________ ____ ______ _________ [_:23] __________________ ______ ___ _________ ____ _______ ____ ________ _______________ ___ ____________ ____ ________ ___ _______ ____ ______ ________ _ _____________ _____ _________ _______ ____ _________ ____ _________ ____ _______ ___________ __________ ___ _________ ____ _______ ____ ________ ________________ ____________ ___ _________ ____ _________ ___ _______ ____ ______ ________ ____ _______ ____ _____ ________ ____ _____________ ____ ___________ ____ ______ ________ _____: _____ _______ ______ _____: _____ _____ _________:"
"""Learn! Learn! So when you have learned, then act."" In the hadeeth of Ibn Al-Mundhir: ""Learn"" is mentioned only once.",«___________ ___________ _______ __________ ___________» _____ _______ _____ ___________: ___________ _______ _________
"[11] Abu Sa'eed Muhammad bin Moosaa bin Al-Fadl As-Sayrafee reported to us in Naisapur: Abul-'Abbaas Muhammad bin Ya'qoob Al-Asam narrated to us: Haaroon bin Sulaymaan Al-Asbahaanee narrated to us: ""Abdur-Rahmaan bin Mahdee narrated to us from Sufyaan...
And Abu Sa'eed Al-Hasan bin Muhammad bin 'Abdillaah bin Hasanwaih Al- Asbahaanee informed us, saying: Abu Ja'far Ahmad bin Ibraaheem bin Yoosuf At- Tameemee narrated to us, saying: 'Imraan bin 'Abdir-Raheem narrated to us: Al- Husayn bin Hafs narrated to us from Sufyaan... From Al-A'mash from Tameem bin Salamah from Abu 'Ubaydah that ""Abdullaah bin Mas'ood said:","11 - ___________ _____ _______ _________ ____ ______ ____ _________ ______________ _______________ ___ _____ ___________ _________ ____ _________ ___________ ___ ________ ____ ___________ __________________ __ ______ ___________ ____ __________ ____ __________ _ _____________ _____ _______ _________ ____ _________ ____ ______ _______ ____ ____________ __________________ _____: ___ _____ ________ ________ ____ ____________ ____ _______ ______________ _____: ___ _________ ____ ______ ___________ ___ ___________ ____ ______ [_:24]_ ___ __________ ____ ____________ ____ _______ ____ _________ ____ _____ ___________ _______: _____ ______ _______:"
"""Learn! So whoever has knowledge, must act (on what he knows)."" This is the wording of Ibn Mahdee. Abu Sa'eed As-Sayrafee did not mention Tameem bin Salamah to us in his chain of narration. Ibn Hasanwaih reported from Abu 'Ubaydah that 'Abdullaah bin Mas'ood said:""O people, learn! So then whoever has knowledge, must act (on what he knows).""","«___________ ______ ______ ____________» _____ ______ _____ __________ ______ ________ _____ _____ _______ ______________ ___ ___________ _______ ____ _________ _______ _____ ____________: ____ _____ ___________ ____ ______ _______ ____ _________ _____: ________ ________ ____________ ______ ______ ____________"
"[12] 'Alee bin 'Abdil-Wahhaab As-Sukree informed me, saying: Muhammad Ibnul- 'Abbaas Al-Kharraaz reported to us, saying: Ja'far bin Ahmad Al-Marwazee reported to us: Ismaa'eel bin Muhammad bird Ismaa'eel narrated to us: Ibn Fudayl narrated to us from Ibraaheem Al-Hajaree from Abu 'Iyyaad that Abu Hurairah said:","12 - ___________ _______ ____ ______ ___________ ______________ _____: ________ _________ ____ ___________ ____________ _____: ________ ________ ____ ________ _______________ ___ ____________ ____ _________ ____ _____________ ___ _____ _________ ____ ____________ _____________ ____ _____ ________ ____ _____ ___________ _______ _____:"
"""The example of knowledge that is not acted upon is like that of treasure] that is not spent from in the Way of Allaah, Mighty and Sublime.""",«______ ______ ___ ________ ____ ________ ______ ___ ________ ______ ___ _______ _______ _____ _______»
"[13] Abul-Husayn Muhammad bin Al-Husayn bin Muhammad bin Al-Fadl Al- Qattaan informed us, saying: Abu Muhammad 'AbduUaah bin Ja'far bin Durustawaih An-Nahawee reported to us: Ya'qoob bin Sufyaan narrated to us: 'Abdur-Rahmaan bin Ibraaheem narrated to us: Al-Waleed narrated to| us: Al-Qaasim bin Hazzaan narrated to us, saying: I heard Az-Zuhree say:","13 - ___________ _____ ___________ _________ ____ ___________ ____ _________ ____________ _____: ________ _____ _________ ______ _______ ____ ________ ____ ______________ _____________ ___ _________ ____ __________ ___ ______ ___________ ____ _____________ ___ ___________ ___ __________ ____ _________ _____: ________ _____________ _______:"
"""The people will not trust the action of a person that does deeds but has no knowledge, nor will they be pleased with the statement of a person that has knowledge but doesn't do deeds.""","«___ _______ _________ ______ _______ ___ _________ _____ _______ ________ _______ ___ ________»"
[14] Muhammad bin Ahmad bin Rizq informed us: 'Uthmaan bin Ahmad Ad-Daqaaq narrated to us: Hanbal bin Ishaaq narrated to us: Sulaymaan bin Ahmad Al-Waasitee narrated to us: Al-Waleed bin Muslim informed us: Al-Qaasim bin Hazzaan narrated to me that he heard Az-Zuhree say:,"14 - ___________ _________ ____ ________ ____ _____________ _____ _________ ____ ________ ____________ ___ ________ ____ __________ ___ ___________ ____ ________ ______________ ________ __________ ____ _________ __________ __________ ____ _________ ______ _____________ _______:"
"""The people will never be pleased with the statement of one who has knowledge but no deeds or one who has deeds but no knowledge.""","«___ ___________ ________ ______ _______ ___ _________ _____ _______ ___ ________»"
"[15] The Judge, Abul-'Alaa Muhammad bin 'Alee bin Ahmad bin Ya'qoob Al- Waasitee informed us: 'Alee bin Muhammad bin 'Abdillaah Al-Baranee narrated to us in Waasit: Yahyaa bin Saa'id narrated to us: Muhammad bin Abee' Abdir-Rahmaan Al-Muqree narrated to us: Hakkaam bin Salam Ar-Raazee naarrated to us from Abu Sinaan from 'Amr bin Murrah from 'Alee bin Al-Husayn that the Prophet said:","15 - ___________ _________ _____ __________ _________ ____ _______ ____ ________ ____ _________ ______________ ___ _______ ____ _________ ____ ______ _______ _____________ __________ ___ _______ ____ ________ ___ _________ ____ _____ ______ ___________ _____________ ___ ________ ____ ______ ____________ ____ _____ ________ ____ _______ ____ ________ ____ _______ ____ ____________ _____ __________ ______ _____ ________ _________ _____ [_:26]:"
"""Action and Faith (Eemaan) are two partners - neither of the two is valid without the presence of its companion.""",«_________ _____________ __________ ___ ________ _____ _______ _________ ______ ____ _________» _____ _______: _____ _____ _______ _________ ____ _____ ______ ___________: _____ _____ _____ _____ ______ ________ ____ _________ ______ ______ ______ _____ ____ ________
"[16] Muhammaad bin Ahmad bin Rizq informed us, saying: 'Uthmaan bin Ahmad bin 'Abdillaah Ad-Daqaaq narrated to us: Husayn bin Abee Mi'shar narrated to us, saying: Wakee' reported to us from Ja'far bin Barqaan from Faraat bin Salmaan that Abud-Dardaa said:","16 - ___________ _________ ____ ________ ____ _______ _____: ___________ _________ ____ ________ ____ ______ _______ ____________ ___ ________ ____ _____ _________ _____: _____ ________ ____ ________ ____ __________ ____ _______ ____ __________ ____ _____ _____________ _____:"
"""Verily, you will never be a scholar until you first become a seeker of knowledge. And you will never (truly) be a seeker of knowledge until you first act upon what you know.""","«_______ ____ _______ ________ ______ _______ _____________ ______ _______ ____________ ______ _______ _____ ________ ________»"
"[17] Abu Sa'eed Muhammad bin Moosaa As-Sayrafee informed us: Abul""Abbaas Muhammad bin Ya'qoob Al-Asam narrated to us: Yahyaa bin Abee Taalib reported to us: 'Abdul-Wahhaab bin 'Ataa informed us: Hishaam Ad-Dustawaa'ee narrated to us from Bard from Sulaymaan, the Judge of 'Umar bin 'Abdil-'Azeez, that Abud-Dardaa said:","17 - ___________ _____ _______ _________ ____ ______ _____________ __ _____ ___________ _________ ____ _________ ___________ __ _______ ____ _____ ________ _____ ______ ___________ ____ ________ _____ _______ __________________ ____ _______ ____ ____________ ______ ______ ____ ______ __________ _____: _____ _____ ____________:"
"""You will not be a scholar until you first become a student. And you will not be knowledgeable of the knowledge you possess until you first act upon it.""","«___ _______ ________ ______ _______ _____________ _____ _______ ___________ ________ ______ _______ ____ ________»"
"[18] Abul-Qaasim 'Abdur-Rahmaan bin Ahmad bin Ibraaheem Al-Qazweenee informed us, saying: Abul-Hasan 'Alee bin Ibraaheem bin Salamah bin Bahr Al- Hawdee narrated to us: Yazeed bin Ibraaheem narrated to us, saying: I heard Al- Hasan say: Abud-Dardaa said:","18 - ___________ _____ __________ ______ ___________ ____ ________ ____ ____________ ________________ _____: _____ _____ _________ _______ ____ ____________ ____ ________ ____ ______ _____________ ___ _______ ____ _____________ _____: ________ _________ _______: _____ _____ ____________:"
"""Son of Aadam! Perform deeds (for the sake of Allaah) as if you see Him, count yourself as being amongst the dead, and fear the supplication of the oppressed.""","«_____ _____ _______ _________ ________ _________ ________ ___ ___________ ________ ________ ____________»"
"[19] Abul-Husayn 'Alee bin Muhammad bin 'Abdillaah bin Basheer informed us that Al-Mu'adal said: Abu 'Alee Al-Husayn bin Safwaan Al-Bardha'ee narrated to us, saying: Abu Bakr 'Abdullaah bin Muhammad bird Abee Ad-Dunyaa narrated to us, saying: Muhammad bin Al-Husayn Al-Qattaan narrated to us in Qazween: Abu Haatim Ar-Raazee narrated to us: Khaalid bin 'Amr Al-Umawee narrated to us from Shaybaan An-Nahawee from Layth from Talhah bin Musarraf from Shaddaad bin Aws who reported, I think, from the Prophet, that he said:","19 - ___________ _____ ___________ _______ ____ _________ ____ ______ _______ ____ _________ _____________ _____: __________ _____ _______ ___________ ____ _________ _______________ _____: ___ _____ ______ ______ _______ ____ _________ ____ _____ ___________ _____: __________ _________ ____ ___________ ____________ ____________ ___ _____ _______ ____________ ___ _______ ____ _______ _____________ ____ _________ _____________ ____ _______ ____ ________ ____ __________ ____ ________ ____ _______ _____: “__________ ____ __________ ______ _____ ________ _________ _____ [_:28]:"
"""Perform deeds while you are cautious of Allaah. And know that you will present your deeds (for judgement) and that you will meet Allaah - you have no way out from this. Whoever does an atom's weight of good, will see it, and whoever does an atom's weight of evil, will see it.""","""_________ __________ ____ _______ _____ _______ ___________ _________ ____________ _____ ______________ ___________ _________ _______ ___ _____ ______ ____ _______ {______ ________ _________ _______ _______ _______ ______ ________ _________ _______ ______ ______} [_______: 8]"""
