قَالَ عبد القاهر للْحَدِيث الْوَارِد فِي افْتِرَاق الإمامة أَسَانِيد كَثِيرَة وَقد رَوَاهُ عَن النَّبِي صلى الله عليه وسلم جمَاعَة من الصَّحَابَة كأنس بن مَالك وَأبي هُرَيْرَة وَأبي الدَّرْدَاء وَجَابِر وَأبي سعيد الْخُدْرِيّ وَأبي بن كَعْب وَعبد الله بن عَمْرو بن الْعَاصِ وَأبي إمامة ووائله بن الاسقع وَغَيرهم وَقد روى عَن الْخُلَفَاء الرَّاشِدين أَنهم ذكرُوا افْتِرَاق الإمامة بعدهمْ فرقا وَذكروا أن الْفرْقَة النَّاجِية مِنْهَا فرقة وَاحِدَة وسائرها على الضلال فِي الدُّنْيَا والبوار فِي الْآخِرَة,"‘Abd al-Kahir says that there are many Isnads (chains of traditions) for the tradition dealing with the division of the community. A number of the following Companions have handed it down as coming from the Prophet: Anas ibn-Malik, abu-Hurairah, abu-l-Darda, Jabir, abu-Sa‘id al-Khidri, Ubai ibn-Ka‘b, ‘Abdallah ibn- ‘Amr ibn-al-‘As, abu-Imamah, Wathilah ibn-al-Aska‘ and others. It is also handed down that the pious caliphs mentioned that the community would be divided after them, that one sect only would save itself, and that the rest of them would be given to error in this world, and to destruction in the next."
وروى عَن النَّبِي صلى الله عليه وسلم ذمّ الْقَدَرِيَّة وَأَنَّهُمْ مجوس هَذِه الإمامة وروى عَنهُ ذمّ المرجئة مَعَ الْقَدَرِيَّة وروى عَنهُ أيضا ذمّ المارقين وهم الْخَوَارِج وروى عَن أَعْلَام الصَّحَابَة ذمّ الْقَدَرِيَّة والمرجئة والخوارج المارقة,"Moreover, it is reported of the Prophet that he condemned the Kadarites, calling them the Magians of this people. It is also reported that he condemned the Murjiites together with the Kadarites. To this is added the report that he condemned the heretics, i. c. the Kharijites. While it is handed down from the leading Companions that he 6 condemned the Kadarites and the Murjiites and the heretical Kharijites."
وَقد ذكرهم على رضى الله عَنهُ فِي خطبَته الْمَعْرُوفَة بالزهراء وبرىء فِيهَا من أهل الاديموات وَقد علم كل ذِي عقل من أَصْحَاب المقالات المنسوبة إلى أن النَّبِي صلى الله عليه وسلم عليه السلام لم يرد بِالْفرقِ المذمومة الَّتِي أهل النَّار فرق الْفُقَهَاء الَّذين اخْتلفُوا فِي فروع الْفِقْه مَعَ اتِّفَاقهم على اصول الدّين لأن الْمُسلمين فِيمَا اخْتلفُوا فِيهِ من فروع الْحَلَال وَالْحرَام على قَوْلَيْنِ,"‘Ali, Allah have mercy on him, mentions these sects in his Khutbah (sermon) which is known as the Zahra’; in it he declared himself not responsible for the people of Adimawat. Every man of intelligence among the authors of the treatises ascribed to . . . (text not clear) has known that the Prophet in speaking of the divisions that were to be condemned and the members of which were destined for hell-fire, did not mean the various legal schools, who, though they disagreed as to the derivative Institutes of law, agreed concerning the fundamentals of religion. Now the Mohammedans held two opinions as regards the deductions drawn from the fundamental principles of right and wrong."
أَحدهمَا قَول من يرى تصويب الْمُجْتَهدين كلهم فِي فروع الْفِقْه وَفرق الْفِقْه كلهَا عِنْدهم مصيبون وَالثَّانِي قَول من يرى فِي كل فرع تصويب وَاحِد من المتخلفين فِيهِ وتخطئة البَاقِينَ من غير تضليل مِنْهُ للمخطئ فِيهِ,"The first looks with approval upon all those who promoted the Science of derivative Institutes. For it, all the legal schools are right. The second approves, in connection with each derivative Institute, one of the parties contending about it and disapproves all the others—without, however, attributing error to the one who goes astray in the matter."
وَإِنَّمَا فصل النَّبِي عليه السلام بِذكر الْفرق المذمومة فرق أَصْحَاب الْأَهْوَاء الضَّالة الَّذين خالفوا الْفرْقَة النَّاجِية فِي ابواب الْعدْل والتوحيد أَو فِي الْوَعْد والوعيد أَو فِي بابى الْقدر والاستطاعة أَو فِي تَقْدِير الْخَيْر وَالشَّر أَو فِي بَاب الْهِدَايَة والضلالة أَو فِي بَاب الْإِرَادَة والمشيئة أَو فِي بَاب الروية والإدراك أَو فِي بَاب صِفَات الله عز وجل وأسمائه وأوصافه أَو فِي بَاب من أَبْوَاب التَّعْدِيل والتجويز أَو فِي بَاب من أَبْوَاب النُّبُوَّة وشروطها وَنَحْوهَا من الابواب الَّتِي اتّفق عَلَيْهَا أهل السّنة وَالْجَمَاعَة من فريقى الرأى والْحَدِيث على أصل وَاحِد خالفهم فِيهَا أهل الْأَهْوَاء الضَّالة من الْقَدَرِيَّة والخوارج وَالرَّوَافِض والنجارية والجهمية والمجسمة والمشبهة.,"And verily the Prophet, in mentioning the sects condemned, had in mind only those holders of erring opinions who differ from the one sect which will be saved, in such matters as ethics and the unity (of God), promises and threats (regarding future life), predestination and freewill, the determination of good and evil, right guidance and error, the will and wish of God, prophetic vision and understanding, the attributes of Allah, his names and qualities, any question concerning what is ordered and what is permitted, [signs for] prophecy and its conditions, and similar questions in which the Sunnites and the (Moslem) community from among the followers of analogical deduction and tradition agree upon the fundamentals, and in which they are opposed by the holders of erring opinions, namely the Kadariyah, the Khawarij, the Rawafid, the Najjarlyah, the Jahmiyah, the Mujassimah, the Mushabbihah, and those who follow them  among the erring sects."
وَمن جرى من فرق الضلال فان الْمُخْتَلِفين فِي الْعدْل والتوحيد والقبور والاسلاف متحدو الروية وَالصِّفَات وَالتَّعْدِيل والتجويز,"And, verily, those who differ in regard to ethics and the unity (of God), the worship of graves and of ancestors, are agreed in regard to such matters as celestial vision, divine attributes, what is ordained and what is permitted."
وفى شُرُوط النُّبُوَّة والإمامة يكفر بَعضهم بَعْضًا فصح تَأْوِيل الحَدِيث المروى فِي افْتِرَاق الإمامة ثَلَاثًا وَسبعين فرقة إلى هَذَا النَّوْع من الِاخْتِلَاف دون الانواع الَّتِي اخْتلفت فِيهَا ائمة الْفِقْه من فروع الاحكام فِي أَبْوَاب الْحَلَال وَالْحرَام,"But in regard to the conditions of true prophecy and the Imamship, some of them accuse each other of unbelief. So that the tradition handed down in regard to the breaking-up of the community into 73 sects must be understood to refer to differences such as these not to those on which the leading jurists differed in the matter of Institutes drawn from the fundamental principles of right and wrong."
أَو لَيْسَ فِيمَا بَينهم تَكْفِير وَلَا تضليل فِيمَا اخْتلفُوا فِيهِ من احكام الْفُرُوع وَسَنذكر الْفرق الَّتِي رَجَعَ اليهم تَأْوِيل الْخَبَر المروى فِي افْتِرَاق الإمامة فِي الْبَاب الَّذِي يلى مَا نَحن فِيهِ أن شَاءَ الله عز وَجل,"Is it not that in those things in which they differ as regards Institutes, it is not at all a question of unbelief or of error? I shall mention in the following chapter the various sects to which the tradition refers concerning the subdividing of the Islamic world, so it please Allah."
الْبَاب الثَّانِي من أَبْوَاب هَذَا الْكتاب,PART II
فِي كَيْفيَّة افْتِرَاق الإمامة ثَلَاثًا وَسبعين وفى ضمنه بَيَان الْفرق الَّذين يجمعهُمْ اسْم مِلَّة الإسلام فِي الْجُمْلَة يَقع فِي هَذَا الْبَاب فصلان أَحدهمَا فِي بَيَان الْمَعْنى الْجَامِع للْفرق الْمُخْتَلفَة فِي اسْم مِلَّة الإسلام فِي الْجُمْلَة والفصل الثَّانِي فِي بَيَان كَيْفيَّة اخْتِلَاف الإمامة وَتَحْصِيل عدد فرقها الثَّلَاث وَسبعين وَسَنذكر فِي كل وَاحِد من هذَيْن الْفَصْلَيْنِ مُقْتَضَاهُ أن شَاءَ الله عز وجل,"This part treats of the manner in which this community has been divided into 73. It also contains an explanation of the sects which are collected under the general name of the Mi Hat al-Islam. There are two chapters in this part: one deals with the explanation of the idea underlying the different sects included under the general name of Millat al-Islam: the second concerns the explanation of how the community has become divided, and the enumeration of its 73 sects. I shall mention in each one of these chapters what is necessary, so it please Allah."
‌‌الْفَصْل الأول,This chapter explains the idea underlying the expression Millat al-Islam as a general designation of the various sects. Before going into details it is necessary to say that those who belong to Islam are divided in opinion in regard to those to whom the general name of Millat al-Islam is given.
فِي بَيَان الْمَعْنى الْجَامِع للْفرق الْمُخْتَلفَة فِي اسْم مِلَّة الإسلام على الْجُمْلَة قبل التَّفْصِيل اخْتلف المنتسبون إلى الإسلام فِي الَّذين يدْخلُونَ بِالِاسْمِ الْعَام فِي مِلَّة الاسلام,
فَزعم أَبُو الْقَاسِم الكعبي فِي مقالاته أن قَول الْقَائِل امة الإسلام تقع على كل مقرّ بنبوة مُحَمَّد صلى الله عليه وسلم وان كل مَا جَاءَ بِهِ حق كَائِنا قَوْله بعد ذَلِك مَا كَانَ وَزعم قوم أن أمة الإسلام كل من يرى وجوب الصَّلَاة إلى جِهَة الْكَعْبَة وَزَعَمت الكرامية مجسمة خُرَاسَان أن امة الإسلام جَامِعَة لكل من أقرّ بشهادتي الإسلام لفظا,"Abu-l-Kasim al-Ka‘bi claims in his treatises, ""When one uses the expression Ummat al-Islam, it refers to everyone who affirms the prophetic character of Muhammad, and the truth of all that he preached, no matter what he asserted after this declaration."" Others claim that Ummat al-Islam comprises all who acknowledge the necessity of turning in the direction of the Ka‘bah in prayer. The Karramiyah, the Mujassimah (corporealists) of Khurasan, say that the expression Ummat al-Islam comprises all those who enunciate the two parts of the creed."
وَقَالُوا كل من قَالَ لَا اله الا الله مُحَمَّد رَسُول الله فَهُوَ مُؤمن حَقًا وَهُوَ من أهل مِلَّة الإسلام سَوَاء كَانَ مخلصا فِيهِ أَو منافقا مُضْمر الْكفْر فِيهِ والزندقة وَلِهَذَا زَعَمُوا أن الْمُنَافِقين فِي عهد رَسُول الله صلى الله عليه وسلم كَانُوا مُؤمنين حَقًا وَكَانَ ايمانهم كايمان جِبْرِيل وميكاءيل والانبياء وَالْمَلَائِكَة مَعَ اعْتِقَادهم النِّفَاق وَإِظْهَار الشَّهَادَتَيْنِ,"They say everyone who says, “There is no God but Allah, and Muhammad is the prophet of Allah,"" is verily a true believer, and belongs to the Millat al-Islam, no matter whether he is sincere or insincere, hiding unbelief and heresy under this assertion. Thus they claimed that those who were insincere in the time of the prophet Allah were really believers, and that their faith was like the faith of Gabriel and Michael and the prophets and the angels, in spite of their joining treachery to their profession of the two parts of the creed."
وَهَذَا القَوْل مَعَ قَول الكعبى فِي تفسيراته الإسلام ينْتَقض بقول العيسوية من يهود أَصْبَهَان فانهم يقرونَ بنبوة نَبينَا مُحَمَّد صلى الله عليه وسلم وَبِأَن كل مَا جَاءَ بِهِ حق وَلَكنهُمْ زَعَمُوا انه بعث إلى الْعَرَب لَا إلى بنى اسرائيل وَقَالُوا أيضا مُحَمَّد رَسُول الله وَمَا هم معدودين فِي فرق الإسلام وَقوم من شاركانية الْيَهُود حكوا عَن زعيمهم الْمَعْرُوف بشاركان أَنه قَالَ أن مُحَمَّدًا رَسُول الله إلى الْعَرَب والى سَائِر النَّاس مَا خلا الْيَهُود,"This opinion, together with the opinion of al-Ka'bl in his expla-nations of the name of Islam, is refuted by the saying of the ‘Isawlah among the Jews of Ispahan. For verily they accept the prophetic character of our prophet Muhammad, and the truth of all his teachings. But they claim that he was sent to the Arabs, not to the Banu Israel. They say also that Muhammad is the prophet of Allah. Nevertheless, they are not numbered among the sects of Islam. And some of the Sharikaniyah among the jews relate concerning their leader known as Sharikan that he said: Indeed Muhammad was a prophet of Allah to the Arabs, and to the rest of mankind, with the exception of the Jews.”"
وَأَنه قَالَ أن الْقُرْآن حق وكل الإذان وَالْإِقَامَة والصلوات الْخمس وَصِيَام شهر رَمَضَان وَحج الْكَعْبَة كل ذَلِك حق غير أَنه مَشْرُوع للْمُسلمين دون الْيَهُود وَرُبمَا فعل ذَلِك بعض الشاركانية قد أقرُّوا بشهادتي أن لَا اله الا الله وَأَن مُحَمَّدًا رَسُول الله واقروا بِأَن دينه حق وَمَا هم مَعَ ذَلِك من أمة الإسلام لقَولهم بَان شَرِيعَة الإسلام لَا تلزمهم,"And also that he said: The Koran is true and the Adhan [the announcement of prayer], the Ikamah, the performance of io the five prayers, the fast of Ramadan, and the pilgrimage of the Ka‘bah, ail these are truths, but they are prescribed for the Moslems, not for the Jews.""Often some of the Sharikaniyah have kept some of these observances. They have professed the two parts of the creed: “There is no God but Allah, and Muhammad is the prophet of Allah.""They have also asserted that his religion is true. Yet, in spite of this, they are not of the Ummat al-Islam, because of their profession that the law of Islam has no binding force upon them."
وَأما قَول من قَالَ أن اسْم مِلَّة الإسلام امْر وَاقع على كل من يرى وجوب الصَّلَاة إلى الْكَعْبَة المنصوبة بِمَكَّة فقد رضى بعض فُقَهَاء الْحجاز هَذَا القَوْل وَأنْكرهُ أَصْحَاب الرأي لما روى عَن أبي حنيفَة أن صحّح إِيمَان من أقرّ بِوُجُوب الصَّلَاة إلى الْكَعْبَة وَشك فِي موضعهَا,"And as regards the saying of one who uses the expression Ummat al-Islam as a term to be applied to all who see the necessity of turning in prayer to the Ka‘bah situated in Mecca, it must be remembered that some of the legalists of al-Hijaz have favored this view, but the theoretical reasoners (ashab al-ra’i) rejected it, according to what Abu Hanifah reports, to the effect that he who believes in turning to the Ka‘bah in prayer, even if he is in doubt as to its location, is in the right."
وَأَصْحَاب الحَدِيث لَا يصححون إِيمَان من شكّ فِي مَوضِع الْكَعْبَة كَمَا لَا يصححون إِيمَان من شكّ فِي وجوب الصَّلَاة إلى الْكَعْبَة,"But the traditionalists (ashab al-Hadith) do not hold the belief that he is orthodox who doubts the location of the Ka‘bah, just as they do not accept one who doubts the necessity of turning to the Ka‘bah in prayer."
وَالصَّحِيح عندنَا أن أمة الإسلام تجمع المقرين بحدوث الْعَالم وتوحيد صانعه وَقدمه وَصِفَاته وعدله وحكمته وَنفى التَّشْبِيه عَنهُ وبنبوة مُحَمَّد صلى الله عليه وسلم ورسالته إلى الكافة وبتأييد شَرِيعَته وَبِأَن كل مَا جَاءَ بِهِ حق وَبِأَن الْقُرْآن منبع أَحْكَام الشَّرِيعَة وَأَن الْكَعْبَة هِيَ الْقبْلَة الَّتِي تجب الصَّلَاة اليها فَكل من أقرّ بذلك كُله وَلم يشبه ببدعة تُؤَدّى إلى الْكفْر فَهُوَ السنى الموحد وَأَن ضم إلى الاقوال بِمَا ذَكرْنَاهُ بِدعَة شنعاء نظر,"The true view, according to us, is that the Ummat al-Islam comprises those who profess the view that the world is created, the unity of its maker, his preexistence, his attributes, his equity, his wisdom, the denial of his anthropomorphic character, the prophetic character of Muhammad, and his universal Apostolate, the acknowledgment of the constant validity of his law, that all that he enjoined was truth, that the Koran is the source of all legal regulations, and that the Ka‘bah is the direction in which all prayers should be turned. Everyone who professes all this and does not follow a heresy that might lead him to unbelief, he is an orthodox Sunnite, believing in the unity of Allah. If, to the accepted beliefs which we have mentioned he adds a hateful heresy, his case must be considered."
فَإِن كَانَ على بِدعَة الباطنية أَو البيانية أَو الْمُغيرَة اَوْ الخطابية الَّذين يَعْتَقِدُونَ إلهية الائمة اَوْ إلهية بعض الْأَئِمَّة اَوْ كَانَ على مَذَاهِب الْحُلُول أَو على بعض مَذَاهِب أهل التناسخ اَوْ على مَذْهَب الميمونية من الْخَوَارِج الَّذين أباحوا نِكَاح بَنَات الْبَنَات وَبَنَات الْبَنِينَ أَو على مَذْهَب اليزيدية من الأباضية فِي قَوْلهَا بَان شَرِيعَة الإسلام تنسخ فِي آخر الزَّمَان أَو أَبَاحَ مَا نَص الْقُرْآن على تَحْرِيمه أَو حرم مَا أَبَاحَهُ الْقُرْآن نصا لَا يحْتَمل التَّأْوِيل فَلَيْسَ هُوَ من أمة الإسلام وَلَا كَرَامَة لَهُ,"And if he incline to the heresy of the Batinlyah, or the Bayanlyah, or the Alughirah, or the Khattabivah who believe in the divine character of all the Imams, or of some of them at least, or if he fellows the schools which believe in the incarnation of God, or one of the schools of the people believing in the transmigration of souls, or the school of the Alaimumyah of the Khawarij who allow marriage with one's daughter's daughter or one’s son’s daughter, or follow the school of the Yazidiyah from among the Ibadiyah with their teaching that the law of Islam will be abrogated at the end of time, or if he permits as lawful what the text of the Koran forbids, or forbids that which the text of the Koran allows as lawful, and which does not admit of differing interpretation, such an one does not belong to the Ummat al-Islam, nor should he be esteemed."
وان كَانَت بدعته من جنس بدع الْمُعْتَزلَة أَو الْخَوَارِج أَو الرافضة الامامية أَو الزيدية أَو من بدع البخارية أَو الْجَهْمِية أَو الضرارية أَو المجسمة فَهُوَ من الإمامة فِي بعض الاحكام وَهُوَ جَوَاز دَفنه فِي مَقَابِر الْمُسلمين وفى أَلا يمْنَع حَظه من الفىء وَالْغنيمَة أن غزا مَعَ الْمُسلمين وَفِي أَلا يمْنَع من الصَّلَاة فِي الْمَسَاجِد,"But if his heresy is like the heresy of the Mu‘tazilites, or the Khawarij, or the Rafidah of the Imamlyah, or the Zaidiyah heresies, or of the heresy of the Najjariyah, or the Jahmiyah, or the Darariyah, or the Mujassimah, then he would be of the Ummat al-Islam in some respects, namely: he would be entitled to be buried in the graveyard of the Moslems, and to have a share in the tribute and booty which is procured by the true believers in war with the idolators provided he fights with the true believers. Nor should he be prevented from praying in the mosques."
وَلَيْسَ من الإمامة فِي احكام سواهَا وَذَلِكَ أَلا تجوز الصَّلَاة عَلَيْهِ وَلَا خَلفه وَلَا تحل ذَبِيحَته وَلَا نِكَاحه لامْرَأَة سنية وَلَا يحل للسنى أن يتَزَوَّج الْمَرْأَة مِنْهُم إذا كَانَت على اعْتِقَادهم وَقد قَالَ عَليّ بن أبي طَالب رضي الله عنه للخوارج علينا ثَلَاث لَا نبدؤكم بِقِتَال وَلَا نمنعكم مَسَاجِد الله أن تَذكرُوا فِيهَا اسْم الله وَلَا نمنعكم من الفىء مَا دَامَت أَيْدِيكُم مَعَ أَيْدِينَا وَالله أعلم,"But he is not of the Ummat in other respects, namely that no prayer should be allowed over his dead body, nor behind him (to the grave); moreover any animal slaughtered by him is not lawful food, nor may he marry an orthodox Moslem woman. It is also not lawful for an orthodox man to marry one of their women if she partake of their belief. ‘All ibn abi-Talib said to the Khawarij: “There are three things binding upon us, that we should not start fighting with you, that we should not forbid you the mosques of Allah so that you may mention the name of Allah in them, and that we should not hinder you from sharing the booty as long as your allegiance is ""with us. Moreover, Allah knows best."""
‌‌الْفَصْل الثَّانِي من هَذَا الْبَاب,Chapter II
فِي بَيَان كَيْفيَّة اخْتِلَاف الإمامة وَتَحْصِيل عدد فرقها الثَّلَاث وَالسبْعين,"Contains an explanation of the manner in which the Ummat differed, together with an enumeration of the number of its 73 sects."
كَانَ الْمُسلمُونَ عِنْد وَفَاة رَسُول الله صلى الله عليه وسلم على منهاج وَاحِد فِي اصول الدّين وفروعه غير من أظهر وفَاقا وأضمر نفَاقًا وَأول خلاف وَقع مِنْهُم اخْتلَافهمْ فِي موت النَّبِي عليه السلام فَزعم قوم مِنْهُم أَنه لم يمت وَإِنَّمَا أَرَادَ الله تَعَالَى رَفعه اليه كَمَا رفع عِيسَى بن مَرْيَم اليه,"At the death of the prophet, the Moslems followed one path in the fundamental principles of religion and its deduced corollaries, except in the case of those who agreed in public but in private were hypocrites. The first disagreement came when the people disagreed over the death of the prophet. Some among them asserted that he had not died, and that Allah had only wished to raise him to himself as he had raised ‘Isa ibn-Maryam to himself."
وَزَالَ هَذَا الْخلاف وَأقر الْجَمِيع بِمَوْتِهِ حِين تَلا عَلَيْهِم أَبُو بكر الصّديق قَول الله لرَسُوله عليه السلام إِنَّك ميت وَإِنَّهُم ميتون وَقَالَ لَهُم من كَانَ يعبد مُحَمَّدًا فان مُحَمَّدًا قد مَاتَ وَمن كَانَ يعبد رب مُحَمَّد فانه حَيّ لَا يَمُوت,"This difference ceased, and all were agreed upon his death, when abu-Bakr al-Siddlk brought to them the words of Allah to his Prophet: “Verily thou shalt die, and they shall die.""He said to them: “Whoever worshipped Muhammad, verily Muhammad is dead; whoever worshipped the Lord of Muhammad, lo verily he is living and dieth not.”"
ثمَّ اخْتلفُوا بعد ذَلِك فِي مَوضِع دفن النَّبِي صلى الله عليه وسلم فَأَرَادَ أهل مَكَّة رده إلى مَكَّة لأنها مولده ومبعثه وقبلته وَمَوْضِع نَسْله وَبهَا قبر جده إِسْمَاعِيل عليه السلام وَأَرَادَ أهل الْمَدِينَة دَفنه بهَا لأنها دَار هجرته وَدَار أنصاره وَقَالَ آخَرُونَ بنقله إلى أَرض الْقُدس وَدَفنه بِبَيْت الْمُقَدّس عِنْد قبر جده إِبْرَاهِيم الْخَلِيل عليه السلام,"Then they differed over the Prophet’s place of burial, the people of Mecca wishing the body to be taken to Mecca because that was his birthplace, the place of his calling, the place to which he turned in prayer, the place of his family, and there is the grave of his ancestor Ishmael; while the people 13 of al-Madinah wished him to be buried in that city because that was the home of his flight and the home of his Helpers. Others desired the body to be taken to the Holy Land and be buried in Jerusalem by the grave of his ancestor, Abraham the beloved."
وَزَالَ هَذَا الْخلاف بِأَن روى لَهُم أَبُو بكر الصّديق عَن النَّبِي صلى الله عليه وسلم أن الْأَنْبِيَاء يدفنون حَيْثُ يقبضون فدفنوه فِي حجرته بِالْمَدِينَةِ ثمَّ اخْتلفُوا بعد ذَلِك فِي الامامة وأذعنت الانصار إلى الْبيعَة لسعد بن عبَادَة الخزرجي وَقَالَت قُرَيْش أن الْإِمَامَة لَا تكون الا فِي قُرَيْش,"This difference, however, ceased when abu-Bakr al-Siddik related to them on the authority of the Prophet: '‘Verily the prophets are buried where they die.""They therefore buried him in his chamber in al-Madinah. After this they differed over the Imamate. The Helpers (Ansar) agreed to acknowledge Sa'd ibn-Ubadah al-Khazrajl. But the Kuraish said: “The Imamate must not be, save among the Kuraish.”"
ثمَّ أذعنت الانصار لقريش لما روى لَهُم قَول النَّبِي صلى الله عليه وسلم الْأَئِمَّة من قُرَيْش وَهَذَا الْخلاف بَاقٍ إلى الْيَوْم لأن ضِرَارًا اَوْ الْخَوَارِج قَالُوا بِجَوَاز الْإِمَامَة فِي غير قُرَيْش ثمَّ اخْتلفُوا بعد ذَلِك فِي شَأْن فدك وفى تَوْرِيث التركات عَن الانبياء عليهم السلام ثمَّ نفذ فِي ذَلِك قَضَاء ابي بكر بروايته عَن النَّبِي صلى الله عليه وسلم أن الانبياء لَا يورثون,"Then the Ansars agreed with the Kuraish because of the saying of the Prophet relating to them: “The Imams are of the Kuraish.""But this point of difference has lasted till this day, for the Darar or the Khawarij held that the Imam could come from others than the Kuraish. The next difference arose over the affair of Fadakff and over the inheritance of property left by prophets. The decision of Abu-Bakr settled this matter by the tradition coming from the prophet, “Verily the prophets do not bequeath anything.”"
ثمَّ اخْتلفُوا بعد ذَلِك فِي مَا نعى وجوب الزَّكَاة ثمَّ اتَّفقُوا على رَأْي أبي بكر فِي وجوب قِتَالهمْ ثمَّ اشتغلوا بعد ذَلِك بِقِتَال طليحة حِين تبنى وارتد حَتَّى انهزم إلى الشَّام ثمَّ رَجَعَ فِي أَيَّام عمر إلى الإسلام وَشهد مَعَ سعد بن أبي وَقاص حَرْب الْقَادِسِيَّة وَشهد بعد ذَلِك حَرْب نهاوند وَقتل بهَا شَهِيدا,"They then differed over the view as to what cancels the obligation of alms. But they finally agreed to the judgment of Abu-Bakr concerning the duty of their warfare. After this they busied themselves making war upon Tulaihah 2 when he declared himself a prophet and rebelled, until he was driven to Syria. In the days of 'Umar he returned to Islam and was present with Sa'd ibn Abl-Wakkas at the battle of al-KadisIyah, and after that at the battle of Naha- wand, where he was killed as a martyr."
