ABU ’L-HASAN 'ALI IBN ISMA'IL AL AS 'ARI’S,الإبانة عن أصول الديانة
"With a confession of His unity and a clear acknowledgment of His lordship, we bear witness that there is no God but Allah alone, “who hath no associate;” that He is the One who knows what the privy thoughts shut away and the secrets enwrap, what souls hide, and what the seas keep out of sight, what hearts conceal, and “how much the wombs lessen and enlarge; with Him everything is by measure.”","ونشهد أن لا إله إلا الله وحده لا شريك له، إقرارا بوحدانيته، وإخلاصا لربوبيته، وأنه العالم بما تظن الضمائر، وتنطوي عليه السرائر، وما تخفيه النفوس، وما تجن البحار، وما تواريه الأسراب، (وما تفيض الأرحام وما تزداد، وكل شيء عنده بمقدار)،"
"No word is concealed from Him, no purpose is unknown to Him, “not a leaf falls but He knoweth it, neither is there a grain in the dark places of the earth, there is neither moisture nor dryness but it is noted in a distinct writing,” and He knows what the doers do, and that to which the returners return.","لا توارى عنه كلمة، ولا تغيب عنه غائبة، (وما تسقط من ورقة إلا يعلمها، ولا حبة في ظلمات الأرض ولا رطب ولا يابس إلا في كتاب مبين) من الآية (59)."
,ويعلم ما يعمل العاملون وما ينقلب إليه المنقلبون.
,
"We seek guidance from Him, and we ask Him for grace (tawfiq) to avert ruin.","3 - ونستهديه بالهدى، ونسأله التوفيق لمجانبة الردى."
,
"We bear witness that Muhammad is His Servant, His Apostle, His Prophet, His Trustworthy One, His Chosen One, whom He sent to His creation with the light that sheds its beams afar, with the flashing lamp, the clear arguments, the evidences, the dazzling signs, the compelling wonders; wherefore he delivered his message from God, consulted His good in His creation, labored strenuously for God with a true zeal, consulted His good in the countries of the earth, and opposed the rebellious people, until the Word of God was fulfilled, until he attained success, and all men obeyed the truth with homage, and assurance of success came to him, unfatigued, unwearied.","4 - ونشهد أن محمدا صلى الله عليه وسلم عبده ورسوله، ونبيه وأمينه وصفيه، أرسله إلى خلقه بالنور الساطع، والسراج اللامع، والحجج الظاهرة، والبراهين والآيات الباهرة، والأعاجيب القاهرة، فبلّغ رسالة ربه، ونصح لأمته، وجاهد في الله حق جهاده، حتى تمت كلمة الله عز وجل، وظهر أمره، وانقاد الناس إلى الحق خاضعين، حتى أتاه اليقين، لا وانيا ولا مقصرا،"
"Therefore, may God’s grace be with him (for he led the way to guidance and made clear the road of escape from error and blindness), and with the blessed people of his house, and with his chosen Companions and his pure wives, the mothers of the faithful!","فصلوات الله عليه من قائد إلى هدى مبين، وعلى أهل بيته الطيبين، وعلى أصحابه المنتخبين، وعلى أزواجه أمهات المؤمنين. "
"By him God informed us of the religious laws (sara'i') and the ordinances (ahkam), of the lawful and the prohibited, and by him He made clear to us the religious law of Islam, until by him the dark night of gloom was lifted from us, the doubts were removed from us, the screens were drawn back, the proofs were made clear to us.","عرَّفنا الله به الشرائع والأحكام، والحلال والحرام، وبيَّن لنا به شريعة الإسلام، حتى انجلت عنا طخياء الظلام، وانحسرت عنا به الشبهات، وانكشفت عنا به الغيابات، وظهرت لنا به البينات."
"He brought us “a glorious Book. Vanity shall not come to it from before it, or from behind it; it is a missive sent down from the Wise and Praiseworthy,” in which is comprised the knowledge of “the first and the last.”","وجاءنا بـ (كتاب عزيز لا يأتيه الباطل من بين يديه ولا من خلفه، تنزيل من حكيم حميد) من الآية (41 -42) جمع فيه علم الأولين والآخرين،"
"By him He perfected the duties and the Religion, and therefore he is the “sure road” of God and His firm rope.","وأكمل به الفرائض والدين، فهو صراط الله المستقيم، وحبل الله المتين،"
"He who holds fast to him shall escape, but he who opposes him shall err and wander.","فمن تمسك به نجا، ومن خالفه ضل وغوى،"
"In ignorance is thy ruin, and God has urged us in His Book to hold fast to the sunnah of His Apostle; wherefore God has said, “What the Apostle has given you, take: what he has refused you, refuse,”","وفي الجهل تردى، وحثنا الله في كتابه على التمسك بسنة رسوله صلى الله عليه وسلم، فقال عز وجل: (وما أتاكم الرسول فخذوه وما نهاكم عنه فانتهوا) من الآية (7)،"
"and God has said, “And let those who transgress his command beware, lest some present trouble befall them, or a grievous chastisement befall them,”","وقال عز وجل: (فليحذر الذين يخالفون عن أمره أن تصيبهم فتنة أو يصيبهم عذاب أليم) من الآية (63)،"
"and, “but if they would report them to the Apostle and to those who are in authority among them, those who desire information would learn it from them,”","وقال تعالى: (ولو ردوه إلى الرسول وإلى أولى الأمر منهم لعلمه الذين يستنبطونه منهم) من الآية (83)، "
"and “And whatever the subject of your disputes, with God doth its decision rest,”",سقطمنالنسخة
"“and if in aught ye differ, bring it to God and the Apostle,” meaning God’s Book and His Prophet’s sunnah, and He has said, “neither speaketh he from mere- impulse. The Qur’an is no other than a revelation revealed to him,”","وقال تعالى: (يا أيها الذين آمنوا أطيعوا الله وأطيعوا الرسول وأولى الأمر منكم فإن تنازعتم في شيء فردوه إلى الله والرسول) من الآية (59)، يقول: إلى كتاب الله وسنة رسوله: (وما ينطق عن الهوى إن هو إلا وحي يوحى)،"
"and “Say: It is not for me to change it as mine own soul prompteth. I follow only what is revealed to me,”","وقال تعالى: (قل ما يكون لي أن أبدله من تلقاء نفسي، إن أتبع إلا ما يوحى إلي) من الآية (15)،"
"and “The words of the faithful, when called to God and His Apostle that He may judge between them, are only to say, ‘ We have heard and we obey,’” (and so He commands them to hear his words, obey his command, and beware of transgressing it),","وقال: (إنما كان قول المؤمنين إذا دعوا إلى الله ورسوله ليحكم بينهم أن يقولوا سمعنا وأطعنا) من الآية (51) فأمرهم أن يسمعوا قوله، ويطيعوا أمره، ويحذروا مخالفته،"
"and He has said, “obey God and obey the Apostle,” (and so He commands them to obey His Apostle, just as He commands them to obey Himself; and He bids them hold fast to the sunnah of His Prophet, just as He commands them to act in strict conformity with His Book).","وقال: (وأطيعوا الله وأطيعوا الرسول) من الآية (92) فأمرهم بطاعة رسوله كما أمرهم بطاعته، ودعاهم إلى التمسك بسنة نبيه كما أمرهم بالعمل بكتابه."
,
"But a great many of those against whom their “misery prevailed” and those over whom “Satan has won the mastery”—the sunan of God’s Prophet are “behind their backs” and they have inclined towards forebears of theirs whose guidance in religion they have accepted and adopted their beliefs, set at nought the sunan of God’s Apostle and shunned them, denied and gainsaid them, by their calumny against God, and have erred and not been rightly guided.","5 - فنبذ كثير ممن غلبت عليهم شقوته، واستحوذ عليهم الشيطان سنن نبي الله صلى الله عليه وسلم وراء ظهورهم، ومالوا إلى أسلاف لهم قلدوهم دينهم، ودانوا بديانتهم، وأبطلوا سنن نبي الله عليه الصلاة والسلام، ودفعوها وأنكروها وجحدوها افتراء منهم على الله، (قد ضلوا وما كانوا مهتدين) من الآية (14)."
,
"I enjoin upon you, O servants of God! the fear of God, and warn you against the world; for it is fresh and sweet, and it deceives its inhabitants and deludes those who dwell in it, and God has said, “And set before them a similitude of the present life. It is as water which We send down from heaven, and the herb of the earth is mingled with it, and on the morrow it becometh dry stubble which the winds scatter; for God hath power over all things.”","أوصيكم عباد الله بتقوى الله، وأحذركم الدنيا، فإنها حلوة خضرة، تغر أهلها وتخدع سكَّانها، قال الله تعالى: (واضرب لهم مثل الحياة الدنيا كماء أنزلناه من السماء فاختلط به نبات الأرض) الآية من الآية (45)."
,
"To him who is in good circumstances in it, it brings tears later on, and upon him to whom it has imparted its joys in secret, it bestows the open sequel of its woes.","من كان فيها في حيرة أعقبته بعدها عبرة، ومن أعطته من سرائها بطنا أعقبته من ضرائها ظهرا،"
"Its abundant vanities are transitory, for the things it contains agree with the judgment pronounced upon it by its Lord in His words, “All on the earth shall pass away.”","غرارة غرور ما فيها، فانية فَانٍ ما فيها، كما بقوله تعالى: (كل من عليها فان) (26)، "
Then labor for the abiding life and for endless eternity.,"فاعملوا رحمكم الله للحياة الدائمة، ولخلود الأبد،"
"The world shall pass away from its inhabitants, and their works shall remain as strings upon their necks.","فإن الدنيا تنقضي على أهلها، وتبقى الأعمال قلائد في رقاب أهلها."
,
"Know that you are mortal, and then that you return to your Lord after your deaths. Assuredly He will reward those who have done evil with that which they have done, and He will reward those who have done good with good.","واعلموا أنكم ميتون، ثم إنكم من بعد موتكم إلى ربكم راجعون، (ليجزي الذين أساؤوا بما عملوا ويجزي الذين أحسنوا بالحسنى) من الآية (31)."
"Therefore, be diligent in obedience to your Lord, and refuse what He has refused you.","فكونوا بطاعة ربكم عاملين، وعما نهاكم منتهين."
Chapter on the Exposition of the Belief of the Deviators and Innovators.,فصل في قول أهل الزيغ والبدع:
,
"To begin with, there are many deviators from the truth among the Mu'tazilah and the ahi al-qadar whose straying desires have inclined them to the acceptance of the principles (taqlid) of their leaders and their departed forebears; so that they interpret the Qur’an according to their opinions with an interpretation for which God has neither revealed authority nor shown proof, and which they have not derived from the Apostle of the Lord of the Worlds or from the ancients of the past;","أما بعد: فإن كثيرا من الزائغين عن الحق من المعتزلة وأهل القدر مالت بهم أهواؤهم إلى تقليد رؤسائهم ومن مضى من أسلافهم، فتأولوا القرآن على آرائهم تأويلا لم ينزل به الله سلطانا، ولا أوضح به برهانا، ولا نقلوه عن رسول رب العالمين، ولا عن السلف المتقدمين."
"and, as a result, they oppose the traditions of the Companions, related on the authority of the Prophet of God, concerning God’s visibility to sight, although with regard to it the traditions come from various sources, and the atar upon it have been continuous, and the ahbar upon it have come down in steady succession.","وخالفوا روايات الصحابة رضي الله عنهم عن نبي الله صلى الله عليه وسلم في رؤية الله عز وجل بالأبصار، وقد جاءت في ذلك الروايات من الجهات المختلفات، وتواترت بها الآثار وتتابعت بها الأخبار."
"(1) They deny the intercession of the Apostle of God for sinners, and reject the traditions concerning it that are related on the authority of the ancients of the past.","وأنكروا شفاعة رسول الله صلى الله عليه وسلم للمذنبين، ودفعوا الروايات في ذلك عن السلف المتقدمين."
,
"(2) They gainsay the punishment of the grave and the doctrine that the infidels are punished in their graves, although the Companions and the Successors have agreed upon this matter unanimously.","وجحدوا عذاب القبر، وأن الكفار في قبورهم يعذبون، وقد أجمع على ذلك الصحابة والتابعون رضي الله عنهم أجمعين."
,
"(3) They maintain the createdness of the Qur’an; thereby approximating the belief of their brethren among the polytheists, who said, “it is merely the word of a mortal”; ’ and so they think that the Qur’an is like the word of a mortal.",ودانوا بخلق القرآن نظيرا لقول إخوانهم من المشركين؛ الذين قالوا: (إن هذا إلا قول البشر) (25).
,
"(4) They assert and are convinced that human beings create evil; thereby approximating the belief of the Magians, who assert that there are two creators, one of them creating good and the other creating evil (for the Qadariyyah think that God creates good and that Satan creates evil).","وأثبتوا أن العباد يخلقون الشر، نظيرا لقول المجوس الذين أثبتوا خالقين: أحدهما الخير، والآخر يخلق الشر. وزعمت القدرية أن الله تعالى يخلق الخير، والشيطان يخلق الشر."
,
,
"(5) They think that God may wish what is not, and what He does not wish may be; in disagreement with that upon which the Muslims have unanimously agreed, namely, that what God wishes is, and what He does not wish is not; and contrarily to the words of God “but ye shall not wish except God wish”— He says that we shall not wish a thing unless God has wished that we wish it—,","وزعموا أن الله تعالى يشاء ما لا يكون، ويكون مالا يشاء، خلافا لما أجمع عليه المسلمون من أن ما شاء الله كان، وما لم يشأ لم يكن، وردا لقول الله تعالى: (وما تشاؤون إلا أن يشاء الله) من الآية (30) فأخبر تعالى أنا لا نشاء شيئا إلا وقد شاء الله أن نشاءه."
"and to His words “If God had wished, they would not have wrangled,” and His words “Had We wished, We had certainly given to every soul its guidance,”","ولقوله: (ولو شاء الله ما اقتتلوا) من الآية (253)، ولقوله تعالى: (ولو شئنا لآتينا كل نفس هداها) من الآية (13)،"
"and His words “Doer of what He wills,” and His statement with reference to su'ayb, that he said, “nor can we return to it, except God our Lord wish; our Lord embraceth all things in His ken.”","ولقوله تعالى: (فعال لما يريد) من الآية (107)، ولقوله تعالى مخبرا عن نبيه شعيب صلى الله عليه وسلم أنه قال: (وما يكون لنا أن نعود فيها إلا أن يشاء الله ربنا، وسع ربنا كل شيء علما) من الآية (89)."
,
"Therefore the Apostle of God called them “the Magians of this Community,” because they have adopted the religion of the Magians and copied their tenets,","ولهذا سماهم رسول الله صلى الله عليه وسلم مجوس هذه الأمة؛ لأنهم دانوا بديانة المجوس، وضاهوا أقاويلهم."
"and think that there are two creators, the one for good and the other for evil, just as the Magians think, and that there are evils God does not wish, as the Magians believe.","وزعموا أن للخير والشر خالقين، كما زعمت المجوس ذلك، وأنه يكون من الشرور ما لا يشاء الله كما قالت المجوس."
"(6) They think that they, and not God, have control over what is hurtful and what is helpful to them, contrarily to the words of God to His Prophet, “Say: I have no control over what may be helpful or hurtful to me, but as God wisheth,” and in opposition to the Qur’an and to that upon which the people of Islam have unanimously agreed.","وأنهم يملكون الضر والنفع لأنفسهم من دون الله عز وجل، ردا لقول الله تعالى لنبيه صلى الله عليه وسلم: (قل لا أملك لنفسي نفعا ولا ضرا إلا ما شاء الله) (188)، وإعراضا عن القرآن، وعما أجمع عليه أهل الإسلام."
,
"(7) They think that they alone, and not their Lord, have power over their works, and assert that they are independent of God, and attribute to themselves power over that over which they do not attribute power to God, just as the Magians assert that Satan has power over evil that they do not assert God has.","وزعموا أنهم منفردون بالقدرة على أعمالهم دون ربهم، فأثبتوا لأنفسهم الغنى عن الله عز وجل، ووصفوا أنفسهم بالقدرة على ما لم يصفوا الله عز وجل بالقدرة عليه، كما أثبت المجوس لعنهم الله للشيطان من القدرة على الشر ما لم يثبتوا لله عز وجل،"
"Hence they are “the Magians of this Community,” since they have adopted the religion of the Magians, hold fast to their beliefs, incline to their errors, cause men to despair of God’s mercy and lose their hope of His spirit, and have condemned the disobedient to Hell forever, in disagreement with God’s words, “But other than this will He forgive to whom He wishes.”","فكانوا مجوس هذه الأمة؛ إذ دانوا بديانة المجوس، وتمسكوا بأقاويلهم ومالوا إلى أضاليلهم. وقنطوا الناس من رحمة الله، وآيسوهم من روحه، وحكموا على العصاة بالنار والخلود فيها، خلافا لقول الله تعالى: (ويغفر ما دون ذلك لمن يشاء) من الآية (48)."
,
,
"(8) They think that he who enters Hell will not come forth from it, in disagreement with the tradition, related on the authority of the Apostle of God, that God will bring forth people out of Hell after they have been burned in it and become ashes.","وزعموا أن من دخل النار لا يخرج منها، خلافا لما جاءت به الرواية عن رسول الله صلى الله عليه وسلم: (إن الله عز وجل يخرج قوما من النار بعد أن امْتَحَشُوا فيها وصاروا حمما)."
"(9) They deny that God has a face, notwithstanding His words “but the face of thy Lord shall abide resplendent with majesty and glory.”",ودفعوا أن يكون لله وجه مع قوله عز وجل: (ويبقى وجه ربك ذو الجلال والإكرام) (27)
"They deny that He has two hands, notwithstanding His words “before him whom I have created with My two hands.”",وأنكروا أن له يدان مع قوله سبحانه: (لما خلقت بيدي) من الآية (75).
,
"They deny that God has an eye, notwithstanding His words “under Our eyes it floated on,” and His words “that thou mightest be reared in Mine eye.”","وأنكروا أن يكون له عينان مع قوله سبحانه: (تجري بأعيننا) من الآية (14)، وقوله: (ولتصنع على عيني) (39)."
,
"They deny that God has knowledge, notwithstanding His words “in His knowledge He sent it down.”",وأنكروا أن يكون له سبحانه علم مع قوله: (أنزله بعلمه) من الآية (166).
,
"They deny that God has power, notwithstanding His words “Possessed of might, the Unshaken.”",وأنكروا أن يكون له قوة مع قوله سبحانه: (ذو القوة المتين) من الآية (58).
,
"(10) They reject the tradition, related on the authority of the Prophet, that God descends each night to the lower heaven, and other traditions among those that the trustworthy have handed down on the authority of God’s Apostle.",ونفوا ما روي عن رسول الله صلى الله عليه وسلم (أن الله عز وجل ينزل كل ليلة إلى السماء الدنيا) وغير ذلك مما رواه الثقات عن رسول الله صلى الله عليه وسلم.
,
"Of like fashion are all the innovators—the Jahmiyyah, the Murji’ah, and the Haruriyyah,—deviators in their innovations, who dissent from the Book, and the sunnah, and that upon which the Prophet and his Companions take their stand and the Community have unanimously agreed, as do the Qadariyyah Mu'tazilah.","وكذلك جميع أهل البدع من الجهمية والمرجئة والحرورية، أهل الزيغ فيما ابتدعوا وخالفوا الكتاب والسنة، وما كان عليه النبي صلى الله عليه وسلم وأصحابه رضى الله عنهم أجمعين، وأجمعت عليه الأمة كفعل المعتزلة والقدرية"
"I will discuss the matter chapter by chapter and point by point, God willing. Help and strength are by Him, and from Him are grace and right direction.","وأنا ذاكر ذلك بابا بابا، وشيئا شيئا إن شاء الله تعالى وبه المعونة."
,
Chapter Concerning the Exposition of the Belief of the Followers of the Truth and the Sunnah.,فصل في إبانة قول أهل الحق والسنة:
,
"If anybody says to us, “You have denied the beliefs of the Mu'tazilah, the Qadariyyah, the Jahmiyyah, the Haruriyyah, the Rafidah, and the Murji’ah; now let us know the beliefs you hold and the religion you follow,”","فإن قال لنا قائل: قد أنكرتم قول المعتزلة والقدرية والجهمية والحرورية والرافعة والمرجئة، فعرفونا قولكم الذي به تقولون، وديانتكم التي بها تدينون."
,
the answer is:,"قيل له: قولنا الذي نقول به، وديانتنا التي ندين بها، التمسك بكتاب الله ربنا عز وجل، وبسنة نبينا محمد صلى الله عليه وسلم، وما روى عن السادة الصحابة والتابعين وأئمة الحديث، ونحن بذلك معتصمون،"
"The belief we hold and the religion we follow are holding fast to the Book of our Lord, to the sunnah of our Prophet, and to the traditions related on the authority of the Companions and the Successors and the imams of the hadit;—to that we hold firmly,",
"professing what Abu 'Abdallah Ahmad ibn Muhammad ibn Hanbal professed, and avoiding him who dissents from his belief, because he is the excellent imam and the perfect leader, through whom God declared the truth, removed error, manifested the modes of action, and overcame the innovations of the innovators, the deviation of the deviators, and the skepticism of the skeptics.","وبما كان يقول به أبو عبد الله أحمد بن محمد بن حنبل - نضر الله وجهه ورفع درجته وأجزل مثوبته - قائلون، ولما خالف قوله مخالفون؛ لأنه الإمام الفاضل، والرئيس الكامل، الذي أبان الله به الحق، ودفع به الضلال، وأوضح به المنهاج، وقمع به بدع المبتدعين، وزيع الزائغين، وشك الشاكين،."
,
"The mercy of God be upon him,—for he is an eminent imam and an exalted, honored friend,— and upon all the other imams of Islam!","فرحمة الله عليه من إمام مقدم، وجليل معظم، وكبير مفهم"
"The substance of our belief is that we confess God, His angels, His books, His apostles, the revelation of God, and what the trustworthy have handed down on the authority of God’s Apostle, rejecting none of them. We confess that God is one God—there is no god but He—unique, eternal, possessing neither consort nor child; and that Muhammad is His Servant and Apostle, whom He sent with the guidance and the real Religion;","وجملة قولنا: أنا نقر بالله وملائكته وكتبه ورسله، وبما جاءوا به من عند الله، وما رواه الثقات عن رسول الله صلى الله عليه وسلم، لا نرد من ذلك شيئا، وأن الله عز وجل إله واحد لا إله إلا هو، فرد صمد، لم يتخذ صاحبة ولا ولدا، وأن محمدا عبده ورسوله، أرسله بالهدى ودين الحق."
,
and that Paradise is real and Hell is real; and that there is no doubt regarding the Coming Hour; and that God will raise up those who are in the graves;,"وأن الجنة والنار حق، وأن الساعة آتية لا ريب فيها، وأن الله يبعث من في القبور."
,
"and that God is seated on His throne (as He has said, “The Merciful is seated on the Throne”);","وأن الله تعالى استوى على العرش على الوجه الذي قاله، "
سقطمنالنسخة,"وبالمعنى الذي أراده، استواء منزها عن الممارسة والاستقرار والتمكن والحلول والانتقال، لا يحمله العرش، بل العرش وحملته محمولون بلطف قدرته، ومقهورون في قبضته، وهو فوق العرش، وفوق كل شيء، إلى تخوم الثرى، فوقية لا تزيده قربا إلى العرش والسماء، بل هو رفيع الدرجات عن العرش، كما أنه رفيع الدرجات عن الثرى، وهو مع ذلك قريب من كل موجود، وهو أقرب إلى العبد من حبل الوريد، وهو على كل شيء شهيد."
"and that He has a face (as He has said, “but the face of thy Lord shall abide resplendent with majesty and glory”) ;","وأن له سبحانه وجها بلا كيف، كما قال: (ويبقى وجه ربك ذو الجلال والإكرام) (27)."
,
"and that He has two hands, bila kayfa (as He has said, “I have created with My two hands,” and as He has said, “Nay! outstretched are both His - hands”);","وأن له سبحانه يدين بلا كيف، كما قال سبحانه: (خلقت بيدي) من الآية (75)، وكما قال: (بل يداه مبسوطتان) من الآية (64)."
,
"and that He has an eye, bila kayfa (as He has said, “under Our eyes it floated on”),","وأن له سبحانه عينين بلا كيف، كما قال سبحانه: (تجري بأعيننا) من الآية (14)."
,
and that anybody who thinks that the names of God are other than He is in error;,وأن من زعم أن أسماء الله غيره كان ضالا.
,
"and that God has knowledge (as He said, “in His knowledge He sent it down,” and as He said, “and no female conceiveth or bringeth forth without His knowledge”).","وأن لله علما كما قال: (أنزله بعلمه) من الآية (166)، وكما قال: (وما تحمل من أنثى ولا تضع إلا بعلمه) من الآية (11)."
"We also assert that God has hearing and sight, and we do not deny it as the Mu'tazilah, the Jahmiyyah, and the Harijites deny it;","ونثبت لله السمع والبصر، ولا ننفى ذلك كما نفته المعتزلة والجهمية والخوارج."
"and we assert that God has prowess (quwwah) (as He has said, “Saw they not that God Who created them was mightier than they in prowess?”);","ونثبت أن لله قوة، كما قال: (أولم يروا أن الله الذي خلقهم هو أشد منهم قوة) من الآية (15)."
,
"and we believe that the Word of God is uncreated, and that He has created nothing without first saying to it, “Be!,” and it is (as He has said, “Our word to a thing when We will it is but to say, ‘ Be!,’ and it is”);","ونقول: إن كلام الله غير مخلوق، وأنه سبحانه لم يخلق شيئا إلا وقد قال له كن، كما قال: (إنما قولنا لشيء إذا أردناه أن نقول له كن فيكون) (40)."
"and that there is no good or evil on earth, save what God wishes; and that things exist by God’s wish; and that not a single person has the capacity to do anything until God causes him to act, and we are not independent of God, nor can we pass beyond the range of God’s knowledge;","وأنه لا يكون في الأرض شيء من خير أو شر إلا ما شاء الله، وأن الأشياء تكون بمشيئة الله عز وجل، وأن أحدا لا يستطيع أن يفعل شيئا قبل أن يفعله، ولا يستغني عن الله، ولا يقدر على الخروج من علم الله عز وجل."
"and that there is no creator save God, and the works of human beings are things created and decreed by God (as He has said, “God has created you and what you make”);","وأنه لا خالق إلا الله، وأن أعمال العباد مخلوقة لله مقدرة، كما قال سبحانه: (والله خلقكم وما تعملون) (96)، "
"and that human beings have not the power to create anything, but are themselves created (as He has said, “Is there a creator other than God?,” and as He has said, “they create nothing, but are themselves created,” and as He has said, “Shall He then who creates be as he who creates not?,” and as He has said, “Were they created by nothing or were they the creators?,” for this is mentioned in God’s Book frequently);","وأن العباد لا يقدرون أن يخلقوا شيئا، وهم يخلقون، كما قال: (هل من خالق غير الله) من الآية (3)، وكما قال: (لا يخلقون شيئا وهم يخلقون) من الآية (20 /16)، وكما قال سبحانه: (أفمن يخلق كمن لا يخلق) (17 /16)، وكما قال: (أم خلقوا من غير شيء أم هم الخالقون) (35 /52)، وهذا في كتاب الله كثير."
"and that God gives the faithful grace to be obedient to Him, is gracious to them, considers them, does what is salutary for them, guides them; whereas He causes the infidels to err, does not guide them, does not give them the grace to believe, as the deviators and rebels think (for, if He were gracious to them and did what was salutary for them, they would be sound; and if He guided them, they would be guided; as He has said, “He whom God guides is the guided, and they whom He misleads shall be the lost”);","وأن الله وفق المؤمنين لطاعته، ولطف بهم، ونظر لهم، وأصلحهم وهداهم، وأضل الكافرين ولم يهدهم، ولم يلطف بهم بالإيمان، كما زعم أهل الزيغ والطغيان، ولو لطف بهم وأصلحهم لكانوا صالحين، ولو هداهم لكانوا مهتدين."
"and that God has power to do what is salutary for the infidels and be gracious to them, that they may become believers, nevertheless He wills that they be infidels, as He knows; and that He forsakes them and seals up their hearts;","وإن الله يقدر أن يصلح الكافرين، ويلطف بهم حتى يكونوا مؤمنين، ولكنه أراد أن يكونوا كافرين، كما علم وخذلهم وطبع على قلوبهم."
,
and that good and evil are dependent upon the general and particular decrees of God.,"وأن الخير والشر بقضاء الله وقدره،"
"We believe in God’s general and particular decrees, His good and His evil, His sweet and His bitter;","وإنا نؤمن بقضاء الله وقدره، خيره وشره، حلوه ومره، "
"and we know that what passes us by was not to befall us, and what befalls us was not to pass us by;","ونعلم أن ما أخطأنا لم يكن ليصيبنا، وأن ما أصابنا لم يكن ليخطئنا، "
"and that human beings do not control for themselves what is hurtful or what is helpful, except what God wishes;","وأن العباد لا يملكون لأنفسهم ضرا ولا نفعا إلا بإذن الله، كما قال عز وجل: (قل لا أملك لنفسي نفعا ولا ضرا إلا ما شاء الله) (188 /7)."
and that we ought to commit our affairs to God and assert our complete need of and dependence upon Him.,"ونلجئ أمورنا إلى الله، ونثبت الحاجة والفقر في كل وقت إليه سبحانه وتعالى."
