"In the name of God, merciful and compassionate","بسم الله الرحمن الرحيم
"
"He apprised us and His creatures of His particular acts of grace, which were general in their benefits, in both religion and this world,","وَعَرَّفَنَا وَخَلقَهُ نِعَمَهُ الخاصةَ، العامةَ النَّفعِ في الدين والدنيا.
"
"when He said «An emissary has come to you from among yourselves—what you suffer is grievous to him. He is anxious over you, and kind and compassionate to the believers»","فقال: (لقد جاءكم رسول من أنفسكم، عزيز عليه ما عنتم، حريص عليكم، بالمؤمنين رءوف رحيم) (التوبة 128)
"
and «for you to warn the mother of towns and those around it»,"وقال: (لتنذر أم القرى ومَن حولها) (الشورى 7)،"
سقطمنالنسخة,"وأمُّ القرى: مكة، وفيها قومُه."
"and «Warn your tribe, your near relations»","وقال: (وأنذر عشيرتك الأقربين) (الشعراء 214)
"
and «It is indeed a reminder for you and your people; and you will be questioned.»,"وقال: (وإنه لَذِكر لك ولقومك وسوف تُسألون) (الزخرف 44)
"
"Al-Shāfiʿī said: Ibn ʿUyaynah transmitted a report to us from Ibn Abī Najīḥ, from Mujāhid, concerning His saying “It is indeed a reminder for you and your people.” He said: “It was asked, ‘From where is this man?’ ‘From the Arabs.’ ‘From which Arabs?’ ‘From the tribe of Quraysh.’”","قال الشافعي: أخبرنا ابن عيينة عن ابن أبي نَجِيح عن مجاهد في قوله: (وإنه لذكر لك ولقومك) قال: يقال: ممن الرجل؟ فيقال: من العرب. فيقال: من أي العرب؟ فيقال: من قريش. 
"
"Al-Shāfiʿī said: What Mujāhid said in that regard is clear in the verse itself, and thus Revelation renders additional exegesis unnecessary.","قال الشافعي: وما قال مجاهدٌ من هذا بيّنٌ في الآية مستغنى فيه بالتنزيل عن التفسير.
"
"He (sublime His praise) restricted the warning to his tribe and near relations, but made it apply unrestrictedly to all creatures after them.","فخص جل ثناؤه قومَه وعشيرَتَه الأقربين في النِّذَارة، وعمَّ الخلقَ بها بعدهم،"
"He raised up the reputation of God’s Emissary by means of the Qurʾan and then restricted the warning to his tribe, since He sent him and said «And warn your tribe, your near relations.»","ورفع بالقُرَآن ذِكر رسول الله، ثم خص قومه بالنِّذارة إذ بعثه فقال: (وأنذر عشيرتك الأقربين) 
"
"A certain Qurʾan scholar claimed that God’s Emissary said: “O sons of ʿAbd Manāf! God has sent me and told me to ‘warn your tribe, your near relations,’ and you are my near relations.”","وزعم بعض أهل العلم بالقُرَآن أن رسول الله قال: يا بني عبد مناف! إن الله بعثني أَن أُنذرَ عشيرتي الأقربين، وأنتم عشيرتي الأقربون. 
"
"Al-Shāfiʿī said: Ibn ʿUyaynah informed me from Ibn Abī Najīḥ, from Mujāhid, concerning His saying «And have We not raised for you your reputation?»: “I am not mentioned without you being mentioned along with Me: ‘I witness that there is no god but God and that Muhammad is God’s Emissary.’”","قال الشافعي: أخبرنا بن عيينة عن ابن أبي نَجيح عن مجاهد في قوله: (ورفعنا لك ذكرك) قال: لا أُذكَرُ إلا ذُكِرتَ معي: أشهد أن لا إله إلا الله، وأشهد أن محمدأ رسول الله.
"
"This means, though God knows best, that he is mentioned in conjunction with faith in God and the call to prayer.","يعني - والله أعلم - ذكرَه عند الإيمان بالله، والآذان."
"It could possibly mean that he is recollected when one recites the Book, and when one acts obediently and refrains from disobedience.
","ويَحتمل ذكرَه عند تلاوة الكتاب، وعند العمل بالطاعة، والوقوف عن المعصية.
"
May God bless our Prophet Muhammad whenever he is mentioned by the devout or forgotten by the heedless.,"فصلى الله على نبينا كلما ذكره الذاكرون، وَغَفَل عن ذكره الغافلون،"
"May he bless him more excellently, abundantly, and purely than any other of His creatures among the bygone generations and the generations to come.","وصلى عليه في الأولين والآخرين، أفضلَ وأكثرَ وأزكى ما صلى على أحد من خلقه."
May He purify us and you by having us invoke blessings for him as excellently as He does for anyone from His community through such blessings.,"وزكانا وإياكم بالصلاة عليه أفضل ما زكى أحداً من أمته بصلاته عليه،"
Peace be upon him and God’s mercy and blessings.,"والسلام عليه ورحمة الله وبركاته،"
May God reward him on our behalf as excellently as He has done for any prophet whom He sent on behalf of the people to whom he was sent.,وجزاه الله عنا أفضل ما جزى مرسلاً عن من أُرسل إليه؛
"God has rescued us from demise through him and placed us in «the best community brought forth for the people,» adherents of His religion, the religion of which He approved and for which He elected His angels and those of His creatures whom He has graced.","فإنه أنقذنا به من الهلكة، وجعلنا في خير أمة أخرجت للناس، دائنين بدينه الذي ارتضى، واصطفى به ملائكته ومن أنعم عليه من خلقه."
"No act of grace has touched us—whether outwardly or inwardly, and through which we attain benefit in religion and this world or have averted from us what is evil in one or both of them—of which Muhammad was not the cause, the leader to its blessing, the guide to its proper route, the one who protects us from perdition and the sources of evil as distinct from the proper route, who makes aware of the paths that lead to perdition and provides sincere advice about them, in the form of both guidance and warnings.","فلم تُمس بنا نعمة ظهرت ولا بَطَنَت، نلنا بها حظاً في دين ودنيا أو دُفِعَ بها عنا مكروه فيهما، وفي واحد منهما: إلا ومحمد صلى الله عليه سببها، القائدُ إلى خيرها، والهادي إلى رشدها، الذائدُ عن الهلكة وموارد السَّوء في خلاف الرشد، المنبِّهُ للأسباب التي تورد الهلكة، القائمُ بالنصيحة في الإرشاد والإنذار فيها."
May God bless Muhammad and his family as He blessed Abraham and his. For God is praiseworthy and splendid.,"فصلى الله على محمد وعلى آل محمد كما صلى على إبراهيم وآل إبراهيم إنه حميد مجيد. 
"
"He revealed His Book to him, and said: «Truly it is a mighty Book. Falsehood cannot come to it from before it or from behind it, a Revelation from One who is Wise and Praiseworthy.»","وأنزل عليه كتابه فقال: (وإنه لكتاب عزيز. لا يأتيه الباطل من بين يديه، ولا من خلفه. تنزيل من حكيم حميد) (فصلت 41 - 42)"
Thus did He convey them from unbelief and blindness to light and guidance.,"فنقلهم من الكفر والعمى إلى الضياء والهدى،"
"In it He clarified what He had made lawful, graciously making it allowable for His creatures, and what He had made unlawful, since He knows best about the benefits for them in the next world and in this one of their refraining from it.","وبيَّن فيه ما أَحَلَّ: مَنَّاً بالتوسعة على خلقه، وما حَرَّمَ: لما هو أعلم به من حظهم في الكفِّ عنه في الآخرة والأولى."
"He tested their obedience by subjecting them to religious obligations consisting of words and deeds, and of their refraining from prohibited things from which He shielded them.","وابتلى طاعتهم بأن تَعَبَّدَهُم بقول، وعمل وإمساك عن محارمَ حَمَاهُمُوها،"
"He rewarded them for their obedience with eternal life in Paradise, and with salvation from His vengeance, in accordance with the vast extent of His grace (sublime His praise).","وأثابهم على طاعته من الخلود في جنته، والنجاة من نقمته: ما عَظُمَت به نعمته جل ثناؤه. "
"He also apprised them of the consequences He imposed on those who disobeyed Him, in contrast to the consequences he ordained for those who obeyed Him.","وأعلمهم ما أوجب على أهل معصيته من خلاف ما أوجب لأهل طاعته.
"
"He admonished them with reports about those who had gone before, who had had even more wealth and sons, whose lives were longer, and whose past works more admired.
","وَوَعَظَهُم بالأخبار عمن كان قبلهم، ممن كان أكثرَ منهم أموالاً وأولاداً، وأطولَ أعماراً، وأحمدَ آثاراً،"
"Those persons delighted in their share of success in this world, but then He let them taste their fates, short of their hopes, and his punishment descended upon them when their appointed times came.
","فاستمتعوا بخلاقهم في حياة دنياهم، فأذاقهم عند نزول قضائه مناياهم دون آماله، ونزلت بهم عقوبته عند انقضاء آجالهم،"
"He did all this so that those whom He admonished might consider things right away, understand the message with utter clarity, come to their senses before the onslaught of heedlessness, and act before it is too late, when no sinner will receive favor and no ransom will be accepted:","ليعتبروا في أنف الأوان، ويتفهموا بِجَلِيَّة التبيان، ويتنبهوا قبل رَين الغفلة، ويعملوا قبل انقطاع المدة حين لا يُعتِب مذنب، ولا تؤخذ فدية،"
"«On the day when every soul will find itself confronted with whatever good it has done and whatever evil it has done, it will wish there to be a distant period between itself and that day.»","و (تجد كل نفس ما عملت من خير محضراً وما عملت من سوء تود لو أن بينها وبينه أمداً بعيداً) (آل عمران 30)
"
Everything that He revealed in His Book (sublime His praise) is mercy and proof. Those who know it know it; those who ignore it are ignorant of it. Whoever is ignorant of it will not come to know it; whoever comes to know it will not be ignorant of it.  ,"فكل ما أَنزل في كتابه - جل ثناؤه - رحمة وحجة، عَلِمه من علمه، وجهله من جهله، لا يعلم من جهله، ولا يجهل من علمه.
"
"In regard to knowledge, people have different degrees. Their station in relation to knowledge depends on their rankings in regard to how much of it they have acquired.","والناس في العلم طبقات، موقعُهم من العلم بقدْر درجاتهم في العلم به."
"It is necessary for those who seek knowledge to expend their utmost effort in amassing it, to be patient in the face of every obstacle that stands in the way of its acquisition, to have pure intentions toward God in attaining such knowledge, whether they attain it from an explicit text or by means of inference, and to be desirous of God’s assistance in regard to it. No one attains blessings except through His aid.","فحقَّ على طلبة العلم بلوغُ غاية جهدِهم في الاستكثار من علمه، والصبرُ على كل عارض دون طَلَبِه، وإخلاص النية لله في استدراك علمه نصاً واستنباطاً، والرغبة إلى الله في العون عليه، فإنه لا يُدرَك خيرٌ إلا بعونه.
"
"Whoever attains knowledge of God’s rulings in His Book, whether in the form of an explicit text or by means of inference, and whomever God enables to express opinions and act in accordance with what he has learned will win favor in his religion and his worldly existence.","فإن من أدرك علم أحكام الله في كتابه نصاً واستدلالاً، ووفقه الله للقول والعمل بما علِم منه: فاز بالفضيلة في دينه ودنياه،"
"His doubts will be dispelled, wisdom will illuminate his heart, and he will become entitled to the rank of Imam, a position of religious leadership.","وانتفت عنه الرِّيَب، ونَوَّرت في قلبه الحكمة، واستوجب في الدين موضع الإمامة.
"
"We ask God—Bestower of acts of grace before they are deserved, Who continues to bestow them on us though we fall short in rendering thanks to Him as He has required, and Who placed us in «the best community brought forth for the people»—to grant us understanding of His Book and then of the Practice of His Prophet, to grant us words and deeds by which we may satisfy our debt to Him, and to require of us ever more acts of devotion above and beyond those that are required.","فنسأل اللهَ المبتدئَ لنا بنعمه قبل استحقاقها، المديمَها علينا مع تقصيرنا في الإتيان إلى ما أوجب به من شكره بها، الجاعِلَنَا في خير أمة أخرجت للناس: أن يرزقنا فهماً في كتابه، ثم سنة نبيه، وقولاً وعملاً يؤدي به عنا حقه، ويوجب لنا نافلة مزيدة."
Al-Shāfiʿī said: Nothing befalls any adherent of God’s religion without there being in the Book of God an indication of the path of guidance concerning it.,قال الشافعي: فليست تنزل بأحد من أهل دين الله نازلة إلا وفي كتاب الله الدليلُ على سبيل الهدى فيها.
"God (blessed and exalted) said: «A Book which We have sent down to you that you may lead the people from darkness into light, with the permission of their Lord, to the path of the Mighty and Laudable.»","قال الله تبارك وتعالى: (كتاب أنزلناه إليك لتخرج الناس من الظلمات إلى النور بإذن ربهم إلى صراط العزيز الحميد) (إبراهيم 1)
"
He also said: «And We have sent down to you the reminder for you to make clear to men what has been sent down to them and so that they may reflect.»,وقال: (وأنزلنا إليك الذكر لتبيِّن للناس ما نُزِّل إليهم ولعلهم يتفكرون) (النحل 44)
"Moreover, He said: «We have sent down to you the Book as an explanation of everything and a guidance and a mercy and good news to those who submit»","وقال: (ونزلنا عليك الكتاب تبياناً لكل شيء وهدى ورحمةً وبشرى للمسلمين) (النحل 89)
"
"and «And thus We have inspired you with a Spirit of Our command. You did not know what the Book was nor the Faith, but We made it a light, by which We guide such of Our servants as We wish. You guide to a straight path.»","وقال: (وكذلك أوحينا إليك روحاً من أمرنا، ما كنتَ تدري ما الكتابُ، ولا الإيمانُ، ولكن جعلناه نوراً نَهدي به من نشاء من عبادنا، وإنك لتهدي إلى صراط مستقيم) (الشورى 52)"
Chapter on the Modalities of Legislative Statements,"باب: كيف البيان؟
"
"Al-Shāfiʿī said: “Legislative statement” is a term comprising several convergent basic meanings which, however, diverge in their details.","قال الشافعي: والبيان اسم جامع لمعاني مجتمعةِ الأصول، متشعبةِ الفروع:
"
"The lowest common denominator among those convergent and yet divergent meanings is that such a statement is directed to whoever is addressed by it among those in whose language the Qurʾan was revealed. Those meanings are very close in import for such persons, even though some legislative statements exhibit a stronger emphasis than others. They are quite disparate, however, for those ignorant of the Arabs’ language.","فأقلُّ ما في تلك المعاني المجتمعة المتشعبة: أنها بيانٌ لمن خوطب بها ممن نزل القُرَآن بلسانه، متقاربة، الاستواء عنده، وإن كان بعضها أشدَّ تأكيدَ بيانٍ من بعض. ومختلفةٌ عند من يجهل لسان العرب.
"
"Al-Shāfiʿī said: The sum total of legislative statements that God has provided for His creation in His Book—concerning those obligations to which He has subjected them, according to what He has foreordained—are several:","قال الشافعي: فجِمَاع ما أبان الله لخلقه في كتابه، مما تَعَبَّدَهم به، لما مضى من حكمه جل ثناؤه: من وجوه.
"
"One type includes what God has stated in the form of an explicit text, like His general obligations, to wit: that they must perform prayers, give alms, perform the Pilgrimage, and fast; and that He has forbidden sexual indecencies, whether committed openly or in secret. He has also provided explicit texts concerning unlawful sexual intercourse, wine-drinking, and the eating of carrion, blood, and swine flesh. And He has clarified for them how to perform the obligation of ablutions, along with other matters that He has explained in the form of explicit texts.","فمنها ما أبانه لخلقه نصاً. مثلُ جمُل فرائضه، في أن عليهم صلاةً وزكاةً وحجاً وصوماً وأنه حرَّم الفواحش، ما ظهر منها، وما بطن، ونصِّ الزنا والخمر، وأكل الميتة والدم، ولحم الخنزير، وبيَّن لهم كيف فَرْضُ الوضوء، مع غير ذلك مما بين نصاً."
"Another type of legislative statement includes those matters the obligation of which He has affirmed in His Book and then explained how they are to be performed through the words of His Prophet, like the number of prayers, alms and the times when they fall due, and other obligations that He has revealed in His Book.","ومنه: ما أَحكم فرضه بكتابه، وبيَّن كيف هو على لسان نبيه؟ مثل عدد الصلاة، والزكاة، ووقتها، وغير ذلك من فرائضه التي أنزل من كتابه."
"Another type of statement includes those things for which God’s Emissary has established a practice and in respect of which God has provided no explicit text of a rule. In His Book, God has imposed the obligation to obey His Emissary and to abide by his rulings. Thus, whoever accepts something from God’s Emissary accepts it by reason of God’s obliging him to do so.","ومنه: ما سَنَّ رسول الله صلى الله عليه وسلم مما ليس لله فيه نصُّ حكم، وقد فرض الله في كتابه طاعة رسوله صلى الله عليه وسلم، والانتهاء إلى حكمه، فمَن قبل عن رسول الله فبِفَرْضِ الله قَبِل."
Yet another type of legislative statement includes those things in respect of which God has imposed on His creatures the obligation to engage in legal interpretation in order to arrive at an answer. He tests their obedience in regard to legal interpretation just as He tests their obedience in regard to the other things that He has imposed on them.,"ومنه: ما فرض الله على خلقه الاجتهادَ في طلبه، وابتلى طاعتهم في الاجتهاد، كما ابتلى طاعتهم في غيره مما فرض عليهم."
"For God (blessed and exalted) says: «We shall try you until We know those of you who strive hard and are steadfast, and until We test your tidings.»","فإنه يقول تبارك وتعالى: (ولنبلونكم حتى نعلم المجاهدين منكم والصابرين، ونبلوَ أخباركم) (محمد 31)"
He also says «So that God might test what is in your breasts and prove what is in your hearts»,وقال: (وليَبْتَلِيَ الله ما في صدوركم وليمحِّص ما في قلوبكم) (آل عمران 154)
and «Perhaps your Lord will destroy your enemy and make you successors in the land and see how you act.»,"وقال: (عسى ربكم أن يهلكَ عدوكم، ويستخلفَكم في الأرض فينظرَ كيف تعملون؟) (الأعراف 129)"
"Al-Shāfiʿī said: He made them face the prayer-direction, toward the Sacred Mosque, and said to His Prophet: «We see you turning your face about in the sky, and so We make you turn to a prayerdirection that will please you. Turn your face toward the Sacred Mosque. Wherever you may be, turn your faces toward it»","قال الشافعي: فوجَّههم بالقبلة إلى المسجد الحرام، وقال لنبيه: (قد نرى تقلب وجهك في السماء، فلَنُوَلِّيَنَّك قبلة ترضاها، فولِّ وجهك شطر المسجد الحرام، وحيث ما كنتم فولوا وجوهكم شطره) (البقرة 144)"
"and «From wherever you approach, turn your face toward the Sacred Mosque; and wherever you may be turn your faces toward it, so that the people may not have any argument against you.»","وقال: (ومن خرجت فولِّ وجهك شطرَ المسجد الحرام، وحيث ما كنتم فولوا وجوهكم شطره، لئلا يكونَ للناس عليكم حجةٌ) (البقرة 150)"
"Thus, He indicated to them (sublime His praise) that if they were distant from the Sacred Mosque itself, a correct result would be arrived at through interpretation, an obligation which He imposed on them in conjunction with the intellects that He placed in them, which can distinguish between things and their opposites, and those signs that He set up for them apart from the Sacred Mosque itself, toward which He had commanded them to face.","فَدَلهَّم جل ثناؤه إذا غابوا عن عين المسجد الحرام على صواب الاجتهاد، مما فرَض عليهم منه، بالعقول التي رَكَّب فيهم، المميزةِ بين الأشياء، وأضدادها، والعلامات التي نَصَب لهم دون عين المسجد الحرام الذي أمرهم بالتوجه شطره."
"So He said: «He placed the stars for you, for you to be guided by them in the darknesses of land and sea»",فقال: (وهو الذي جعل لكم النجوم لتهتدوا بها في ظلمات البر والبحر) (الأنعام 97)
and «And signs. And men can guide themselves by the stars.»,"وقال: (وعلاماتٍ وبالنجم هم يهتدون) (النحل 16)
"
"These signs consisted of mountains, night, and day; winds of well-known names even though their directions might differ; and the risings of the sun, moon, and stars, risings whose locations within the heavens were well known.","فكانت العلامات جبالاً وليلاً ونهاراً، فيها أرواح معروفة الأسماء، وإن كانت مختلفة المَهابِّ. وشمسٌ وقمر، ونجوم معروفةُ المطالع والمغارب، والمواضعِ من الفلك.
"
"God obligated them to use interpretation in order to face toward the Sacred Mosque, indicating its direction for them as I have just described. And so as long as they engaged in such interpretation, they did not abandon God’s command (sublime His praise). He did not allow them to pray in whatever direction they wished when the Sacred Mosque itself lay distant from them.","ففرض عليهم الاجتهاد بالتوجه شطر المسجد الحرام، مما دلهم عليه مما وصَفْتُ، فكانوا ما كانوا مجتهدين غيرَ مُزايِلين أمرَه جلَّ ثناؤه. ولم يجعل لهم إذا غاب عنهم عين المسجد الحرام أن يُصلُّوا حيث شاؤوا."
Thus did He inform them of His decree: «Does Man think he will be left without guidance?» “Without guidance” means to be neither commanded to do something nor prohibited from doing something.,وكذلك أخبرهم عن قضائه فقال: (أيحسب الإنسان أن يُترَك سُدى) (القيامة 36) والسُّدى: الذي لا يُؤمر ولا يُنهى.
