THE,كتاب الأموال
"(2) ‘Abd al-Rahman ibn Mahdi related to us, from Sufyan ibn Sa‘id (ibn MasrOq al-Thawri) from Suhayl ibn Abi Salih from ‘Ata' ibn Yazid al-Laythi from Tamim (ibn Aws) al-Dari from the Prophet (peace be upon him), a similar tradition, except that he repeated the words “Din (religion) is sincere advice” three times.","2 - حَدَّثَنَا عَبْدُ الرَّحْمَنِ بْنُ مَهْدِيٍّ، عَنْ سُفْيَانَ بْنِ سَعِيدٍ، عَنْ سُهَيْلِ بْنِ أَبِي صَالِحٍ، عَنِ ابْنِ يَزِيدَ، عَنْ تَمِيمٍ الدَّارِيِّ، عَنِ النَّبِيِّ عَلَيْهِ الصَّلَاةُ وَالسَّلَامُ مِثْلَ ذَلِكَ، إِلَّا أَنَّهُ قَالَ: «الدِّينُ النَّصِيحَةُ ثَلَاثَ مَرَّاتٍ»"
,
(3) Ismail ibn Ja'far al-Madlnl related to us from 'Abd Allah ibn Dinar from Ibn 'Umar that he said: “The Messenger of God (pbuh) said: ‘Each one of you is a shepherd and each is responsible for his flock. ,"3 - حَدَّثَنَا إِسْمَاعِيلُ بْنُ جَعْفَرٍ الْمَدِينِيُّ، حَدَّثَنَا عَبْدُ اللَّهِ بْنُ دِينَارٍ، عَنِ ابْنِ عُمَرَ، قَالَ: قَالَ رَسُولُ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ: «كُلُّكُمْ رَاعٍ، وَكُلُّكُمْ مَسْئُولٌ عَنْ رَعِيَّتِهِ، "
The ruler over mankind is a shepherd over them and as such is responsible for them. ,"فَالْأَمِيرُ الَّذِي عَلَى النَّاسِ رَاعٍ عَلَيْهِمْ، وَهُوَ مَسْئُولٌ عَنْهُمْ، "
"Each man is a shepherd for the members of his family, and is responsible for them. ","وَالرَّجُلُ رَاعٍ عَلَى أَهْلَ بَيْتِهِ، وَهُوَ مَسْئُولٌ عَنْهُمْ، "
"A man’s wife is a shepherdess for her husband’s house and her children, and she is responsible for them. ","وَامْرَأَةُ الرَّجُلِ رَاعِيَةٌ عَلَى بَيْتِ زَوْجِهَا وَوَلَدِهَا، وَهِيَ مَسْئُولَةٌ عَنْهُمْ "
A man’s servant is a shepherd for his master’s property and he is responsible for it. ,"وَعَبْدُ الرَّجُلِ رَاعٍ عَلَى مَالِ سَيِّدِهِ، وَهُوَ مَسْئُولٌ عَنْهُ "
"Beware, each one of you, then, is a shepherd and each one of you will be questioned about his flock.’”","أَلَا فَكُلُّكُمْ رَاعٍ، وَكُلُّكُمْ مَسْئُولٌ عَنْ رَعِيَّتِهِ»"
"(4) Abu al-Yaman al-Hakam ibn Nafi' al-Himsi related to us from Shu^yb ibn Abi Hamza from Ibn Shihab al-Zuhri from Salim ibn 'Abd Allah ibn 'Umar from his father from the Prophet (pbuh) the same tradition, or one similar to it.","4 - حَدَّثَنَا أَبُو الْيَمَانِ الْحَكَمُ بْنُ نَافِعٍ الْحِمْصِيُّ، عَنْ شُعَيْبِ بْنِ أَبِي حَمْزَةَ، عَنِ ابْنِ شِهَابٍ الزُّهْرِيِّ، عَنْ سَالِمِ بْنِ عَبْدِ اللَّهِ بْنِ عُمَرَ، عَنْ أَبِيهِ، عَنِ النَّبِيِّ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ مِثْلَ ذَلِكَ، أَوْ نَحْوَهُ"
"(5) Isma'il ibn Ja'far related to us from Sharik ibn 'Abd Allah ibn Abi Namir from 'Ata ibn Yasar that a man said to the Messenger of God (pbuh), “Of all things, authority is the worst.” ","5 - حَدَّثَنَا إِسْمَاعِيلُ بْنُ جَعْفَرٍ، عَنْ شَرِيكِ بْنِ عَبْدِ اللَّهِ بْنِ أَبِي نَمِرٍ، عَنْ عَطَاءِ بْنِ يَسَارٍ، قَالَ رَجُلٌ عِنْدَ رَسُولِ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ: بِئْسَ الشَّيْءُ الْإِمَارَةُ،"
The Prophet (pbuh) said: “Of all things authority is the best for one who employs it for its lawful functions and fulfils its obligations. It is a terrible thing for one who employs it for unlawful and illegitimate ends; on the Day of Judgement he will be overcome by grief and remorse.”,"فَقَالَ النَّبِيُّ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ: «نِعْمَ الشَّيْءُ الْإِمَارَةُ لِمَنْ أَخَذَهَا بِحِلِّهَا وَحَقِّهَا، وَبِئْسَ الشَّيْءُ الْإِمَارَةُ لِمَنْ أَخَذَهَا بِغَيْرِ حَقِّهَا وَحِلِّهَا، تَكُونُ عَلَيْهِ يَوْمَ الْقِيَامَةِ حَسْرَةً وَنَدَامَةً»"
"(6) Yazid ibn HarOn related to us from Yahya ibn Sa'id from al-Harith ibn Yazid al-Hadrami: “Abu Dharr requested an office (authority) from the Messenger of God (pbuh). The Messenger of God (pbuh) said to him: ‘It is a trust, (a cause of) grief and remorse on the Day of Judgement, except for one who employs it for its lawful ends and performs that which is obligatory on him through it.’”","6 - وَحَدَّثَنَا يَزِيدُ بْنُ هَارُونَ، عَنْ يَحْيَى بْنِ سَعِيدٍ، عَنِ الْحَارِثِ بْنِ يَزِيدَ الْحَضْرَمِيِّ، أَنَّ أَبَا ذَرٍّ سَأَلَ رَسُولَ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ الْإِمَارَةَ فَقَالَ لَهُ رَسُولُ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ: «إِنَّهَا أَمَانَةٌ، وَإِنَّهَا يَوْمَ الْقِيَامَةِ حَسْرَةٌ وَنَدَامَةٌ، إِلَّا مَنْ أَخَذَهَا بِحَقِّهَا وَأَدَّى الَّذِي عَلَيْهِ فِيهَا»"
"(7) 'Umar ibn Tariq al-Misri related to us, from 'Abd Allah ibn Lahi^ from al-Harith ibn Yazid al-Hadrami who said: “I heard Ibn Hujayrah al-Shaykh saying, ‘One who heard from Abu Dharr related to me: “I spent a night in intimate conversation with the Messenger of God” - or he said a night till dawn - and said, “O, Messenger of God grant me an office”, and he (the Prophet) replied, “It is a trust, (a cause of) grief and remorse on the Day of Judgement, except for one who employs it rightfully and performs what is obligatory on him through it.’””","7 - وَحَدَّثَنَا عُمَرُ بْنُ طَارِقٍ الْمِصْرِيُّ، عَنْ عَبْدِ اللَّهِ بْنِ لَهِيعَةَ، عَنِ الْحَارِثِ بْنِ يَزِيدَ الْحَضْرَمِيُّ، قَالَ: سَمِعْتُ ابْنَ حُجَيْرَةَ الشَّيْخَ، يَقُولُ: حَدَّثَنِي مَنْ سَمِعَ أَبَا ذَرٍّ، يَقُولُ: نَاجَيْتُ رَسُولَ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ لَيْلًا أَوْ قَالَ: لَيْلَةً حَتَّى الصُّبْحَ، فَقُلْتُ: يَا رَسُولَ اللَّهِ أَمِّرْنِي فَقَالَ: «إِنَّهَا أَمَانَةٌ، وَإِنَّهَا حَسْرَةٌ وَنَدَامَةٌ يَوْمَ الْقِيَامَةِ، إِلَّا مَنْ أَخَذَهَا بِحَقِّهَا، وَأَدَّى الَّذِي عَلَيْهِ فِيهَا»"
"(8) 'Ali ibn Hashim ibn al-Barid related to us from Hisham ibn ^Jrwa from his father who said: “Abn Bakr, may God be pleased with him, addressed the people. He (first) praised and glorified God and then said: ‘I have assumed authority over your affairs, but I am not the best of you.’ The Qur’an was revealed and the Prophet (pbuh) established (his) sunna. He taught us and we acted accordingly, ","8 - وَحَدَّثَنِي عَلِيُّ بْنُ هَاشِمِ بْنِ الْبَرِيدِ، عَنْ هِشَامِ بْنِ عُرْوَةَ، عَنْ أَبِيهِ، قَالَ: خَطَبَ أَبُو بَكْرٍ رَضِيَ اللَّهُ عَنْهُ، فَحَمِدَ اللَّهَ وَأَثْنَى عَلَيْهِ، ثُمَّ قَالَ: «أَمَّا بَعْدُ، فَإِنِّي وُلِّيتُ أَمْرَكُمْ، وَلَسْتُ بِخَيْرِكُمْ، وَلَكِنَّهُ نَزَلَ الْقُرْآنُ، وَسَنَّ النَّبِيُّ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ، وَعَلَّمَنَا فَعَمِلْنَا، "
"and we came to know - O People - that the greatest wisdom comes through guidance’ - or he said ‘fear of God’, and Abu 'Ubayd doubting this said: I believe it is taqwa (fear of God) - ‘and the greatest humility comes through iniquity. The weak among you is the strongest for me, till such time that I have had his rights restored, and the strong among you is the weakest till I have secured from him rights (that were usurped). ","وَاعْلَمُنَّ أَيُّهَا النَّاسُ أَنَّ أَكْيَسَ الْكَيْسِ الْهُدَى» أَوْ قَالَ: «التُّقَى» ، شَكَّ أَبُو عُبَيْدٍ، قَالَ: وَأَكْثَرُ ظَنِّي أَنَّهُ: التُّقَى - «وَأَنَّ أَعْجَزَ الْعَجْزِ الْفُجُورُ، وَأَنَّ أَقْوَاكُمْ عِنْدِي الضَّعِيفُ حَتَّى آخُذَ لَهُ بِحَقِّهِ، وَأَنَّ أَضْعَفَكُمْ عِنْدِي الْقَوِيُّ حَتَّى آخُذَ مِنْهُ الْحَقَّ "
"O Men, I am a follower (of the shared) but not its inventor. If I do well (in the performance of my duties), co-operate with me, but if I deviate (from the right path), correct me. With this I end my talk and beseech God that He may forgive you and me.’”","يَا أَيُّهَا النَّاسُ، إِنَّمَا أَنَا مُتَّبِعٌ، وَلَسْتُ بِمُبْتَدِعٍ، فَإِنْ أَنَا أَحْسَنْتُ فَأَعِينُونِي، وَإِنْ أَنَا زُغْتُ فَقَوِّمُونِي أَقُولُ قَوْلِي هَذَا وَأَسْتَغْفِرُ اللَّهَ لِي وَلَكُمْ»"
"(9) He said: 'AI1 ibn Hashim (that is Ibn al-Barid) related to us, from Ismael ibn Abi Khalid from Qays ibn Abi Hazim - or another - from AbU Bakr, a similar tradition.","9 - قَالَ: وَحَدَّثَنَا عَلِيُّ بْنُ هَاشِمٍ يَعْنِي ابْنَ الْبَرِيدِ، عَنْ إِسْمَاعِيلَ بْنِ أَبِي خَالِدٍ، عَنْ قَيْسِ بْنِ أَبِي حَازِمٍ، أَوْ غَيْرُهُ عَنْ أَبِي بَكْرٍ، نَحْوَ ذَلِكَ"
"(10) He said: Yazid ibn HarQn related to us from Hisham ibn Hassan from al-Hasan, who said: “<'Umar wrote to Musa (al-Ash'ari) (saying): ‘To maintain control over, and effectiveness in, your work you must not put off today’s work till tomorrow."" If you do so, your work will overwhelm you and you will not know which task to undertake first. Your organization will then fall apart. ","10 - قَالَ: وَحَدَّثَنَا يَزِيدُ بْنُ هَارُونَ، عَنْ هِشَامِ بْنِ حَسَّانَ، عَنِ الْحَسَنِ، قَالَ: كَتَبَ عُمَرُ إِلَى أَبِي مُوسَى: "" أَمَّا بَعْدُ، فَإِنَّ الْقُوَّةَ فِي الْعَمَلِ أَنْ لَا تُؤَخِّرَ عَمَلَ الْيَوْمِ لِغَدٍ، فَإِنَّكُمْ إِذَا فَعَلْتُمْ ذَلِكَ تَدَارَكَتْ عَلَيْكُمُ الْأَعْمَالُ، فَلَمْ تَدْرُوا بِأَيِّهَا تَأْخُذُونَ، فَأَضَعْتُمْ "
"Verily, tasks are carried out for the ruler only when the ruler himself fulfils the obligations due to God. If his behaviour is unbridled, so is that of his subordinates - (and in such a case) the people develop a revulsion for their rulers - and I seek the protection of God against this state (or he said: lest this state overtake us) for it breeds jealousies, (leads to) the preference of worldly matters, and the pursuit of whims. ","وَإِنَّ الْأَعْمَالَ مُؤَدَّاةٌ إِلَى الْأَمِيرِ مَا أَدَّى الْأَمِيرُ إِلَى اللَّهِ عَزَّ وَجَلَّ، فَإِذَا رَتَعَ الْأَمِيرُ رَتَعُوا، وَإِنَّ لِلنَّاسِ نَفْرَةً عَنْ سُلْطَانِهِمْ، فَأَعُوذُ بِاللَّهِ أَنْ تُدْرِكَنِي أَوْ قَالَ: تُدْرِكَنَا فَإِنَّهَا ضَغَائِنُ مَحْمُولَةٌ، وَدُنْيَا مُؤْثَرَةٌ، وَأَهْوَاءٌ مُتَّبَعَةٌ "
"So establish justice, even if it is for a brief moment in a day.’”","فَأَقِيمُوا الْحَقَّ وَلَوْ سَاعَةً مِنْ نَهَارٍ """
"(11) He said: 'Abd Allah ibn Idris, Abu Ismael Ibrahim ibn Sulayman al-Mu’addab, and al-Ashja(i - whose name is 'Ubayd Allah ibn QJbayd al-Rahman - all of them related to me from Isma(il ibn Abi Khalid from Mus<ab ibn Sa^, who said: “'Ali ibn Abi Talib, on him be peace, affirming the truth, said: ‘It is obligatory on the ruler (imam) to adjudicate according to the commandments of God and to discharge the trust (reposed in him). When he does so, it is obligatory on the people to pay heed to him, to obey him and to respond to his call.’”","11 - قَالَ وَحَدَّثَنَا عَبْدُ اللَّهِ بْنُ إِدْرِيسَ، وَأَبُو إِسْمَاعِيلَ إِبْرَاهِيمُ بْنُ سُلَيْمَانَ الْمُؤَدِّبُ وَالْأَشْجَعِيُّ وَاسْمُهُ عُبَيْدُ اللَّهِ بْنُ عُبَيْدِ الرَّحْمَنِ كُلُّهُمْ، عَنْ إِسْمَاعِيلَ [ص:13] بْنِ أَبِي خَالِدٍ، عَنْ مُصْعَبِ بْنِ سَعْدٍ، قَالَ: قَالَ عَلِيُّ بْنُ أَبِي طَالِبٍ عَلَيْهِ السَّلَامُ كَلِمَاتٍ أَصَابَ فِيهِنَّ الْحَقَّ، قَالَ: «يَحِقُّ عَلَى الْإِمَامِ أَنْ يَحْكُمَ بِمَا أَنْزَلَ اللَّهُ وَأَنْ يُؤَدِّي الْأَمَانَةَ فَإِذَا فَعَلَ ذَلِكَ فَحَقٌّ عَلَى النَّاسِ أَنْ يَسْمَعُوا لَهُ، وَيُطِيعُوا وَيُجِيبُوهُ إِذَا دَعَا»"
"(12) He said: Muhammad ibn Yazid al-Wasitl related to us from al-'Awwam ibn Hawshab: “A Shaykh from the tribe of Banu Asad related to me, when I was in Byzantium, from a certain individual from Salman, who said: ‘The (true) Khalifa is one who adjudicates on the basis of the Book of God and who shows kindness to his subjects like the kindness of a man to his family? ","12 - قَالَ: وَحَدَّثَنَا مُحَمَّدُ بْنُ يَزِيدَ الْوَاسِطِيُّ، عَنِ الْعَوَّامِ بْنِ حَوْشَبٍ، حَدَّثَنَا شَيْخٌ مِنْ بَنِي أَسَدٍ وَنَحْنُ بِأَرْضِ الرُّومِ، عَنْ رَجُلٍ، عَنْ سَلْمَانَ، قَالَ: «إِنَّ الْخَلِيفَةَ هُوَ الَّذِي يَقْضِي بِكِتَابِ اللَّهِ، وَيُشْفِقُ عَلَى الرَّعِيَّةِ شَفَقَةَ الرَّجُلِ عَلَى أَهْلِهِ» "
"On hearing this, Ka<b al-Ahbar said: ‘He spoke in truth.’”",فَقَالَ كَعْبُ الْأَحْبَارِ: صَدَقَ
"(13) He said: Al-Ashja'i related to us from Mis^r ibn Kidam from al-Rabi' from Abu 'Ubayda ibn 'Abd Allah, who said: “The just imam is one who strives to lessen the complaints made to God, while the tyrant imam is one against whom the complaints to God are numerous.”","13 - قَالَ: وَحَدَّثَنَا الْأَشْجَعِيُّ، عَنْ مِسْعَرِ بْنِ كِدَامٍ، عَنِ الرَّبِيعِ، عَنْ أَبِي عُبَيْدَةَ بْنِ عَبْدِ اللَّهِ، قَالَ: «إِنَّ الْإِمَامَ الْعَادِلَ لِيُسْكِتُ الْأَصْوَاتَ عَنِ اللَّهِ، وَإِنَّ الْإِمَامَ الْجَائِرَ لَتَكْثُرُ مِنْهُ الشِّكَايَةُ إِلَى اللَّهِ عَزَّ وَجَلَّ»"
"(14) He said: Hushaym related to us from Ziyad ibn Mikhraq from an individual from Abu Hurayra from the Prophet (pbuh), who said: “One day’s work by a just imam among his subjects is better than a hundred years, or fifty years - with Hushaym doubting [the word fifty] - of worship of the worshipper among his family.”","14 - قَالَ: وَحَدَّثَنَا هُشَيْمٌ، عَنْ زِيَادِ بْنِ مِخْرَاقٍ، عَنْ رَجُلٍ، عَنْ أَبِي هُرَيْرَةَ، عَنِ النَّبِيِّ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ قَالَ: «لَعَمَلُ الْإِمَامِ الْعَادِلِ فِي رَعِيَّتِهِ يَوْمًا وَاحِدًا أَفْضَلُ مِنْ عِبَادَةِ الْعَابِدِ فِي أَهْلِهِ مِائَةَ عَامٍ، أَوْ خَمْسِينَ عَامًا» شَكَّ هُشَيْمٌ"
"(15) He said: Al-Ashja'i and Ya^Ub al-Qarl related to us from Malik ibn Mighwal from Talha ibn Musarrif, who said: “Khalid ibn al-Walid said: ‘Do not take even three steps with the intention of assuming authority over three individuals ","15 - قَالَ وَحَدَّثَنَا الْأَشْجَعِيُّ، وَيَعْقُوبُ الْقَارِيُّ، عَنْ مَالِكِ بْنِ مِغْوَلٍ، عَنْ طَلْحَةَ بْنِ مُصَرِّفٍ، قَالَ: قَالَ خَالِدُ بْنُ الْوَلِيدِ: «لَا تَمْشِ ثَلَاثَ خُطًى لِتَأَمَّرَ عَلَى ثَلَاثَةِ نَفَرٍ "
do not retract even from the smallest commitment that you make;,وَلَا تَرْزَأْ مُعَاهِدًا إِبْرَةً فَمَا فَوْقَهَا
and do not desire to expose the ruler (imam) of the Muslims to any danger (of insurrection).’”,وَلَا تَبْغِ إِمَامَ الْمُسْلِمِينَ غَائِلَةً»
"(16) He said: Abu Mu^wiya related to us from al-A'mash from Abu Sufyan from his teachers that when Sa'd visited Salman (during his illness) he said to him: “Give us some advice, O Abu 'Abd Allah, that we may abide by it.” ","16 - قَالَ: وَحَدَّثَنَا أَبُو مُعَاوِيَةَ، عَنِ الْأَعْمَشِ، عَنْ أَبِي سُفْيَانَ، عَنْ أَشْيَاخِهِ، أَنَّ سَعْدًا دَخَلَ عَلَى سَلْمَانَ يَعُودُهُ، فَقَالَ لَهُ سَعْدٌ: اعْهَدْ إِلَيْنَا عَهْدًا يَا أَبَا عَبْدِ اللَّهِ نَأْخُذُ بِهِ"
"He said: “When you resolve to undertake some work, or are about to distribute (wealth or favours), or are about to render a decision, remember God.”","فَقَالَ: «اذْكُرِ اللَّهَ عِنْدَ هَمِّكَ إِذَا هَمَمْتَ، وَعِنْدَ يَدِكَ إِذَا قَسَمْتَ، وَعِنْدَ حُكْمِكَ إِذَا حَكَمْتَ»"
Categories of Wealth (Amwal) Administered by the Imams for the Subjects - and their Bases in the Qurian and the Sunna,بَابُ صُنُوفِ الْأَمْوَالِ الَّتِي يَلِيهَا الْأَئِمَّةُ لِلرَّعِيَّةِ وَأُصُولِهَا فِي الْكِتَابِ وَالسُّنَّةِ
Wealth That is Exclusively for the Prophet (pbuh),سقطمنالنسخة
Abu 'Ubayd said: The first types of wealth (amwal) we begin with are those that are exclusively for the Messenger of God (pbuh) and not for the community. These amwal are of three types.,قَالَ أَبُو عُبَيْدٍ: أَوَّلُ مَا نَبْدَأُ بِهِ مِنْ ذِكْرِ الْأَمْوَالِ مَا كَانَ مِنْهَا لِرَسُولِ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ خَالِصًا دُونَ النَّاسِ وَذَلِكَ ثَلَاثَةُ أَمْوَالٍ:
"• First is fay* that God has granted to His Messenger from the (the wealth of) idolaters, and for the acquisition of which the Muslim army has not been mobilized. It includes Fadak and the wealth of Banu al-Nadlr as they made a peace settlement with the Messenger of God (pbuh), upon their wealth and lands, without engaging in combat and without (military) manoeuvres that would necessitate the mobilization of the Muslim army against them.","أَوَّلُهَا: مَا أَفَاءَ اللَّهُ عَلَى رَسُولِهِ مِنَ الْمُشْرِكِينَ، مَا لَمْ يُوجِفِ الْمُسْلِمُونَ عَلَيْهِ بِخَيْلٍ وَلَا رِكَابٍ وَهِيَ فَدَكُ، وَأَمْوَالُ بَنِي النَّضِيرِ، فَإِنَّهُمْ صَالَحُوا رَسُولَ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ عَلَى أَمْوَالِهِمْ وَأَرَضِيهِمْ، بِلَا قِتَالٍ كَانَ مِنْهُمْ، وَلَا سَفَرَ تَجَشَّمَهُ الْمُسْلِمُونَ إِلَيْهِمْ "
"• Second is the wealth called $afiyyf which is part of the spoils (g hanim a) gathered by the Muslims, that the Messenger of God (pbuh) would select and set aside for himself prior to distribution of the whole.","وَالْمَالُ الثَّانِي: الصَّفِيُّ الَّذِي كَانَ رَسُولُ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ يَصْطَفِيهِ مِنْ كُلِّ غَنِيمَةٍ يَغْنَمُهَا الْمُسْلِمُونَ قَبْلَ أَنْ يَقْسِمَ الْمَالَ،"
• Third is the fifth of a fifth (twenty-fifth of the whole - khums al-khums) of the spoils after they had been distributed into five parts.,وَالثَّالِثُ: خُمْسُ الْخُمُسِ بَعْدَمَا تُقْسَمُ الْغَنِيمَةُ وَتُخَمَّسُ 
For each of these categories there are established narrations.,وَفِي كُلِّ ذَلِكَ آثَارٌ قَائِمَةٌ مَعْرُوفَةٌ.
The Wealth of Banu al-Nadir,سقطمنالنسخة
"(17) Aba 'Ubayd said: With respect to the amwal of Banu al-Nadir, Sufyan ibn Uyayna related to me from ‘Amr ibn Dinar, and Ma'mar ibn Rashid, from al-Zuhri from Malik ibn Aws ibn al-Hadathan al-Nasri from ‘Umar ibn al-Khattab, who said: “It was the wealth (amwal) of Banu al-Nadir that was granted by God to His Messenger without the mobilization of the Muslim armies. These possessions belonged exclusively to the Messenger of God (pbuh). ","17 - قَالَ أَبُو عُبَيْدٍ فَأَمَّا أَمْوَالُ بَنِي النَّضِيرِ، فَإِنَّ سُفْيَانَ بْنَ عُيَيْنَةَ حَدَّثَنَا [ص:15]، عَنْ عَمْرِو بْنِ دِينَارٍ، وَمَعْمَرِ بْنِ رَاشِدٍ، عَنِ الزُّهْرِيِّ، عَنْ مَالِكِ بْنِ أَوْسِ بْنِ الْحَدَثَانِ النَّصْرِيِّ، عَنْ عُمَرَ بْنِ الْخَطَّابِ، قَالَ: «كَانَتْ أَمْوَالُ بَنِي النَّضِيرِ مِمَّا أَفَاءَ اللَّهُ عَلَى رَسُولِهِ، مِمَّا لَمْ يُوجِفِ الْمُسْلِمُونَ عَلَيْهِ بِخَيْلٍ وَلَا رِكَابٍ فَكَانَتْ لِرَسُولِ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ خَاصَّةً "
"Out of these, he used to charge the annual maintenance of his family and applied the remaining to the purchase of arms and riding animals” for fighting in the cause of God.”","فَكَانَ يُنْفِقُ مِنْهَا عَلَى أَهْلِهِ نَفَقَةَ سَنَةٍ، وَمَا بَقِيَ جَعَلَهُ فِي الْكُرَاعِ وَالسِّلَاحِ عِدَّةً فِي سَبِيلِ اللَّهِ»"
"(18) He said: Muhammad ibn Kathir related to us from Ma'mar from al-Zuhri, who said: “The Messenger of God besieged Banu al-Nadir, who were a tribe of the Jews living near the outskirts of Madina, till they agreed to abandon their land on the condition of taking as many goods, except arms, as could be loaded on camels. ","18 - قَالَ: وَحَدَّثَنَا مُحَمَّدُ بْنُ كَثِيرٍ، عَنْ مَعْمَرٍ، عَنِ الزُّهْرِيِّ، قَالَ: حَاصَرَ رَسُولُ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ بَنِي النَّضِيرِ، وَهُمْ سِبْطٌ مِنَ الْيَهُودِ بِنَاحِيَةِ الْمَدِينَةِ، حَتَّى نَزَلُوا عَلَى الْجَلَاءِ، وَعَلَى أَنَّ لَهُمْ مَا أَقَلَّتِ الْإِبِلُ مِنَ الْأَمْتِعَةِ، إِلَّا الْحَلْقَةَ - قَالَ أَبُو عُبَيْدٍ الْحَلْقَةُ: السِّلَاحُ - "
