Al-Akhlâq wa’l-Siyar (Morals and Behaviour),الأخلاق والسير في مداواة النفوس
"[As things happen one after the other] If you look deeply into worldly matters you will become melancholy and will end by reflecting upon the ephemeral nature of everything here below, and the fact that truth lies only in striving for the hereafter, since every ambition to which you might cling will end in tears; either the goal is snatched from you, or you have to give the attempt up before you reach it. One of these two endings is inevitable except in the search for God the Almighty and Powerful. Then the result is always joy, both immediate and eternal.","إذا تعقبت الأمور كلها فسدت عليك وانتهيت في آخر فكرتك -باضمحلال جميع أحوال الدنيا- إلى أن الحقيقة إنما هي العمل للآخرة فقط لأن كل أمل ظفرت [به فعقباه] حزن، إما بذهابه عنك وإما بذهابك عنه، ولا بد من أحد هذين الشيئين، إلا العمل لله عز وجل، فعقباه على كل حال سرور في عاجل وآجل."
The immediate joy is because you stop worrying about the things which usually worry people; this leads to an increase in the respect paid to you by friends and enemies alike. The eternal joy is the joy of Paradise.,"أما العاجل فقلة الهم بما يهتم به الناس وإنك به معظَّم من الصديق والعدو، وأما في الآجل فالجنة."
"I have tried to find one goal which everyone would agree to be excellent and worthy of being striven after. I have found one only: to be free from anxiety. When I reflected upon it, I realized that not only do all agree in valuing it and desiring it, but I also perceived that, despite their many different passions and aspirations and preoccupations and desires, they never make the slightest gesture unless it is designed to drive anxiety far away. One man loses his way, another comes close to going wrong, finally another is successful - but he is a rare man, and success is rare, [O, all-knowing God].","تطلبت غرضًا يستوي الناس كلهم في استحسانه وفي طلبه فلم أجده إلا واحدًا وهو طرد الهم فلما تدبرته علمت أن الناس كلهم لم يستووا في استحسانه فقط ولا في طلبه فقط ولكن رأيتهم على اختلاف أهوائهم ومطالبهم [وتباين هممهم] وإراداتهم، لا يتحركون حركة أصلًا إلا فيما يرجون به طرد الهم، ولا ينطقون بكلمة أصلًا إلا فيما يعانون به إزاحته عن أنفسهم، فمن مخطئ وجه سبيله، ومن مقارب للخطأ، ومن مصيب وهو الأقل [من الناس في الأقل من أموره]."
"Dispelling anxiety is a goal upon which all nations agree from the time when the Almighty created the world until the day when this world will pass away and be followed by the Day of Judgment - and their actions are directed to this goal alone. In the case of every other objective there will always be some people who do not desire it. For example, some people are not religious and do not take eternity into account. There are some who by nature and inclination prefer obscurity to fame [the obscurity of satisfied passion].",فطرد الهم مذهب قد اتفقت الأمم كلها مذ خلق الله تعالى العالم إلى أن يتناهى عالم الابتداء ويعاقبه عالم الحساب على أن لا يعتمدوا بسعيهم شيئًا سواه وكل غرض غيره ففي الناس من لا يستحسنه إذ في الناس من لا دين له فلا يعمل للآخرة وفي الناس من أهل الشر من لا يريد الخير ولا الأمن ولا الحق وفي الناس من يؤثر الخمول بهواه وإرادته على بعد الصيت.
"There are some who have no interest in amassing a fortune, preferring abstinence to ownership; this was the case with many of the Prophets. God’s peace be upon them - and those who followed their example, ascetics and philosophers.",وفي الناس من لا يريد المال ويؤثر عدمه على وجوده ككثير من الأنبياء عليهم السلام ومن تلاهم من الزهاد والفلاسفة.
"There are some who by nature dislike sensual pleasures and scorn those who seek after them, such as those men we have just mentioned, and who prefer to lose a fortune rather than gain one. Some prefer ignorance to knowledge, in fact most of the people that you see in the street are like this.",وفي الناس من يبغض اللذات بطبعه ويستنقص طالبها كمن ذكرنا من المؤثرين فقد المال على اقتنائه وفي الناس من يؤثر الجهل على العلم كأكثر من ترى من العامة.
These are the objectives of people who have no other aim in life.,وهذه هي أغراض الناس التي لا غرض لهم سواها.
"When I had arrived at this great piece of wisdom, when I had discovered this amazing secret, when Allâh the Almighty had opened the eyes of my mind [spirit] to see this great pleasure, I began to search for the way which would truly enable me to dispel anxiety, that precious goal desired by every kind of person, whether ignorant or scholarly, good or evil. I found it in one place alone, in the action of turning towards God the Almighty and Powerful, in pious works performed with an eye to eternity.",فلما استقر في نفسي هذا العلم الرفيع وانكشف لي هذا السر العجيب وأنار الله تعالى لفكري هذا الكنز العظيم بحثت عن سبيل موصلة [على]الحقيقة إلى طرد الهم الذي هو المطلوب للنفس الذي اتفق جميع أنواع الإنسان-الجاهل منهم والعالم والصالح والطالح-على السعي له فلم أجدها إلا التوجه إلى الله عز وجل بالعمل للآخرة.
Thus the only reason that someone chases after riches is to dispel the anguish of poverty. The only reason that someone seeks fame is to dispel the anxiety of seeing someone else outdo him.,وإلا فإنما طلب المال طلابه ليطردوا به هم الفقر عن أنفسهم وإنما طلب الصوت من طلبه ليطرد به عن نفسه هم الاستعلاء عليها.
The only reason that someone chases after pleasures is to dispel the anxiety of missing them. The only reason someone chases after knowledge is to dispel the anxiety of being ignorant about something. People enjoy listening to other people’s conversation and gossip only because it dispels the anxiety of being alone and isolated.,وإنما طلب اللذات من طلبها ليطرد بها عن نفسه هم فوتها وإنما طلب العلم من طلبه ليطرد به عن نفسه هم الجهل وإنما هش إلى سماع الأخبار ومحادثة الناس من يطلب ذلك ليطرد بها عن نفسه هم التوحد ومغيب أحوال العالم عنه.
"People eat, drink, make love, wear clothes, play games, build a shelter, mount a horse, go for a walk, only in order to avoid the reverse of all these actions and every other kind of anxiety.",وإنما أكل من أكل وشرب من شرب ونكح من نكح ولبس من لبس ولعب [من لعب] [واكتن من اكتن] وركب من ركب ومشى من مشى وتودع من تودع ليطردوا عن أنفسهم أضداد هذه الأفعال وسائر الهموم.
"In all the actions listed here, anyone who pauses to reflect will see that anxieties inevitably occur, such as problems which arise in the course of the action, the impossibility of performing the impossible, the fleeting nature of any achievements, and the inability to enjoy something because of some difficulty. There are also bad consequences which arise from every success: fear of one’s rival, attacks by the jealous, theft by covetous, loss to an enemy, not to mention criticism, sin and such things.","[وفي كل] ما ذكرنا لمن تدبره هموم حادثة لا بد لها من عوارض تعرض في خلالها وتعذر ما يتعذر منها وذهاب ما يوجد منها والعجز عنه لبعض الآفات الكائنة، وأيضًا [نتائج سوء تنتج] بالحصول على ما حصل عليه من [كل] ذلك من خوف منافس أو طعن حاسد أو اختلاس راغب أو اقتناء عدو مع الذم والإثم وغير ذلك."
"On the other hand, I have found that actions performed with an eye on eternity are free from * every kind of * fault, free from every stain, and a true means of dispelling anxiety. I have found that the man who is striving for eternity may be sorely tested by bad fortune on his way but does not worry; on the contrary, he is glad, because the trial to which he is subjected gives rise to hope, which aids him in his endeavour and sets him the more firmly on the path towards his true desire.",ووجدت للعمل للآخرة سالمًا من كل عيب خالصًا من كل كدر موصلًا إلى طرد الهم على الحقيقة ووجدت العامل للآخرة أن امتحن بمكروه في تلك السبيل لم يهتم بل يسر إذ رجاؤه في عاقبة ما ينال به عون [له] على ما يطلب وزايد في الغرض الذي [إياه] يقصد.
"I have found that, when he finds his way blocked by an obstacle, he does not worry, because it is not his fault, and he did not choose the actions that he will have to answer for.",ووجدته إن عاقه عما هو بسبيله عائق لم يهتم إذ ليس مؤاخذًا بذلك فهو غير مؤثر في ما يطلب.
"I have seen such a man be glad, when others have wished evil upon him, and be glad when has undergone some trial, and be glad, always [living] in a permanent state of joy while others are permanently the opposite. You should therefore understand that there is only one objective to strive for, it is to dispel anxiety; and only one path leads to this, and that is the service of the Most High God. Everything else is misguided and absurd.",ورأيته إن قصد بالأذى سر وإن نكبته نكبة سر وإن تعب فيما سلك فيه سر فهو في سرور متصل أبدًا وغيره بخلاف ذلك أبدًا. فاعلم أنه مطلوب واحد وهو طرد الهم وليس إليه إلا طريق واحد وهو العمل لله تعالى فما عدا هذا فضلال وسخف.
"Do not use your energy except for a cause more noble than yourself. Such a cause cannot be found except in * Almighty * God Himself: to preach the truth, to defend womanhood, to repel humiliation which your Creator has not imposed upon you, to help the oppressed.",لا تبذل نفسك إلا فيما هو أعلى منها وليس ذلك إلا في ذات الله عز وجل في دعاء إلى حق وفي حماية الحريم وفي دفع هوانٍ لم يوجبه عليك خالقك تعالى وفي نصر مظلوم.
Anyone who uses his energy for the sake of the vanities of the world is like someone who exchanges gemstones for gravel.,وباذل نفسه في عرض دنيا كبائع الياقوت بالحصى.
There is no nobility in anyone who lacks faith.,لا مروءة لمن لا دين له.
The wise man knows that the only fitting price for his soul is a place in Paradise.,العاقل لا يرى لنفسه ثمنًا إلا الجنة.
"Satan sets his traps, under the cover of finding fault with hypocrisy. It can happen that someone refrains from doing a good deed for fear of being thought a hypocrite. [If Satan whispers such an idea in your ear, take no notice; that will frustrate him.]","لإبليس في ذم الرياء حبالة، وذلك أنه رب ممتنع من فعل خير خوف أن يظن به الرياء."
II) The Mind and Repose Do not listen to what other people say. Listen only to the Words of the Creator. That is the way to a completely sound mind and to perfect repose.,"باب عظيم من أبواب العقل والراحة، وهو اطراح المبالاة [بكلام الناس واستعمال المبالاة] بكلام الخالق عز وجل بل [هذا باب] العقل والراحة كلها."
Anyone who believes himself safe from all criticism and reproach is out of his mind.,من قدّر أنه يسلم من طعن الناس وعيبهم فهو مجنون.
"Anyone who studies deeply and disciplines his soul not to rest until it has found the truth, even if it is painful at first, will take more pleasure in criticism than in praise. Indeed, if he hears people praise him, even if it is well-deserved, he will become proud, and his virtue will be corrupted. If he hears people praise him and the praise is undeserved, he will be pleased, but wrongly so, and this is a serious fault.",من حقق النظر وراض نفسه على السكون إلى الحقائق وإن آلمتها في أول صدمة كان اغتباطه بذم الناس إياه أشد وأكثر من اغتباطه بمدحهم إياه لأن مدحهم إياه إن كان بحق وبلغه مدحهم له أسرى ذلك فيه العجب فأفسد بذلك فضائله وإن كان بباطل فبلغه فسره فقد صار مسرورًا بالكذب وهذا نقص شديد.
"On the other hand, if he hears people criticize him and it is deserved, he might be led to correct the behaviour that led to it. This criticism would be a piece of considerable good luck that only a fool would ignore.",وأما ذم الناس إياه فإن كان بحق فبلغه فربما كان ذلك سببًا إلى تجنبه ما يعاب عليه وهذا حظ عظيم لا يزهد فيه إلا ناقص.
"If someone is criticized unjustly and he controls himself, he will gain merit by his meekness and patience. Furthermore, all the good works ever done by his critic will be credited to him, and he will gain the benefit of them on Judgment Day when they will stand him in very good stead when he needs them, although they were not a result of his own efforts. And this is a supreme piece of good luck which it would be mad to disdain.",وإن كان بباطل وبلغه فصبر اكتسب فضلًا زائدًا بالحلم والصبر وكان مع ذلك غانمًا لأنه يأخذ حسنات من ذمه بالباطل فيحظى بها في دار الجزاء أحوج ما يكون إلى النجاة بأعمال لم يتعب فيها ولا تكلفها وهذا حظ عظيم لا يزهد فيه إلا مجنون.
"If he does not hear people’s praise, what they say or do not say makes no difference to him. But it is a different matter with their criticism, he wins either way, whether he hears their criticism or does not hear it.",وأما إن لم يبلغه مدح الناس إياه فكلامهم وسكوتهم سواء وليس كذلك ذمهم إياه لأنه غانم للأجر على كل حال بلغه ذمهم أو لم يبلغه.
"If it were not for the words of the Prophet (may Allâh be pleased with him) about “good praise” which “brings to the believers the express good news of the happiness which has been promised”, it might have been a sign of wisdom to prefer being criticized even unjustly to being praised with good reason. But these words were spoken. The promised happiness “will always arise from merit, not from absence of merit; it will reward only the object of praise, not merely the fact that praises were uttered”.","ولولا قول رسول الله صلى الله عليه وسلم في الثناء الحسن: ذلك عاجل بشرى المؤمن"" لوجب أن يرغب العاقل في الذم بالباطل أكثر من رغبته في المدح بالحق ولكن إذا جاء هذا القول فإنما تكون البشرى بالحق لا بالباطل، فإنما تجب البشرى بما في الممدوح لا بنفس المدح."
"Nobody in the whole world, from the time of its creation until its end, would deliberately choose anxiety, and would not desire to drive it far away.",وليس في العالم مذ كان إلى أن يتناهى أحد يستحسن الهم ولا يريد طرده عن نفسه.
"There is no difference between the virtues and the vices, between the acts of devotion and acts of rebellion, except in as far as the soul feels attracted or repelled.",ليس بين الفضائل والرذائل ولا بين الطاعات والمعاصي إلا نفار النفس وأنسها فقط.
"Happy the man whose soul finds pleasure in virtue and good deeds, fleeing vice and rebellion. And unhappy the man whose soul finds pleasure in vice and rebellion, fleeing virtue and good deeds. This is nothing less than the sacred order of things ordained by the providence of Almighty Allâh.",فالسعيد من أنست نفسه بالفضائل والطاعات ونفرت من الرذائل والمعاصي والشقي من أنست نفسه بالرذائل والمعاصي ونفرت من الفضائل والطاعات وليس هاهنا إلا صنع الله تعالى وحفظه.
Anyone who strives after eternity is on the side of the angels. Anyone who strives after evil is on the side of the demons. Anyone who seeks fame and victory is on the side of the tigers. Anyone who seeks sensual pleasures is on the side of the [dumb] beasts.,"طالب الآخرة ليفوز في الآخرة متشبه بالملائكة وطالب الشر متشبه بالشياطين وطالب الصوت والغلبة متشبه بالسباع وطالب اللذات متشبه بالبهائم،"
"Anyone who seeks money for its own sake, not for spending on pious obligations and praiseworthy acts of charity, is too base, too vile to be compared with a beast. He resembles rather the waters which gather in caves in inaccessible places: no animal profits at all from them, [except now and then a bird; then the wind and the sun dry up what is left. And the same thing happens to possessions which are not consecrated to pious works].",وطالب المال لعين المال لا لينفقه في الواجبات والنوافل المحمودة أسقط وأرذل من أن يكون له في شيء من الحيوان شبه ولكنه يشبه الغدران التي في الكهوف في المواضع الوعرة لا ينتفع بها شيء من الحيوان.
"A wise man has no satisfaction is a quality which sets him below tigers, dumb beasts and inanimate objects. He rejoices only in his progress in that virtue by which Allâh distinguishes him from these same tigers, dumb beasts and inanimate objects: this is the virtue of intelligence which he shares with the angels.",فالعاقل لا يغتبط بصفه يفوقه فيها سبع أو بهيمة أو جماد وإنما يغتبط بتقدمه في الفضيلة التي أبانه الله تعالى بها عن السباع والبهائم والجمادات وهي التمييز الذي يشارك فيه الملائكة.
"Anyone who feels proud of courage which is not applied in its normal directions, the service of the Almighty God, let him understand that the tiger is braver than him, that the lion, the wolf and the elephant are braver than him. Anyone who glories in his own physical strength, let it be known to him that the mule, the ox and the elephant are physically stronger than him. Anyone who glories is his ability to carry heavy weights, let it be known to him that the donkey can carry greater weights.","فمن سر بشجاعته التي يضعها في غير موضعها لله عز وجل فليعلم أن النمر أجرأ منهن وأن الأسد والذئب والفيل أشجع منه ومن سر بقوة جسمه فليعلم أن البغل والثور والفيل أقوى منه جسمًا ومن سر بحمله الأثقال فليعلم أن الحمار أحمل منه،"
"Anyone who glories in his ability to run, let it be known to him that the dog and the hare are faster runners than he. Anyone who glories in the sound of his voice, let it be known to him that many of the birds have sweeter voices than he, and the sound of the flutes is more exquisite and charming than the sound of his voice. How can anyone take pride or satisfaction in qualities in which these animals are superior?",ومن سر بسرعة عدوه فليعلم أن الكلب والأرنب أسرع عدوًا منه ومن سر بحسن صوته فليعلم أن كثيرًا من الطير أحسن صوتًا منه وأن أصوات المزامير ألذ وأطرب من صوته فأي فخر وأي سرور في ما تكون فيه هذه البهائم متقدمة عليه؟
"But a man whose intellect is strong, whose knowledge is extensive and whose deeds are good, he should rejoice because only the angels and the best of men are superior to him in these matters.",لكن من قوى تمييزه واتسع علمه وحسن عمله فليغتبط بذلك فإنه لا يتقدمه في هذه الوجوه إلا الملائكة وخيار الناس.
"Allâh says “Anyone who fears the majesty of God, and controls himself against passion, he shall have Paradise for his refuge.” [79:40]",قول الله تعالى: {وَأَمَّا مَنْ خَافَ مَقَامَ رَبِّهِ وَنَهَى النَّفْسَ عَنْ الْهَوَى فَإِنَّ الْجَنَّةَ هِيَ الْمَأْوَى} [النازعات: 40-41].
"These words encapsulate all virtue: to control oneself against passion means in fact to turn away from one’s natural tendency towards anger and lust, things which are both under the dictates of passion. Then all that is left for the soul to use is the intellect which God has given it, the good sense which distinguishes it from the beasts, from insects or vermin and from tigers.",جامع لكل فضيلة لأن نهي النفس عن الهوى هو ردعها عن الطبع الغضبي وعن الطبع الشهواني لأن كليهما واقع تحت موجب الهوى فلم يبق إلا استعمال النفس للنطق الموضوع فيها الذي به بانت عن البهائم والحشرات والسباع.
"“Never lose your temper,” as Allâh’s Prophet (peace be upon him) said to a man asking advice, and, as he also said commanding him, “Do as you would be done by”, together encapsulate the whole of virtue. Indeed, the fact that the Prophet forbade all anger implies that although the soul has been given the ability to be angry, it should refrain from this passion, and the [Prophet’s] commandment to do as you would be done implies that the souls should turn away from the strong force of greed and lust and should uphold the authority or the means of justice which springs from the rationality which is part of the reasonable soul.","قول رسول الله صلى الله عليه وسلم للذي استوصاه: «لَا تَغْضَبْ»، وأمره عليه السلام «أن يحب المرء لغيره ما يحب لنفسه» جامعان لكل فضيلة لأن في نهيه عن الغضب ردع النفس ذات القوة الغضبية عن هواها وفي أمره عليه السلام أن يحب المرء لغيره ما يحب لنفسه ردع النفس عن القوة الشهوانية وجمع لأزمة العدل الذي هو فائدة النطق الموضوع في النفس الناطقة."
"I have seen the majority of people - except those who God the Almighty has protected, and they are few - throw themselves into the miseries, the worries and fatigues of this world, and pile up a mountain of sin which will mean that they enter hellfire in the Hereafter and will have no advantage from the perfidious intentions which they nurse so carefully, such as wishing for an inflation of prices which would bring disaster upon the children, the innocent, or wishing the worst trials upon those they hate. They know very well that these bad intentions will not necessarily bring about what they desire or guarantee its advent, and if they clarified and improved their intentions they would hasten the repose of their spirits.","رأيت أكثر الناس إلا من عصم الله تعالى وقليل ما هم يتعجلون الشقاء والهم والتعب لأنفسهم في الدنيا ويحتقبون عظيم الإثم الموجب للنار في الآخرة بما لا يحظون معه بنفع أصلًا من نيات خبيثة يضبون عليها من تمني الغلاء المهلك للناس وللصغار ومن لا ذنب له وتمني أشد البلاء لمن يكرهونه وقد علموا يقينًا أن تلك النيات الفاسدة لا تعجل لهم شيئًا مما يتمنونه أو يوجب كونه. وإنهم لو صفوا نياتهم وحسنوها لتعجلوا الراحة لأنفسهم،"
"They would then have the time to devote themselves to their own business and would thus profit a great deal in addition to the return of their souls to God, and all this without having at all hastened or delayed the realization of their desires.",وتفرغوا بذلك لمصالح أمورهم ولا قتنوا بذلك عظيم الأجر في المعاد من غير أن يؤخر ذلك شيئًا مما يريدونه أو يمنع كونه.
"Is there any worse deception than the attitude which we warn against here, and is there any greater happiness than the one which we are promoting?",فأي غبن أعظم من هذه الحال التي نبهنا عليها وأي سعد أعظم من التي دعونا إليها؟
The past and the future are as meaningless as if they did not exist. Is anyone more misguided than the man who barters an eternal future for a moment which passes quicker than the blink of an eye?,"وأما ما مضى وما لم يأت فمعدومان كما لم يكن، فمن أضل ممن يبيع باقيًا خالدًا بمدة هي أقل من كرّ الطرف؟!"
"When a man is asleep, he leaves the world and forgets all joy and all sorrow. If he kept his spirit in the same state on waking, he would know perfect happiness.",إذا نام المرء خرج عن الدنيا ونسي كل سرور وكل حزن فلو رتب نفسه في يقظته على ذلك أيضًا لسعد السعادة التامة.
A man who harms his family and his neighbors is viler than them.,من أساء إلى أهله وجيرانه فهو أسقطهم.
Anyone who returns evil for evil is as bad as them.,ومن كافأ من أساء إليه منهم فهو مثلهم.
"Anyone who refrains from returning evil is their master, their superior and the most virtuous among them.",ومن لم يكافئهم بإساءتهم فهو سيدهم وخيرهم وأفضلهم.
"If knowledge had no other merit than to make the ignorant fear and respect you, and scholars love and honour you, this would be good enough reason to seek after it. Let alone all its other merits in this world and the next!",لو لم يكن من فضل العلم إلا أن الجهال يهابونك ويجلونك وأن العلماء يحبونك ويكرمونك لكان ذلك سببًا إلى وجوب طلبه فكيف بسائر فضائله في الدنيا والآخرة؟!
"If ignorance had no other fault than to make the ignorant man jealous of knowledgeable men and jubilant at seeing more people like himself, this by itself would be a reason enough to oblige us to flee it. Let alone the other bad results of this evil in this world and the next!",ولو لم يكن من نقص الجهل إلا أن صاحبه يحسد العلماء ويغبط نظراءه من الجهال لكان ذلك سببًا إلى وجوب الفرار عنه فكيف بسائر رذائله في الدنيا والآخرة؟!
"If knowledge and the action of devoting oneself to it had no purpose except to free the man who seeks it from the exhausting anxieties and many worries which afflict the mind, that alone would certainly be enough to drive us to seek knowledge. But what should we say of the other benefits too numerous to list, the least of which are the above-mentioned, and all of which accrue to the knowledgeable man.",لو لم يكن من فائدة العلم والاشتغال به إلا أنه يقطع المشتغل به عن الوساوس المضنية ومطارح الآمال التي لا تفيد غير الهم وكفاية الأفكار المؤلمة للنفس لكان ذلك أعظم داع إليه فكيف وله من الفضائل ما يطول ذكره؟! ومن أقلها ما ذكرنا مما يحصل عليه طالب العلم.
"In search of benefits as small as these the petty kings have worn themselves out in seeking distraction from their anxieties in game of chess, dicing, wine, song, hunting expeditions and other pastimes which bring nothing but harm in this world and the next and absolutely no benefit.",وفي مثله أتعب ضعفاء الملوك أنفسهم فتشاغلوا عما ذكرنا بالشطرنج والنرد والخمر والأغاني وركض الدواب في طلب الصيد وسائر الفضول التي تعود بالمضرة في الدنيا والآخرة وأما فائدة فلا فائدة.
"If the scholar who has spent long peaceful hours [at his studies] stopped to think how his knowledge has protected him against humiliation at the hands of the ignorant, and against anxiety about unknown truths, and what joy it has brought him by enabling him to solve problems which others find insoluble, he would certainly increase his expressions of gratitude to Allâh and rejoice more in the knowledge that he has and desire even more to add to it.",لو تدبر العالم في مرور ساعاته ماذا كفاه العلم من الذل بتسلط الجهال ومن الهم بمغيب الحقائق عنه ومن الغبطة بما قد بان له وجهه من الأمور الخفية عن غيره لزاد حمدًا لله عز وجل وغبطة بما لديه من العلم ورغبة في المزيد منه.
"Anyone who spends his time studying something inferior, abandoning higher studies of which he is capable, is like someone who sows corn in a field capable of growing wheat, or who plants bushes in a soil which could support palm trees and olives.",من شغل نفسه بأدنى العلوم وترك أعلاها وهو قادر عليه كان كزارع الذرة في الأرض التي يجود فيها البر وكغارس الشعراء حيث يزكو النخل والزيتون.
"To spread knowledge among those incapable of understanding it would be as harmful as giving honey and sugary confections to someone with a fever, or giving musk and amber to someone with a migraine caused by an excess of bile.","نشر العلم عند من ليس من أهله مفسد لهم كإطعامك العسل والحلواء من به احتراق وحمى، أو كشميمك المسك والعنبر لمن به صداع من احتدام الصفراء."
"A man who is a miser with his knowledge is worse than a man who is a miser with his money, for the money-miser is afraid of using up what he possesses but the knowledge-miser is being mean with something which does not get used up and is not lost when it is given away.",الباخل بالعلم ألأم من الباخل بالمال لأن الباخل بالمال أشفق من فناء ما بيده والباخل بالعلم بخل بما لا يفنى على النفقة ولا يفارقه مع البذل.
"Anyone who has a natural inclination towards a branch of knowledge, even if it is inferior to other branches, should not abandon it, or he would be like someone who plants coconuts in al-Andalus or olive trees in India where neither would produce fruit.",من مال بطبعه إلى علم ما وإن كان أدنى من غيره فلا يشغلها بسواه فيكون كغارس النارجيل بالأندلس وكغارس الزيتون بالهند وكل ذلك لا ينجب.
The most noble branches of knowledge are those which bring you close to the Creator and help you to be pleasing to Him.,أجل العلوم ما قربك من خالقك تعالى وما أعانك على الوصول إلى رضاه.
"When you compare yourself with others in matters of wealth, position, and health, you should look at people less favoured than yourself. When you compare yourself with others in matters of religion, knowledge and virtue, look at people who are better than yourself.","انظر في المال والحال والصحة إلى من دونك، وانظر في الدين والعلم والفضائل إلى من فوقك."
The mysterious branches of knowledge are like a strong drug which benefits a strong body but damages a weak one.,العلوم الغامضة كالدواء القوي يصلح الأجساد القوية ويهلك الأجساد الضعيفة.
"In the same way, the esoteric branches of knowledge enrich a strong mind, and refine it, purifying it of its flaws, but destroy a weak mind.","وكذلك العلوم الغامضة، تزيد العقل القوي جودة وتصفية من كل آفة وتهلك ذا العقل الضعيف."
"If a madman threw himself as deeply into good sense as he throws himself as deeply into madness, he would surely be wiser than al-Hasan al-Basrî, Plato of Athens and Vuzurgmihr the Persian.",من الغوص على الجنون ما لو غاصه صاحبه على العقل لكان أحكم من الحسن البصري وأفلاطون الأثيني وبزرجمهر الفارسي.
Intelligence has its limits; it is useless unless it is based upon the guidance of religion or on good fortune in this world.,وقف العقل عند أنه لا ينفع إن لم يؤيد بتوفيق في الدين أو بسعد في الدنيا.
