"With the Name of Allah, the All-Merciful, the Most Merciful",بسم الله الرحمن الرحيم
Also they have the wording after mentioning the expiating actions: “Whoever does so will live in good and die upon goodness. His sins will be as the day his mother gave birth to him.” In the wording with them is also: “...and the ranks: To spread salaam (Islamic greeting)” instead of: “soft speech.”,"وفيه أيضاً عندهما بعد ذكر الكفارات زيادة: "" ومن فعل ذلك عاش بخير ومات بخير وكان من خطيئته كيوم ولدته أمه ""، وفيه أيضاً عندهما: "" والدرجات: إفشاء السلام *** "" بدل "" لين الكلام ""."
In some narrations of the hadith: “I knew what was in the sky and earth. Then he recited the verse: “And thus did We showed Ibrahim the dominions of the heavens and the earth so that he might be one of the people of certainty [in faith].” [al-An'aam (6): 75] In another narration: “So what was between the heaven and earth became clear to me.” And in another narration: “...whatever is between the East and the West.”,"وفي بعض رواياته: "" *** فعلمت ما في السماء والأرض "". ثم تلى: وكذلك نُري إبراهيمَ ملكوتَ السموات والأرضِ وليمونَ من المُوقِنينَ. وفي رواية أخرى: "" *** فتجلّى له ما بين السماء والأرض ""، وفي رواية: "" *** ما بين المشرق والمغرب ""."
"In some narrations there is an addition in the supplication which is contained in the hadith: “...and give me the ability to repent.” And in another narration: “...to make ablution correctly passing water over the right places three times in the severe cold.” In some other narration: ""And He said: ‘O Muhammad when you pray say: “O Allah I ask you the ability to do good deeds...” then the rest of the hadith.","وفي بعضها زيادة في الدعاء، وهي: "" *** وتتوب عليّ ""، وفي بعضها: "" إسباغ الوضوء في السبرات ""، وفي بعضها: "" وقال: يا محمد! إذا صليت فقل: اللهم إني أسألك فعل الخيرات *** "" فذكره.
"
The purpose here [of this treatise] is to explain the hadith and whatever can be extrapolated from its knowledge (mu'ariif) and rulings (ahkaam) etc.,والمقصود هنا: شرح الحديث وما يستنبط منه من المعارف والأحكام وغير ذلك.
"In this hadith there is evidence that the Prophet (PBUH) was not habitually late for the Morning Prayer until nearer to sunrise, rather his habit ('aada) was to pray while it was still dark. Me used to at times pray it while light had spread across the land, as for delaying it close to sunrise than that was not his normal practice, which is why he apologised in this hadith.","ففي الحديث دلالة على أن النبي لم يكن من عادته تأخير صلاة الصبح إلى قريب طلوع الشمس، وإنما كانت عادته التغليس بها، وكان أحياناً يسفر بها عند انتشار الضوء على وجه الأرض، وأما تأخيرها إلى قريب طلوع الشمس فلم يكن من عادته، ولهذا اعتذر عنهم في هذا الحديث.
"
"It has been said: a delay to the extent that light has spread is not permissible unless for a reason ('udhr), and that it is a time of necessity (daruura) such as delaying the 'Asr prayer until after the yellow light of the sun, and that is the statement of Al-Qaadii from our companions in some of his books, and Imam Ahmad has indicated as much, saying: ""This is the prayer of the one who has fallen short, this spread of light is when light has enveloped the earth.’","وقد قيل: إن تأخيرها إلى هذا الإسفار الفاحش لا يجوز لغير عذر، وأنه وقت ضرورة كتأخير العصر إلى بعد اصفرار الشمس، وهو قول القاضي من أصحابنا في بعض كتبه، وقد أومأ إليه الإمام أحمد، وقال: "" هذه صلاة مفرِّط، إنما الإسفار أن ينتشر الضوء على الأرض "".
"
"In this hadith there is evidence that whoever delays the prayer until the very last part for a reason or something else, or fears the time period will finish while he is in the prayer if he prolongs it, then he can make it shorter so that he can make it within the time period.","وفي الحديث: دلالة على أن من أخر الصلاة إلى آخر الوقت لعذر أو غيره وخاف خروج الوقت في الصلاة إن طوّلها أن يخففها حتى يدركها كلها في الوقت.
"
"As for the statement of Abu Bakr al-Siddiiq (radiyAllahu 'anhu) when he made the Morning Prayer long and recited Surah al-Baqarah during it, it was said: the sun has almost risen. To which he replied: If it had risen it would not have found us unaware.","وأما قول أبي بكر الصديق رضي الله عنه لما طوّل في صلاة الفجر وقرأ بالبقرة فقيل له: كادت الشمس أن تطلع! فقال: "" لو طلعت لم تجدنا غافلين ""."
"Abu Bakr al-Siddiq {radiyAllahu anhu) did not intend to delay it until sunrise or to make it prolonged until then because when he started the prayer it was still dark. He lengthened the reading of the Qur’an and was most likely engaged deeply in his recitation, so even if the sun had risen at that time it would not have harmed him because it was not deliberate.","فإن أبا بكر رضي الله عنه لم يعتمد التأخير إلى طلوع الشمس ولا أن يمدها ويطيلها حتى تطلع الشمس لأنه دخل فيها يغلس، وأطال القراءة وربما كان قد استغرق في تلاوته فلو طلعت الشمس حينئذ لم يضره لأنه لم يكن متعمداً لذلك."
This shows that he held the view that the prayer was valid if the sun rose while a person is in prayer as the Prophet (PBUH) ordered the one who had already prayed one rak'ah and the sun had risen to add another one.,وهذا يرى على أنه كان يرى صحة الصلاة لمن طلعت عليه الشمس وهو في صلاته كما أمر النبي من طلعت عليه الشمس وقد صلى ركعة من الفجر أن يضيف إليها أخرى.
"In the hadith of Muaadh (radiyAllahu 'anhu) there is proof that whoever has a dream that pleases him, then he should inform his companions and close friends that have love for him, especially if the dream involves good news for them, informing them of what benefits them. So the Prophet (PBUH) after praying the Morning Prayer used to ask his Companions: “Who among you had a dream?”","وفي حديث معاذ: دليل على أن من رأى رؤيا تسره فإنه يقصها على أصحابه وإخوانه المحبين له، ولا سيما إن تضمنت رؤياه بشارة لهم، وتعليماً لما ينفعهم، وقد كان النبي إذا صلى الفجر يقول لأصحابه: "" من رأى منكم الليلة رؤيا؟ "".
"
"This hadith also contains the fact that whoever becomes drowsy and sleeps during the night prayer, then sees a vision which is pleasing then that is a glad tiding. ","وفيه أيضاً: أن من استثقل نومه في تهجده بالليل حتى رأى رؤيا تسره فإن في ذلك بشرى له،"
"From among the narrations of Al-Hasan that are mursal is: When the servant [of Allah] goes to sleep while he is in prostration, Allah will vie with the angels out of pleasure with such servants saying: “O my angels look at my servant, his body is in my obedience and his soul is with me.”","وفي مراسيل الحسن: "" إذا نام العبد وهو ساجد باهى الله به الملائكة، يقول: (يا ملائكتي انظروا إلى عبدي: جسده في طاعتي وروحه عندي.
"
"In this hadith there is also a clear indication of the Prophet (PBUH) honour and merit by him knowing what is in the skies (or sky) and earth, and what the angels in the sky dispute over became clear to him, as [Prophet] Ibrahim ('alayhis-salaam) was shown the kingdom of the heavens and earth.","وفيه دلالة على شرف النبي وتفضيله بتعليمه ما في السموات والأرض، وتجلى ذلك له مما تختصم فيه الملائكة في السماء وغير ذلك، كما أري إبراهيم ملكوت السموات ولأرض"
"It has been reported in a narration directly from the Prophet and in mawquuf form, that he was given knowledge of all things except the five keys of the unseen which are specific to Allah’s knowledge,","وقد ورد في غير حديث مرفوعاً وموقوفاً أنه (أُعطي علم كل شيء خلا مفاتيح الغيب الخمس التي اختص الله عز وجل بعلمها،"
"as is mentioned in His statement: “Indeed, Allah [alone] has knowledge of the Hour and it is He Who sends down the rain and He knows what is in the wombs. And no soul perceives what it will earn tomorrow.” [Luqman (31): 34]","وهي المذكورة في قوله عز وجل: إن الله عندَه علمُ الساعَةِ ويُنزِّلُ الغيثَ ويعلمُ ما في الأرحامِ وما تدري نفسٌ ماذا تكسبُ غداً وما تدري نفسٌ بأي أرضٍ تموتُ إن الله عليمٌ خبيرٌ.
"
"As for the description of the Prophet (PBUH) of his Lord, the Most Majestic, then all of it is the truth and certain, which we must believe in and attest to. This is the same as what Allah has described Himself, along with negating any similarities being made with Him.","وأما وصف النبي لربه عز وجل بما وصفه به فكل ما وصف النبي (به ربه عز وجل فهو حق وصدق يجب الإيمان والتصديق به كما وصف الله عز وجل به نفسه مع نهي التمثيل عنه،"
Whoever finds it difficult to understand any aspect of that or becomes confused should say as those people firmly grounded in knowledge [have said] and Allah praised them for saying this when things become confusing for them: “We believe in it. All of it is from our Lord.” [Aal-Imraan (3): 7],ومن أشكل عليه فهم شيء من ذلك واستبه عليه فليقل كما مدح الله تعالى به الراسخين في العلم وأخبر عنهم أنه يقولون عند المتشابه: (آمنّا به كُلٌّ من عند ربِّنا)
"As the Prophet (PBUH) said in the Qur’an: “And whatever you are unaware of then return it (the issue) back to the one that knows.” Reported by Imam Ahmad and Nasaa’ii and among others, not over burdening oneself with something he has no knowledge of, for fear of destruction (halaka) [for themselves].","وكما قال النبي في القرآن: "" وما جهلتهم منه فكلوه إلى عالمه "". خرجه الإمام أحمد والنسائي وغيرهما، ولا يتكلف ما لا علم له فإنه يُخشى عليه من ذلك الهلكة."
"Ibn 'Abbas (radiyAllahu 'anhumaa) once heard someone narrating something from the Prophet PBUH from these narrations then the man shook (his head) out of rejection of them, so Ibn Abbas (radiyAllahu 'anhumaa) said: ""What is the difference among these people? They find softness towards the things that are clear, but are destroyed due to those things that are ambiguous to them.’ Reported by Abdu’l-Razzaaq in his book from Mu'iim from Ibn Tawuus, from his father on the authority of Ibn 'Abbas (radiyAllahu anhuma).","سمع ابن عباس يوماً من يروي عن النبي شيئاً من هذه الأحاديث فانتفض رجل استنكاراً لذلك، فقال ابن عباس: "" ما فرق هؤلاء؟! يجدون رقةً عند محكمه، ويهلكون عند متشابهه! "" خرجه عبد الرزاق في كتابه عن معمر عن ابن طاوس عن أبيه عن ابن عباسرضي الله عنهما."
Whenever the believers hear something from this type of speech they say: This is what Allah has informed us with and His Messenger. “Allah and His Messenger have spoken the truth. It only increased them in faith and in submission.” [al-Ahzaab (33): 22],"فكلما سمع المؤمنون شيئاً من هذا الكلام قالوا: هذا ما أخبرنا الله ورسوله (وصدقَ الله ورسولُه وما زادَهُم إلاّ إيماناً وتسليماً).
"
"The hadith also shows that the 'high gathering' (al-mala’ al-a'laa) are angels (malaaika) or those that have been drawn close (muqarrabuun) from them. Disputing among themselves, going back and forward with the statement about which actions draw the son of Adam closer to Allah, the Mighty and Majestic, and expiates their sins. Allah informs us that they also seek forgiveness for those that believe and supplicate for them.","وفيه دلالة على أن الملأ الأعلى وهم الملائكة أو المقربون منهم يختصمون فيما بينهم، ويتراجعون القول في الأعمال التي تقرّب بني آدم إلى الله عز وجل وتكفّر بها عنهم خطاياهم، وقد أخبر الله عنهم بأنهم يستغفرون للذين آمنوا ويدعون لهم."
"In an authentic narration (it is mentioned): “Indeed when Allah loves a servant he calls out: ‘O Jibriil, indeed I love such a person so you too love him. So Jibriil loves that person and then he calls out in the sky: ‘Indeed Allah loves such a person so you too should love him.’ So the inhabitants of the heavens love him too. Then acceptance for him is placed on earth.”’","وفي الحديث الصحيح: "" إن الله إذا أحب عبداً نادى: "" يا جبريل إني أحب فلاناً فأحبه ""، فيحبه جبريل ثم ينادي في السماء: إن الله يحب فلاناً فأحبوه. فيحبه أهل السماء، ثم يوضع له القبول في الأرض ""."
Abu Hurayrah (radiyAllahu ‘anhu) said: “When the son of Adam dies the people say: ‘What has he left behind?’ But the angels say: ‘What did he put forward?”’ So the angels ask about the actions of the sons of Adam because they hold it with much more importance and care.,"وقال أبو هريرة رضي الله عنه: "" إذا مات ابن آدم قال الناس: ما خلّف؟. وقالت الملائكة: ما قدّم؟ "". فالملائكة يسألون عن أعمال بني آدم ولهم اعتناء بذلك واهتمام به."
So what remains now is what is intended by the hadith which is: To mention the actions that expiate sins (kaffaaraat); the ranks; supplications (da'awaat). For each one we will divide them up into a separate chapter.,"وبقي الكلام على المقصود من الحديث، وهو: ذكر الكفارات والدرجات والدعوات، ونعقد لكل واحدة منها فصلاً منفرداً.
"
Expiating Actions (al-Kaffaarat),الفصل الأول في ذكر الكفّارات
It is to make ablution (isbaagh al-wuduu) in adverse and difficult conditions (karihaat); walking to the Friday prayers jumm'aat) or any congregational prayers and sitting in the masjids after the prayer is over.,"وهي إسباغ الوضوء في الكريهات، ونقل الأقدام إلى الجُمُعات أو الجماعات، والجلوس في المساجد بعد الصلوات."
"They are called expiating actions because they expiate sins and bad deeds, so for this reason it is mentioned in some narrations: “Whoever does that will live with good, and die upon goodness. He will be like the day his mother gave birth to him.”","وسميت هذه كفارات لأنها تكفر الخطايا والسيئات، ولذلك جاء في بعض الروايات: "" من فعل ذلك عاش بخير، ومات بخير، وكان من خطيئته كيوم ولدته أمه ""."
"These characteristics are mentioned mostly as expiating bad deeds, and also show how high ranks are to be attained as is mentioned in Sahih Muslim from the hadith of Abu Hurayrah (radiyAllahu anhu) from the Prophet (Hg) who said: “Shall I not inform you of those things that wipe away sins, and raise the ranks?”","وهذه الخصال المذكورة الأغلب عليها تكفير السيئات، ويحصل بها أيضاً رفع الدرجات كما في صحيح مسلم عن أبي هريرة عن النبي قال: "" ألا أدلكم على ما يمحو الله به الخطايا، ويرفع به الدرجات؟! ""."
"They said: “Of course O Messenger of Allah.”
He replied: “To perform ablution over parts of the body in difficult conditions, regularly walking to the masaajid' and waiting for the next prayer straight after the previous prayer [has finished]. Indeed, this is what should be held onto, this is what should be held onto.”","قالوا: بلى يا رسول الله. قال: "" إسباغ الوضوء على المكاره، وكثرة الخطا إلى المساجد، وانتظار الصلاة بعد الصلاة، فذلكم الرباط، فذلكم الرباط "".
"
This meaning from the Prophet (PBUH) is what has been narrated in many different forms. So there are three reasons in expiating sins. The First Reason for the Expiations of Sins: Making Abiiution,"وقد روي في هذا المعنى عن النبي من وجوه متعددة. فهذه ثلاثة أسباب تكفر بها الذنوب، أحدها: الوضوء،"
"The Qur’an has made clear the expiation of sins in the statement of Allah, the Most High: “O you who believe! when you prepare for prayer wash your faces and hands up to your elbows, and wipe your heads and (wash) your feet up to the ankles.” Until: “Allah does not want to make things difficult for you, but He wishes to purify you and complete His favour upon you.” [al-Maa'idah (5): 6]",وقد دلّ القرآن على تكفيره الذنوب في قوله عز وجل: (يا أيها الذين آمنوا إذا قُمْتُم إلى الصلاةِ فاغسِلوا وُجوهَكم وأيديَكم إلى المرافقِ وامسحوا برؤوسِكُمْ وأرجُلَكُمْ إلى الكعبين) إلى قوله: (ما يُريدُ الله ليجعلَ عليكم من حَرَجٍ ولكن يُريدُ ليُطَهِّرَكم وليُتِمَّ نعمتَهُ عليكُم)
"So the statement: ‘To purify you' includes both purity of outer body with water, and the inner body of sins, and the completion of His favour is obtained by the forgiveness of sins and expiating them. Allah said to His Prophet (PBUH): “So that Allah may forgive you your earlier sins and any later ones and complete His favour upon you.” [al-Fath (48): 2]","فقوله تعالى: (ليُطَهِّركُم) يشمل طهارة ظاهر البدن بالماء، وطهارة الباطن من الذنوب والخطايا، وإتمام النعمة إنما يحصل بمغفرة الذنوب والخطايا وتكفيرها، كما قال تعالى لنبيه : (ليغفرَ لك الله ما تقدَّم من ذنبك وما تأخَّر ويُتِمَّ نعمتَه عليك)،"
"Muhammad Ibn Ka'b al-Qurzii extrapolated this very meaning, and the hadith reported by Tirmidhii testifies to that affect, among others, on the authority of Mu'aadh (radiyAllahu ‘anhu) that the Prophet QH) heard a man supplicate, saying: ‘O Allah I ask you of the completeness of your favour.” So he Prophet (PBUH) said to him: “Do you know what the completeness of His favour is?” He said: It is a supplication from which I hope good from.’","وقد استنبط هذا المعنى محمد بن كعب القرظي، ويشهد له الحديث الذي خرجه الترمذي وغيره عن معاذ أن النبي سمع رجلاً يدعو، يقول: اللهم إني أسألك تمام النعمة. فقال له: "" أتدري ما تمام النعمة؟ "". قال: دعوةٌ دعوت بها، أرجو بها الخير."
So the Prophet (PBUH) said: “Indeed the completeness of the favour is salvation from the fire and entering into Paradise.” So this favour cannot be complete for the servant until his sins are expiated.,"فقال النبي : "" إن تمام النعمة: النجاة من النار، ودخول الجنة "". فلا تتم نعمة الله على عبده إلا بتكفير سيئاته."
"There are many texts from the Prophet (PBUH) regarding the expiation of sins by making ablution as is the case in Sahih Muslim on the authority of Uthman (radiyAllahu anhu) who after making ablution said: “I saw the Messenger of Allah (H) make ablution like this then he said: Whoever makes ablution like this will have his sins forgiven that he has sent forth, his prayer and walking to the masjid is also a form of extra worship.”’","وقد تكاثرت النصوص عن النبي بتكفير الخطايا بالوضوء كما في صحيح مسلم عن عثمان رضي الله عنه أنه توضأ ثم قال: رأيت رسول الله توضأ مثل وضوئي هذا ثم قال: "" من توضأ هكذا غُفر له ما تقدم من ذنبه وكانت صلاته ومشيه إلى المسجد نافلة "".
"
"In another narration also from the Prophet (PBUH) who said: “Whoever makes ablution and does it thoroughly, his sins will leave his body even from under his fingernails.”","وفيه أيضاً عن النبي قال: "" من توضأ فأحسن الوضوء خرجت خطاياه من جسده حتى تخرج من تحت أظفاره ""."
"Another narration from Abu Hurayrah (radiyAllahu anhu) from the Prophet (PBUH) who said: “When the Muslim servant, or believer, makes ablution and washes his face then all the sins he saw with his eyes leave his face along with the water, or with the last drop of water.","وفيه أيضاً عن أبي هريرة عن النبي قال: "" إذا توضأ العبد المسلم أو المؤمن فغسل وجهه خرج من وجهه كل خطيئة نظر إليها بعينيه مع الماء أو مع آخر قطر الماء،"
"When he washes his hands then all the sins he committed with his hands leave with the water, or with the last drop of water, until he becomes purified of all sins.”","فإذا غسل يديه خرج من يديه كل خطيئة كان بطشتها يديه مع الماء أو مع آخر قطر الماء، فإذا غسل رجليه خرجت كل خطيئة مشتها رجلاه مع الماء أو مع آخر قطر الماء حتى يخرج نقياً من الذنوب ""."
From the narration of Amr Ibn Abassa (radiyAllahu anhu) also in Sahih Muslim from the Prophet (PBUH) who said: “There is no man amongst you that brings water for wudu near to himself for rinsing out his mouth and nose thoroughly with water except that his sins will leave him from his face and nose. Then when he washes his face as Allah has ordered him until his sins leave him from every end of his beard as the water leaves.,"وفيه أيضاً عن عمرو بن عنبسة عن النبي قال: "" ما منكم من رجل يقرب وضوءه فيتمضمض ويستنشق فينتثر إلا خرّت خطاياه وجهه وفيه وخياشيمه، ثم إذا غسل وجهه كما أمره الله إلا خرت خطايا وجهه من أطراف لحيته مع الماء،"
Then he washes his hands up to his elbows until his sins leave him from under his fingernails along with the water. Then he wipes his head until his sins leave him from all his hair along with the water. Then he washes his feet up to his ankles until his sins leave him from his toes.,"ثم يغسل يديه إلى المرفقين إلا خرت خطايا يديه من أنامله مع الماء، ثم يمسح رأسه إلا خرت خطايا رأسه من أطراف شعره مع الماء، ثم يغسل قدميه إلى الكعبين إلا خرت خطايا رجليه من أنامله مع الماء،"
"Then he stands up for prayer and praises Allah, glorifies Him in a befitting way, he devotes his heart towards Allah until he finishes, his sins would leave him as the day his mother gave birth to him.”","فإن هو قام فصلى فحمد الله وأثنى عليه ومجده بالذي هو له أهل وفرّغ قلبه لله إلا انصرف من خطيئته كهيئته يوم ولدته أمه "".
"
In the Muwatta; the Musnad of Ahmad; the Sunan of Nasaa'ii and Ibn Maajah from the narration of Sanabihl (radiyAllahu 'anhu) from the Prophet (PBUH) who said: “When a believing servant makes wudu and puts water in his mouth his sins leave him from his mouth. When he puts water in his nose his sins leave him from his nose.,"وفي الموطأ ومسند الإمام أحمد وسنن النسائي وابن ماجة عن الصُّنابحيّ عن النبي قال: "" إذا توضأ العبد المؤمن فمضمض خرجت الخطايا من فيه، فإذا استنثر خرجت الخطايا من أنفه،"
When he washes his face his sins leave him from his face even from the lower parts of his eyes. When he washes his hands his sins leave him even from under his fingernails.,"فإذا غسل وجهه خرجت الخطايا من وجهه حتى تخرج من تحت أشفار عينيه، فإذا غسل يديه خرجت الخطايا من يديه حتى تخرج من تحت أظفار يديه،"
"When he wipes his head his sins leave him even from under his ears. When he washes his feet his sins leave him even from under his toenails, his walking to the masjid and his prayer are extra forms of worship.”","فإذا مسح برأسه خرجت الخطايا من رأسه حتى تخرج من أذنيه، فإذا غسل رجليه خرجت الخطايا حتى تخرج من تحت أظفار رجليه، ثم كان مشيه إلى المسجد وصلاته نافلة له.
"
"In the Musnad from Abu Umamah (radiyAllahu anhu) from the Prophet (PBUH) who said: “There is not a Muslim who makes wudu, washes his hands, gargles his mouth and makes wudu as Allah has ordered him to, except that Allah removes from him for that day: whatever his mouth has spoken, or his hands have touched, and what he has walked towards, until his sins leave him from his sides. When he walks to the masjid, for one step a good deed is written for him and for the other step a bad deed is removed.”","وفي المسند عن أبي أمامة عن النبي قال: "" ما من مسلم يتوضأ فيغسل يديه ويمضمض فاه ويتوضأ كما أمر إلا حطّ الله عنه ما أصاب يومئذ: ما نطق به فمه، وما مس بيده، وما مشى إليه، حتى إن الخطايا تحاذر من أطرافه، ثم هو إذا مشى إلى المسجد فرجل تكتب حسنة، وأخرى تمحو سيئة "".
"
"Furthermore the Prophet (PBUH) said: “Any person who stands to make wudu intending to pray then washes his palms, his sins fall from his palms along with the first drop. When he washes his mouth and nose his sins fall from his tongue and lips along with the first drop.","وفيه أيضاً عن النبي قال: "" أيما رجل قام إلى وضوئه يريد الصلاة ثم غسل كفيه، نزلت خطيئته من كفيه مع أول قطرة، فإذا مضمض واستنشق واستنثر نزلت خطيئته من لسانه وشفتيه مع أول قطرة،"
"When he washes his face his sins fall from his hearing and sight along with the first drop. So when he washes his hands up to his elbows and feet up to his ankles he is free of every sin, along with every bad deed, [he becomes] as the day his mother gave birth to him. When he stands for prayer Allah raises him a level and when he sits he sits in safety.”","فإذا غسل وجهه نزلت خطيئته من سمعه وبصره مع أول قطرة، فإذا غسل يديه إلى المرفقين ورجليه إلى الكعبين سلم من كل ذنب هو له، وكان من لك خطيئة كهيئته يوم ولدته أمه، فإذا قام إلى الصلاة رفع الله بها درجته، وإن قعد قعد سالماً ""."
"This meaning is found in many other narrations, but what has been mentioned is sufficient. Many texts have also been reported concerning the reward of wuduu, and this increases the expiation of sins further more.","وفي المعنى أحاديث أخر، وفيما ذكرناه كفاية ولله الحمد والمنة. وقد وردت النصوص أيضاً بحصول الثواب على الوضوء، وهذا زيادة على تكفير السيئات به:
"
"In Sahih Muslim from Umar (radiyAllahu anhu) from the Prophet (PBUH) who said: “Whoever makes wudu and does so well, then he says: ‘I bear witness that there is no one worthy of worship except Allah alone without any partner, and that Muhammad is His slave and Messenger.’ All the eight doors of Paradise will open and he may enter from whichever one he pleases.”","ففي صحيح مسلم عن عمر رضي الله عنه عن النبي قال: "" من توضأ فأحسن الوضوء ثم قال: "" أشهد أن لا إله إلا الله، وأن محمداً عبده ورسوله ""، فتحت له أبواب الجنة الثمانية، يدخل من أيها شاء "".
"
Also in Sahih Muslim from Abu Hurayrah (radiyAllahu anhu) from the Prophet (PBUH) who said: “The adornment of the believer (in Paradise) will reach the places where the water of wudu reaches (his body).”,"وفيه أيضاً: عن أبي هريرة عن النبي : "" تبلغ الحلية من المؤمن حيث يبلغ الوضوء "".
"
Also from the Prophet (PBUH) who said: “You are like the white spot on the forehead of a horse because of making wudu properly.”,"وفيه أيضاً: عن أبي هريرة عن النبي قال: "" أنتم الغرّ المحجلون يوم القيامة من إسباغ الوضوء "".
"
Reported by Bukhari with the wording: “Indeed my nation will be called on the Day of Judgment with white spots on their foreheads like that of horses because of the effects of making wudu”,"وخرجه البخاري، ولفظه: "" إن أمتي يدعون يوم القيامة غراً محجّلين من آثار الوضوء ""."
Know that the hadith of Mu'aadh Ibn Jabal (radiyAllahu 'anhu) about the dream mentions [the virtues of] making wudu properly in difficult conditions.,"واعلم أن حديث معاذ بن جبل في المنام إنما فيه ذكر إسباغ الوضوء على الكريهات،"
