The History of al-Tabari,تاريخ الطبري
"And now: God—great is His majesty and His names are sanctified—created His creation without any necessity for Him to create them, and He brought them forth without any need for Him to bring them forth.","أما بعد، فإن الله جل جلاله، وتقدست أسماؤه، خلق خلقه من غير ضرورة كانت به إلى خلقهم، وأنشأهم من غير حاجة كانت به إلى إنشائهم،"
"Rather, He created those whom He singled out by His command and His prohibition and whom He tested by His worship, so that they would worship Him and He would in turn bestow generous favors upon them.","بل خلق من خصه منهم بأمره ونهيه، وامتحنه بعبادته، ليعبدوه فيجود عليهم بنعمه،"
"They would thus praise Him for His favors and He in turn would give them more of His generosity and bounty and add to His superiority and power for their benefit,","وليحمدوه على نعمه فيزيدهم من فضله ومننه، ويسبغ عليهم فضله وطوله،"
"as He says: ""I have created jinn and men only to worship me. I do not want any sustenance from them, and I do not want them to provide food for Me. God is the Sustainer, potent and firm.""","كما قال عز وجل: «وَما خَلَقْتُ الْجِنَّ وَالْإِنْسَ إِلَّا لِيَعْبُدُونِ مَا أُرِيدُ مِنْهُمْ مِنْ رِزْقٍ وَما أُرِيدُ أَنْ يُطْعِمُونِ إِنَّ اللَّهَ هُوَ الرَّزَّاقُ ذُو الْقُوَّةِ الْمَتِينُ»،"
"In creating them as He did, He did not increase His authority by as much as the weight of a speck of dust beyond what it had always been before He created them. Nor does His annihilating them and making them nonexistent diminish Him by as much as the weight of a hair.","فلم يزده خلقه إياهم -إذ خلقهم- في سلطانه على ما لم يزل قبل خلقه إياهم مثقال ذرة، ولا هو إن أفناهم واعدمهم ينقصه افناؤه إياهم ميزان شعره،"
"For circumstances do not change Him, fatigue does not affect Him, and (the passing of) days and nights does not diminish His authority because He is the Creator of all eternal and temporal time.","لأنه لا تغيره الأحوال، ولا يدخله الملال، ولا ينقص سلطانه الأيام والليال، لأنه خالق الدهور والأزمان،"
"In this fleeting world, His many manifestations of generosity and bounty include and encompass all human beings.","فعم جميعهم في العاجل فضله وجوده، وشملهم كرمه وطوله،"
"He gave them ears, eyes, and hearts and singled them out for possessing reason which makes it possible for them to distinguish between truth and falsehood and to recognize what is useful and what is harmful.","فجعل لهم أسماعا وأبصارا وأفئدة، وخصهم بعقول يصلون بها الى التمييز بين الحق والباطل، ويعرفون بها المنافع والمضار،"
"He made the earth for them a carpet, so that they would have there passable roads to walk on, and ""the heaven a well-guarded roof"" and a lofty construction.","وجعل لهم الأرض بساطا ليسلكوا منها سبلا فجاجا، والسماء سقفا محفوظا، وبناء مسموكا،"
From it He brought down for them plentiful rain and sizable sustenance. He made the moon of the night and the sun of the day run constantly one after the other for their welfare.,"وأنزل لهم منها الغيث بالإدرار، والأرزاق بالمقدار، وأجرى لهم فيها قمر الليل وشمس النهار يتعاقبان بمصالحهم دائبين،"
"He made for them ""the night a garment"" and ""the day the time for a livelihood.""","فجعل لهم الليل لباسا، والنهار معاشا،"
"In His benevolent concern for them, He made an alternation between the moon of the night and the sun of the day, blotting out the sign of the night and making the sign of the day something to see by,","وخالف -منًّا مِنْه عليهم وتطولا- بين قمر الليل وشمس النهار، فمحا آية الليل وجعل آية النهار مبصرة،"
"as He—great is His majesty and His names are sanctified—says: ""And We have made the night and the day two signs. We have blotted out the sign of the night, and We have made the sign of the day something to see by, so that you may seek bounty from your Lord and so that you may know the number of years and the reckoning. For everything, We have made clear distinctions.""","كما قال جل جلاله وتقدست أسماؤه: «وَجَعَلْنَا اللَّيْلَ وَالنَّهارَ آيَتَيْنِ فَمَحَوْنا آيَةَ اللَّيْلِ وَجَعَلْنا آيَةَ النَّهارِ مُبْصِرَةً لِتَبْتَغُوا فَضْلًا مِنْ رَبِّكُمْ وَلِتَعْلَمُوا عَدَدَ السِّنِينَ وَالْحِسابَ وَكُلَّ شَيْءٍ فَصَّلْناهُ تَفْصِيلًا»،"
"And so that they may achieve knowledge of the times—the hours of night and day, the months and the years—when the religious duties God has imposed upon them are to be fulfilled, such as prayer, charity, pilgrimage, fasting, and their other religious duties, as well as the time for settling their debts and their claims,","وليصلوا بذلك إلى العلم بأوقات فروضهم التي فرضها عليهم في ساعات الليل والنهار والشهور والسنين، من الصلوات والزكوات والحج والصيام وغير ذلك من فروضهم، وحين حل ديونهم وحقوقهم،"
"as He says: ""They will ask you about the new moons. Say: They are fixed times for mankind and the pilgrimage.""","كما قال عز وجل: «يَسْئَلُونَكَ عَنِ الْأَهِلَّةِ قُلْ هِيَ مَواقِيتُ لِلنَّاسِ وَالْحَجِّ»،"
"He further says: ""He is the one who made the sun a luminosity and the moon a light, setting up fixed stations for it so that you may know the number of years and the reckoning. God created that only because it is right, distinguishing the signs for people who know. In the alternating of night and day and whatever God has created in the heavens and on earth, there are signs for people who fear God""","وقال: «هُوَ الَّذِي جَعَلَ الشَّمْسَ ضِياءً وَالْقَمَرَ نُوراً وَقَدَّرَهُ مَنازِلَ لِتَعْلَمُوا عَدَدَ السِّنِينَ وَالْحِسابَ مَا خَلَقَ اللَّهُ ذلِكَ إِلَّا بِالْحَقِّ يُفَصِّلُ الْآياتِ لِقَوْمٍ يَعْلَمُونَ إِنَّ فِي اخْتِلافِ اللَّيْلِ وَالنَّهارِ وَما خَلَقَ اللَّهُ فِي السَّماواتِ وَالْأَرْضِ لَآياتٍ لِقَوْمٍ يَتَّقُونَ»،"
—all this being kindness shown by Him to His creation and an expression of His favor and concern for them. A large number of His creatures were grateful to Him for the favors which He bestowed upon them.,"إنعاما منه بكل ذلك على خلقه، وتفضلا منه به عليهم وتطولا، فشَكَره على نعمه التي أنعمها عليهم من خلقه خَلْق عظيم،"
"Thus, He gave many of them more benefits and gifts in addition to the generous favors He had bestowed upon them earlier,","فزاد كثيرا منهم من آلائه وأياديه، على ما ابتدأهم به من فضله وطوله،"
"as God promised them, saying: ""Your Lord announced: If your are grateful, We shall give you more, and if you are ungrateful, the punishment meted out by Me will be great.""","كما وعدهم جل جلاله بقوله: «وَإِذْ تَأَذَّنَ رَبُّكُمْ لَئِنْ شَكَرْتُمْ لَأَزِيدَنَّكُمْ وَلَئِنْ كَفَرْتُمْ إِنَّ عَذابِي لَشَدِيدٌ»،"
He combined for them more (benefits) in this fleeting life of theirs with success in achieving bliss and eternal residence in blissful Paradise in their life to come in the other world.,"وجمع لهم إلى الزيادة التي زادهم في عاجل دنياهم، الفوز بالنعيم المقيم، والخلود في جنات النعيم، في آجل آخرتهم"
"For many of them, He postponed the promised increase to the time of their coming to Him, so as to show them more bounteous generosity on ""the day when the innermost hearts are tested.""","وأخر لكثير منهم الزيادة التي وعدهم فمدهم الى حين مصيرهم إليه ووقت قدومهم عليه، توفيرا منه كرامته عليهم يوم تبلى السرائر"
"A large number of them were ungrateful for His favors, denying His benefits and worshiping someone else.","وكفر نعمه خلق منهم عظيم، فجحدوا آلاءه وعبدوا سواه،"
Therefore He deprived many of them of the generous kindness He had shown them earlier.,"فسلب كثيرا منهم ما ابتدأهم به من الفضل والإحسان،"
He unleashed upon them destructive vengeance in this fleeting world and stored up for them shameful punishment in the life to come in the other world.,"وأحل بهم النقمة المهلكة في العاجل، وذخر لهم العقوبة المخزية في الآجل،"
"He let many of them enjoy His favors while they were alive by way of deception, thus making their load heavier so that they would be deserving of the punishment prepared by Him for them in the life to come in the other world.","ومتع كثيرا منهم بنعمه أيام حياتهم استدراجا منه لهم، وتوقيرا منه عليهم أوزارهم، ليستحقوا من عقوبته في الآجل ما قد أعد لهم،"
"We take refuge in God against any activity that might bring (us) close to His wrath, and we ask Him for success with respect to everything that might lead (us) to His acceptance and love.","نعوذ بالله من عمل يقرب من سخطه، ونسأله التوفيق لما يدني من رضاه ومحبته،"
"Abu Ja'far (al-Tabari) says: In this book of mine, I shall mention whatever information has reached us about kings throughout the ages from when our Lord began the creation of His creation to its annihilation. There were messengers sent by God, kings placed in authority, or caliphs established in the caliphal succession.","قال أبو جعفر: وأنا ذاكر في كتابي هذا من ملوك كل زمان، من لدن ابتدأ ربنا جل جلاله خلق خلقه إلى حال فنائهم، من انتهى إلينا خبره ممن ابتدأه الله تعالى بآلائه ونعمه فشكر نعمه، من رسول له مرسل، أو ملك مسلط، أو خليفة مستخلف،"
"God had early on bestowed His benefits and favors upon some of them. They were grateful for His favors, and He thus gave them more favors and bounty in addition to those bestowed by Him upon them in their fleeting life, or He postponed the increase and stored it up for them with Himself.","فزاده إلى ما ابتدأه به من نعمه في العاجل نعما، وإلى ما تفضل به عليه فضلا، ومن أخر ذلك له منهم، وجعله له عنده ذخرا"
"There were others who were not grateful for His favors, and so He deprived them of the favors He had bestowed upon them early on and hastened for them His revenge.","ومن كفر منهم نعمه فسلبه ما ابتدأه به من نعمه، وعجل له نقمه"
There were also others who were not grateful for His favors; He let them enjoy them until the time of their death and perdition.,"ومن كفر منهم نعمه فمتعه بما أنعم به عليه إلى حين وفاته وهلاكه،"
"Every one of them whom I shall mention in this book of mine will be mentioned in conjunction with his time but (only) summaries of the events in his day and age will be added, since an exhaustive treatment is not possible in a lifetime and makes books too long. This will be combined with references to the length of their natural life and the time of their death.","مقرونا ذكر كل من أنا ذاكره منهم في كتابي هذا بذكر زمانه، وجمل ما كان من حوادث الأمور في عصره وأيامه، إذ كان الاستقصاء في ذلك يقصر عنه العمر، وتطول به الكتب، مع ذكري مع ذلك مبلغ مدة أكله، وحين أجله،"
"First, however, I shall begin with what for us comes properly and logically first, namely, the explanation of:","بعد تقديمي أمام ذلك ما تقديمه بنا أولى، والابتداء به قبله أحجى، من البيان عن الزمان: ما هو؟"
What is time?,
How long is its total extent?,"وكم قدر جميعه، وابتداء أوله، وانتهاء آخره؟"
Its first beginning and final end.,
Whether before God's creation of (time) there was anything else.,"وهل كان قبل خلق الله تعالى إياه شيء غيره؟ وهل هو فان؟ وهل بعد فنائه شيء غير وجه المسبح الخلاق، تعالى ذكره؟"
"Whether it will suffer annihilation and whether after its annihilation there will be something other than the face (wajh) of the Highly praised, the Exalted Creator.",
What was it that was before God's creation of time and what will be after its final annihilation?,وما الذي كان قبل خلق الله إياه؟ وما هو كائن بعد فنائه وانقضائه؟ وكيف كان ابتداء خلق الله تعالى إياه؟ وكيف يكون فناؤه؟
How did God's creation of it begin and how will its annihilation take place?,
"Proof that there is nothing eternal (a parte ante) except God unique and powerful, to Whom belongs the kingdom of the heavens and the earth and what is between them and what is underneath the soil. This must be done briefly and concisely,","والدلالة على أن لا قديم إلا الله الواحد القهار، الذي له ملك السموات والأرض وما بينهما وما تحت الثرى بوجيز من الدلالة غير طويل،"
"for in this book of ours we do not intend to present the arguments concerning time but rather the dates of past kings mentioned by us and summaries of their history, the times of the messengers and prophets and how long they lived, the days of the early caliphs and some of their biographical data, and the extent of the territories under their control, as well as the events that took place in their age.","إذ لم نقصد بكتابنا هذا قصد الاحتجاج لذلك، بل لما ذكرنا من تاريخ الملوك الماضين وجمل من أخبارهم، وأزمان الرسل والأنبياء ومقادير أعمارهم، وأيام الخلفاء السالفين وبعض سيرهم، ومبالغ ولاياتهم، والكائن الذي كان من الأحداث في أعصارهم"
"Therefore, if God wills and gives me strength through help and power from Him, I shall continue and mention the companions of our Prophet, their names, their patronymics, the extent of their pedigrees, and how long they lived and when and where they died.","ثم أنا متبع آخر ذلك كله -إن شاء الله وأيد منه بعون وقوة- ذكر صحابه نبينا محمد ص وأسمائهم وكناهم ومبالغ أنسابهم ومبالغ أعمارهم، ووقت وفاة كل إنسان منهم، والموضع الذي كانت به وفاته"
"I shall then mention those who followed them doing good, in accordance with the conditions we have set down for mentioning them.","ثم متبعهم ذكر من كان بعدهم من التابعين لهم بإحسان، على نحو ما شرطنا من ذكرهم"
"Then, in addition to them, I shall likewise mention those who came after them, giving additional data about them. I do this for the purpose of clarifying whose transmission (of traditions) is praised and whose information is accepted, whose transmission is rejected and whose transmission is disregarded, and whose tradition is considered feeble and whose information is considered weak.","ثم ملحق بهم ذكر من كان بعدهم من الخلف لهم كذلك، وزائد في أمورهم للإبانة عمن حمدت منهم روايته، وتقبلت أخباره، ومن رفضت منهم روايته ونبذت أخباره، ومن وهن منهم نقله، وضعف خبره"
"In addition, I give the reason why someone's information is disregarded and the cause for someone's tradition being considered feeble.","وما السبب الذي من أجله نبذ من نبذ منهم خبره، والعلة التي من أجلها وهن من وهن منهم نقله،"
"I wish to God that He may help me in my intentions and aims and give me success in my purposes and desires, for He possesses might and strength. May God pray for His Prophet Muhammad and give him peace!","وإلى الله عز وجل أنا راغب في العون على ما أقصده وأنويه، والتوفيق لما ألتمسه وأبغيه، فإنه ولي الحول والقوة، وصلى الله على محمد نبيه وآله وسلم تسليما،"
"The reader should know that with respect to all I have mentioned and made it a condition to set down in this book of ours, I rely upon traditions and reports which I have transmitted and which I attribute to their transmitters. I rely only very exceptionally upon what is learned through rational arguments and produced by internal thought processes.","وليعلم الناظر في كتابنا هذا أن اعتمادي في كل ما أحضرت ذكره فيه مما شرطت أني راسمه فيه، إنما هو على ما رويت من الأخبار التي أنا ذاكرها فيه، والآثار التي أنا مسندها إلى رواتها فيه، دون ما أدرك بحجج العقول، واستنبط بفكر النفوس، إلا اليسير القليل منه،"
"For no knowledge of the history of men of the past and of recent men and events is attainable by those who were not able to observe them and did not live in their time, except through information and transmission provided by informants and transmitters. This knowledge cannot be brought out by reason or produced by internal thought processes.","إذ كان العلم بما كان من أخبار الماضين، وما هو كائن من أنباء الحادثين، غير واصل إلى من لم يشاهدهم ولم يدرك زمانهم، إلا بأخبار المخبرين، ونقل الناقلين، دون الاستخراج بالعقول، والاستنباط بفكر النفوس"
"This book of mine may (be found to) contain some information, mentioned by us on the authority of certain men of the past, which the reader may disapprove of and the listener may find detestable, because he can find nothing sound and no real meaning in it.","فما يكن في كتابي هذا من خبر ذكرناه عن بعض الماضين مما يستنكره قارئه، أو يستشنعه سامعه، من أجل أنه لم يعرف له وجها في الصحة، ولا معنى في الحقيقة،"
"In such cases, he should know that it is not our fault that such information comes to him, but the fault of someone who transmitted it to us. We have merely reported it as it was reported to us.","فليعلم انه لم يؤت في ذلك من قبلنا، وإنما أتى من قبل بعض ناقليه إلينا، وإنا إنما أدينا ذلك على نحو ما أدي إلينا."
What Is Time?,القول في الزمان ما هو
(Abu Ja'far al-Tabari) says: Time is the hours of night and day. This may be said of both long and short extents of time.,"قال ابو جعفر: فالزمان هو ساعات الليل والنهار، وقد يقال ذلك للطويل من المدة والقصير منها،"
"The Arabs say: ""I came to you at the time— zamaana or zamana —of al-Hajjaj (being) amir."" By this, they mean: during the period when (idh) al-Hajjaj (was) amir.","والعرب تقول: أتيتك زمان الحجاج أمير، وزمن الحجاج أمير -تعني به: إذ الحجاج أمير"
"They say: ""I came to you in the time— zamaana or zamana —of cutting off (the dates from the palms)."" By this, they mean: at the moment (waqt) of cutting (them) off.",وتقول: أتيتك زمان الصرام وزمن الصرام- تعني به وقت الصرام
"They also say: ""I came to you in the times—using the plural azman —of al-Hajjaj (being) amir."" They intend thereby to make each moment (waqt) of his amirate a certain period of time (zaman).","ويقولون أيضا: أتيتك أزمان الحجاج أمير، فيجمعون الزمان، يريدون بذلك أن يجعلوا كل وقت من أوقات إمارته زمانا من الأزمنة،"
,
Thus the rajaz poet says:,كما قال الراجز:
"Winter has come, and my shirt is worn out,",جاء الشتاء وقميصي أخلاق *** شراذم يضحك منه التواق
"tatters, being laughed at by al-Tawwaq.",
"The poet uses here the plural of ""worn out"" in connection with ""shirt."" He intends thereby to describe each piece of the shirt as being worn out. Similarly, one says: ""a vast barren (pl. sabasib) land, ""and the like.","فجعل القميص أخلاقا، يريد بذلك وصف كل قطعة منه بالإخلاق، كما يقولون: أرض سباسب، ونحو ذلك،"
"For the use of zaman for zaman, there is the verse of al-A'sha of the Banu Maymun b. Qays:",ومن قولهم للزمان: زمن قول أعشى بني قيس بن ثعلبة:
"For a time (zamanan), I was a man in the Iraq",وكنت امرا زمنا بالعراق *** عفيف المناخ طويل التغن
"modest in (my) camping place, long in contentedly doing without.",
By zamanan he intends zamaanan.,"يريد بقوله: زمنا زمانا، فالزمان اسم لما ذكرت من ساعات الليل والنهار على ما قد بينت ووصفت."
"Thus, as mentioned by me and as I have described and explained it, zaman is a noun designating the hours of night and day.",
How Long Is the Total Extent of Time,القول في كم قدر جميع الزمان من ابتدائه إلى انتهائه وأوله إلى آخره
"from Beginning to End, First to Last?",
The early scholars before us differed in this respect. Some said that the total extent of time is seven thousand years.,"اختلف السلف قبلنا من أهل العلم في ذلك، فقال بعضهم: قدر جميع ذلك سبعة آلاف سنة،"
Those who said this,ذكر من قَالَ ذَلِكَ:
"According to Ibn Humayd —Yahya b. Wadih —Yahya b. Ya'qub —Hammad —Sa'id b. Jubayr —Ibn 'Abbas: This world is one of the weeks of the other world—seven thousand years. Six thousand two hundred years have already passed. (The world) will surely experience hundreds of years, during which there will be no believer in the oneness of God there.","حَدَّثَنَا ابْنُ حُمَيْدٍ، قَالَ: حَدَّثَنَا يَحْيَى بْنُ وَاضِحٍ، قَالَ: حَدَّثَنَا يَحْيَى بْنُ يَعْقُوبَ، عَنْ حَمَّادٍ، عَنْ سَعِيدِ بْنِ جُبَيْرٍ، عَنِ ابْنِ عَبَّاسٍ، قال: الدنيا جمعة من جمع الآخرة، سبعة آلاف سنه، فقد مضى سته آلاف سنه ومائتا سَنَةٍ، وَلَيَأْتِيَنَّ عَلَيْهَا مِئُونَ مِنْ سِنِينَ، لَيْسَ عَلَيْهَا مُوَحِّدٌ،"
Others said that the total extent of time is six thousand years.,وَقَالَ آخَرُونَ: قَدْرُ جَمِيعِ ذَلِكَ سِتَّةُ آلافِ سَنَةٍ.
Those who said this,ذِكْرُ مَنْ قَالَ ذَلِكَ:
According to Abu Hisham —Mu'awiyah b. Hisham — Sufyan —al-A'mash —Abu Salih —Ka'b: This world is six thousand years.,"حَدَّثَنَا أَبُو هِشَامٍ، قَالَ: حَدَّثَنَا مُعَاوِيَةُ بْنُ هِشَامٍ، عَنْ سُفْيَانَ، عَنِ الأَعْمَشِ، عَنْ أَبِي صَالِحٍ، قَالَ: قَالَ كَعْبٌ: الدُّنْيَا سِتَّةُ آلافِ سَنَةٍ."
According to Muhammad b. Sahl b. 'Askar —Ismail b. 'Abd al-Karim —'Abd al-Samad b. Ma'qil —Wahb: Five thousand six hundred years of this world have elapsed. I do not know which kings and prophets lived in every period (zaman) of those years. I asked Wahb b. Munabbih: How long is (the total duration of) this world? He replied: Six thousand years.,"حَدَّثَنَا مُحَمَّدُ بْنُ سَهْلِ بْنِ عَسْكَرٍ، قال: حدثنا اسمعيل بن عبد الكريم، قال: حدثني عبد الصمد بن معقل، أنه سمع وهبا يقول: قد خلا من الدنيا خمسه آلاف سنه وستمائه سنه، وانى لأَعْرِفُ كُلَّ زَمَانٍ مِنْهَا، مَا كَانَ فِيهِ من الملوك والأنبياء قلت لِوَهْبِ بْنِ مُنَبِّهٍ: كَمِ الدُّنْيَا؟ قَالَ: سِتَّةُ آلاف سنه."
"Abu Ja'far (al-Tabari) says: The correct statement here is the one whose soundness is proved by information having come down from the Messenger of God. It is what we were told by Muhammad b. Bashshar and 'Ali b. Sahl —Mu'ammal — Sufyan—'Abdallah b. Dinar —Ibn 'Umar: I heard the Messenger of God say: As compared to the term of those before you, your term is (like the time) from afternoon prayer to sunset.","قال أبو جعفر: والصواب من القول في ذَلِكَ مَا دَلَّ عَلَى صِحَّتِهِ الْخَبَرُ الْوَارِدُ عن رسول الله ص، وَذَلِكَ مَا حَدَّثَنَا بِهِ مُحَمَّدُ بْنُ بَشَّارٍ وَعَلِيُّ بْنُ سَهْلٍ، قَالا: حَدَّثَنَا مُؤَمَّلٌ، قَالَ: حَدَّثَنَا سُفْيَانُ، عَنْ عَبْدِ اللَّهِ بْنِ دِينَارٍ، عَنِ ابْنِ عُمَرَ، قَالَ: [سَمِعْتُ رَسُولَ اللَّهِ ص يَقُولُ: أَجَلُكُمْ فِي أَجَلِ مَنْ كَانَ قَبْلَكُمْ، مِنْ صَلاةِ الْعَصْرِ إِلَى مَغْرِبِ الشَّمْسِ]."
"According to Ibn Humayd—Salamah —Muhammad b. Ishaq—Nafi' —Ibn 'Umar: I heard the Prophet say: As compared to the term of the nations of the past, your term is just like (the time) between the afternoon prayer to sunset.","حَدَّثَنَا ابْنُ حُمَيْدٍ، قَالَ: حَدَّثَنَا سَلَمَةُ، قَالَ: حَدَّثَنِي مُحَمَّدُ بْنُ إِسْحَاقَ، عَنْ نَافِعٍ، عَنِ ابْنِ عمر، قال: [سمعت النبي ص يَقُولُ: أَلا إِنَّمَا أَجَلُكُمْ فِي أَجَلِ مَنْ خَلا مِنَ الأُمَمِ، كَمَا بَيْنَ صَلاةِ الْعَصْرِ إِلَى مَغْرِبِ الشَّمْسِ]."
"According to al-Hasan b. 'Arafah —Abu al-Yaqzaan 'Ammar b. Muhammad, a son of the sister of Sufyan al-Thawri —Layth b. Abi Sulaym —Mughirah b. Hakim —'Abdallah b. Umar: The Messenger of God said: Only as much of this world remains for my nation as the extent (of time that remains) for the sun when the afternoon prayer has been performed.","حَدَّثَنَا الْحَسَنُ بْنُ عَرَفَةَ، قَالَ: حَدَّثَنِي عَمَّارُ بْنُ مُحَمَّدٍ، ابْنُ أُخْتِ سُفْيَانَ الثَّوْرِيِّ، أَبُو الْيَقْظَانِ، عَنْ لَيْثِ بْنِ أَبِي سُلَيْمٍ، عَنْ مُغِيرَةَ بْنِ حَكِيمٍ، عَنْ عَبْدِ اللَّهِ بْنِ عُمَرَ، قَالَ: [قَالَ رَسُولُ الله ص: مَا بَقِيَ لأُمَّتِي مِنَ الدُّنْيَا إِلا كَمِقْدَارِ الشَّمْسِ إِذَا صُلِّيَتِ الْعَصْرُ]."
"According to Muhammad b. 'Awf —Abu Nu'aym —Shank—Salamah b. Kuhayl —Mujahid —Ibn Umar: We were sitting together with the Prophet when the sun was over Qu'ayqi'aan after the afternoon prayer. He said to us: As compared to the lives of those who have passed, your lives are like what remains of this day as compared to what has passed of it.","حَدَّثَنِي مُحَمَّدُ بْنُ عَوْفٍ، قَالَ: حَدَّثَنَا أَبُو نُعَيْمٍ، قَالَ: حَدَّثَنَا شَرِيكٌ، قَالَ: سَمِعْتُ سَلَمَةَ بْنَ كُهَيْلٍ، عَنْ مُجَاهِدٍ، عَنِ ابْنِ عُمَرَ، قَالَ: [كُنَّا جُلُوسًا عند النبي ص وَالشَّمْسُ مُرْتَفِعَةٌ عَلَى قُعَيْقِعَانَ بَعْدَ الْعَصْرِ، فَقَالَ:"
,مَا أَعْمَارُكُمْ فِي أَعْمَارِ مَنْ مَضَى إِلا كَمَا بَقِيَ مِنْ هَذَا النَّهَارِ فِيمَا مَضَى مِنْهُ].
"According to Ibn Bashshar and Muhammad b. al-Muthanna — Khalaf b. Musa —his father—Qatadah —Anas b. Malik: One day the Messenger of God addressed his companions when the sun had almost set and only a small sliver of it remained visible. He said: By the One Who holds the soul of Muhammad in His hand! As compared to what remains of our (life in this) world, that which has passed is like what remains of this day as compared to what has passed of it, and you will see only a little (more) of the sun.","حَدَّثَنَا ابْنُ بَشَّارٍ وَمُحَمَّدُ بْنُ الْمُثَنَّى -قال ابن بشار: حدثنى خلف ابن مُوسَى، وَقَالَ ابْنُ الْمُثَنَّى: حَدَّثَنَا خَلَفُ بْنُ مُوسَى - قَالَ: حَدَّثَنِي أَبِي، عَنْ قَتَادَةَ، عَنْ أَنَسِ بْنِ مَالِكٍ أَنَّ رَسُولَ اللَّهِ ص خَطَبَ أَصْحَابَهُ يَوْمًا- وَقَدْ كَادَتِ الشَّمْسُ أَنْ تَغِيبَ، وَلَمْ يَبْقَ مِنْهَا إِلا شِقٌّ يَسِيرٌ- [فقال: والذى نَفْسُ مُحَمَّدٍ بِيَدِهِ مَا بَقِيَ مِنْ دُنْيَاكُمْ فِيمَا مَضَى مِنْهَا إِلا كَمَا بَقِيَ مِنْ يَوْمِكُمْ هَذَا فِيمَا مَضَى مِنْهُ، وَمَا تَرَوْنَ مِنَ الشَّمْسِ إِلا الْيَسِيرَ]."
According to Ibn Waki' —Ibn 'Uyaynah —'Ali b. Zayd — Abu Nadrah —Abu Sa'id: The Prophet said at sunset: What remains of this world as compared to what has passed of it is just like the rest of this day as compared to what has passed of it.,"حَدَّثَنَا ابْنُ وَكِيعٍ، قَالَ: حَدَّثَنَا ابْنُ عُيَيْنَةَ، عَنْ عَلِيِّ بْنِ زَيْدٍ، عَنْ أَبِي نَضْرَةَ، عَنْ أَبِي سَعِيدٍ، قال: [قال النبي ص عِنْدَ غُرُوبِ الشَّمْسِ: إِنَّمَا مَثَلُ مَا بَقِيَ مِنَ الدُّنْيَا فِيمَا مَضَى مِنْهَا كَبَقِيَّةِ يَوْمِكُمْ هَذَا فِيمَا مَضَى مِنْهُ]."
